AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "A18 (smoothed)" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.42          Angle of attack for zero Cn for linear Cn curve (deg)
7.06531        Cn slope for zero lift for linear Cn curve (1/rad)
-0.1528        Cn at stall value for positive angle of attack for linear Cn curve
-0.1814        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0364         Minimum CD value
     -8.00   -0.1706    0.0894
     -7.90   -0.1668    0.0882
     -7.80   -0.1629    0.0871
     -7.70   -0.1591    0.0860
     -7.60   -0.1552    0.0849
     -7.50   -0.1513    0.0838
     -7.40   -0.1474    0.0827
     -7.30   -0.1436    0.0817
     -7.20   -0.1462    0.0812
     -7.10   -0.1607    0.0821
     -7.00   -0.1724    0.0826
     -6.90   -0.1820    0.0829
     -6.80   -0.1904    0.0830
     -6.70   -0.1980    0.0830
     -6.60   -0.2054    0.0830
     -6.50   -0.2133    0.0831
     -6.40   -0.2172    0.0827
     -6.30   -0.2224    0.0824
     -6.20   -0.2282    0.0822
     -6.10   -0.2313    0.0817
     -6.00   -0.2358    0.0813
     -5.90   -0.2397    0.0808
     -5.80   -0.2417    0.0802
     -5.70   -0.2449    0.0797
     -5.60   -0.2486    0.0791
     -5.50   -0.2521    0.0786
     -5.40   -0.2550    0.0780
     -5.30   -0.2567    0.0772
     -5.20   -0.2571    0.0764
     -5.10   -0.2577    0.0755
     -5.00   -0.2600    0.0748
     -4.90   -0.2645    0.0742
     -4.80   -0.2632    0.0732
     -4.70   -0.2673    0.0726
     -4.60   -0.2671    0.0717
     -4.50   -0.2700    0.0710
     -4.40   -0.2682    0.0699
     -4.30   -0.2695    0.0691
     -4.20   -0.2694    0.0681
     -4.10   -0.2674    0.0671
     -4.00   -0.2654    0.0660
     -3.90   -0.2635    0.0650
     -3.80   -0.2615    0.0639
     -3.70   -0.2581    0.0628
     -3.60   -0.2529    0.0616
     -3.50   -0.2496    0.0605
     -3.40   -0.2439    0.0592
     -3.30   -0.2403    0.0581
     -3.20   -0.2341    0.0569
     -3.10   -0.2272    0.0556
     -3.00   -0.2196    0.0543
     -2.90   -0.2100    0.0529
     -2.80   -0.1994    0.0515
     -2.70   -0.1871    0.0500
     -2.60   -0.1692    0.0484
     -2.40    0.0197    0.0404
     -2.30    0.0196    0.0398
     -2.20    0.0191    0.0393
     -2.10    0.0181    0.0387
     -2.00    0.0168    0.0382
     -1.90    0.0167    0.0377
     -1.80    0.0215    0.0372
     -1.70    0.0377    0.0367
     -1.60    0.0695    0.0364
     -1.50    0.0981    0.0364
     -1.40    0.1183    0.0364
     -1.30    0.1347    0.0365
     -1.20    0.1491    0.0365
     -1.10    0.1623    0.0366
     -1.00    0.1749    0.0367
     -0.90    0.1870    0.0368
     -0.80    0.1988    0.0368
     -0.70    0.2103    0.0369
     -0.60    0.2216    0.0370
     -0.50    0.2327    0.0371
     -0.40    0.2436    0.0372
     -0.30    0.2545    0.0373
     -0.20    0.2652    0.0374
     -0.10    0.2759    0.0375
      0.00    0.2865    0.0376
      0.10    0.2969    0.0377
      0.20    0.3074    0.0378
      0.30    0.3177    0.0379
      0.40    0.3280    0.0381
      0.50    0.3382    0.0382
      0.60    0.3484    0.0383
      0.70    0.3586    0.0385
      0.80    0.3686    0.0386
      0.90    0.3787    0.0387
      1.00    0.3886    0.0389
      1.10    0.3986    0.0390
      1.20    0.4084    0.0392
      1.30    0.4183    0.0393
      1.40    0.4281    0.0395
      1.50    0.4378    0.0397
      1.60    0.4475    0.0398
      1.70    0.4572    0.0400
      1.80    0.4668    0.0402
      1.90    0.4764    0.0403
      2.00    0.4859    0.0405
      2.10    0.4954    0.0407
      2.20    0.5048    0.0409
      2.30    0.5142    0.0411
      2.40    0.5235    0.0413
      2.50    0.5328    0.0415
      2.60    0.5421    0.0417
      2.70    0.5512    0.0419
      2.80    0.5604    0.0422
      2.90    0.5695    0.0424
      3.00    0.5785    0.0426
      3.10    0.5875    0.0429
      3.20    0.5965    0.0431
      3.30    0.6053    0.0433
      3.40    0.6142    0.0436
      3.50    0.6229    0.0438
      3.60    0.6317    0.0441
      3.70    0.6403    0.0444
      3.80    0.6489    0.0447
      3.90    0.6574    0.0449
      4.00    0.6659    0.0452
      4.10    0.6743    0.0455
      4.20    0.6826    0.0458
      4.30    0.6909    0.0462
      4.40    0.6991    0.0465
      4.50    0.7072    0.0468
      4.60    0.7152    0.0471
      4.70    0.7232    0.0475
      4.80    0.7310    0.0478
      4.90    0.7388    0.0482
      5.00    0.7464    0.0486
      5.10    0.7539    0.0489
      5.20    0.7613    0.0493
      5.30    0.7687    0.0497
      5.40    0.7759    0.0501
      5.50    0.7830    0.0505
      5.60    0.7901    0.0510
      5.70    0.7970    0.0514
      5.80    0.8039    0.0519
      5.90    0.8107    0.0523
      6.00    0.8174    0.0528
      6.10    0.8240    0.0533
      6.20    0.8305    0.0538
      6.30    0.8369    0.0543
      6.40    0.8433    0.0548
      6.50    0.8496    0.0554
      6.60    0.8558    0.0559
      6.70    0.8620    0.0565
      6.80    0.8680    0.0571
      6.90    0.8740    0.0577
      7.00    0.8799    0.0583
      7.10    0.8857    0.0590
      7.20    0.8914    0.0596
      7.30    0.8970    0.0603
      7.40    0.9025    0.0610
      7.50    0.9078    0.0617
      7.60    0.9131    0.0625
      7.70    0.9183    0.0632
      7.80    0.9234    0.0640
      8.00    0.9334    0.0656
      8.10    0.9383    0.0664
      8.20    0.9430    0.0673
      8.30    0.9477    0.0682
      8.40    0.9523    0.0691
      8.50    0.9568    0.0700
      8.60    0.9613    0.0710
      8.70    0.9658    0.0720
      8.80    0.9701    0.0730
      8.90    0.9744    0.0741
      9.00    0.9785    0.0752
      9.10    0.9825    0.0763
      9.20    0.9865    0.0775
      9.30    0.9903    0.0788
      9.40    0.9940    0.0800
      9.50    0.9977    0.0814
      9.60    1.0012    0.0828
      9.70    1.0047    0.0842
      9.80    1.0081    0.0858
      9.90    1.0113    0.0874
     10.00    1.0143    0.0890
     10.10    1.0170    0.0908
     10.20    1.0194    0.0926
     10.30    1.0214    0.0945
     10.40    1.0230    0.0965
     10.50    1.0242    0.0986
     10.60    1.0250    0.1007
     10.70    1.0253    0.1029
     10.80    1.0253    0.1052
     10.90    1.0250    0.1075
     11.00    1.0244    0.1099
     11.10    1.0236    0.1124
     11.20    1.0226    0.1149
     11.30    1.0216    0.1174
     11.40    1.0205    0.1200
     11.50    1.0194    0.1225
     11.60    1.0183    0.1251
     11.70    1.0175    0.1277
     11.80    1.0170    0.1302
     11.90    1.0166    0.1327
     12.00    1.0164    0.1352
     12.10    1.0165    0.1377
     12.20    1.0167    0.1400
     12.30    1.0170    0.1424
     12.40    1.0174    0.1447
     12.50    1.0180    0.1470
     12.60    1.0188    0.1492
     12.70    1.0196    0.1514
     12.80    1.0205    0.1536
     12.90    1.0216    0.1557
     13.00    1.0227    0.1578
     13.10    1.0240    0.1599
     13.20    1.0253    0.1620
     13.30    1.0267    0.1641
     13.40    1.0282    0.1661
     13.50    1.0298    0.1681
     13.60    1.0314    0.1701
     13.70    1.0332    0.1720
     13.80    1.0349    0.1740
     13.90    1.0368    0.1759
     14.00    1.0387    0.1778
     14.10    1.0406    0.1797
     14.20    1.0427    0.1816
