AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "A18 (smoothed)" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
9.10           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.78          Angle of attack for zero Cn for linear Cn curve (deg)
7.14041        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3698        Cn at stall value for positive angle of attack for linear Cn curve
-0.3774        Cn at stall value for negative angle of attack for linear Cn curve
-0.90          Angle of attack for minimum CD (deg)
0.0162         Minimum CD value
     -8.00   -0.3670    0.1003
     -7.90   -0.3596    0.0987
     -7.80   -0.3573    0.0975
     -7.70   -0.3590    0.0966
     -7.60   -0.3638    0.0960
     -7.50   -0.3560    0.0940
     -7.40   -0.3503    0.0926
     -7.30   -0.3480    0.0915
     -7.20   -0.3490    0.0905
     -7.10   -0.3444    0.0888
     -7.00   -0.3384    0.0874
     -6.90   -0.3343    0.0861
     -6.80   -0.3324    0.0847
     -6.70   -0.3266    0.0833
     -6.60   -0.3213    0.0820
     -6.40   -0.3116    0.0791
     -6.30   -0.3056    0.0777
     -6.10   -0.2944    0.0749
     -6.00   -0.2867    0.0730
     -5.90   -0.2814    0.0718
     -5.80   -0.2718    0.0700
     -5.70   -0.2671    0.0689
     -5.60   -0.2575    0.0671
     -5.50   -0.2523    0.0661
     -5.40   -0.2432    0.0644
     -5.30   -0.2328    0.0628
     -5.20   -0.2272    0.0616
     -5.10   -0.2169    0.0600
     -5.00   -0.2066    0.0585
     -4.90   -0.1967    0.0571
     -4.80   -0.1905    0.0561
     -4.70   -0.1811    0.0547
     -4.60   -0.1708    0.0533
     -4.50   -0.1568    0.0518
     -4.40   -0.1506    0.0506
     -4.30   -0.1405    0.0494
     -4.10   -0.0386    0.0284
     -4.00   -0.0268    0.0276
     -3.90   -0.0137    0.0268
     -3.80   -0.0026    0.0263
     -3.70    0.0098    0.0256
     -3.60    0.0221    0.0250
     -3.50    0.0336    0.0245
     -3.40    0.0451    0.0241
     -3.30    0.0568    0.0236
     -3.20    0.0685    0.0232
     -3.10    0.0801    0.0228
     -3.00    0.0913    0.0225
     -2.90    0.1026    0.0222
     -2.80    0.1142    0.0218
     -2.70    0.1253    0.0216
     -2.60    0.1367    0.0213
     -2.50    0.1478    0.0210
     -2.40    0.1590    0.0208
     -2.30    0.1702    0.0205
     -2.20    0.1813    0.0203
     -2.10    0.1924    0.0201
     -2.00    0.2034    0.0199
     -1.90    0.2144    0.0197
     -1.80    0.2254    0.0195
     -1.70    0.2363    0.0193
     -1.60    0.2471    0.0191
     -1.50    0.2579    0.0188
     -1.40    0.2689    0.0186
     -1.30    0.2797    0.0184
     -1.20    0.2902    0.0181
     -1.10    0.3001    0.0177
     -1.00    0.3077    0.0172
     -0.90    0.3126    0.0162
     -0.80    0.3255    0.0163
     -0.70    0.3376    0.0163
     -0.60    0.3493    0.0164
     -0.50    0.3608    0.0164
     -0.40    0.3723    0.0165
     -0.30    0.3837    0.0165
     -0.20    0.3950    0.0166
     -0.10    0.4063    0.0166
      0.00    0.4175    0.0167
      0.10    0.4287    0.0167
      0.20    0.4399    0.0168
      0.30    0.4510    0.0169
      0.40    0.4622    0.0169
      0.50    0.4733    0.0170
      0.60    0.4843    0.0170
      0.70    0.4954    0.0171
      0.80    0.5064    0.0172
      0.90    0.5174    0.0172
      1.00    0.5284    0.0173
      1.10    0.5394    0.0174
      1.20    0.5503    0.0174
      1.30    0.5613    0.0175
      1.40    0.5722    0.0176
      1.50    0.5831    0.0177
      1.60    0.5939    0.0177
      1.70    0.6048    0.0178
      1.80    0.6156    0.0179
      1.90    0.6264    0.0180
      2.00    0.6372    0.0180
      2.10    0.6480    0.0181
      2.20    0.6588    0.0182
      2.30    0.6695    0.0183
      2.40    0.6802    0.0184
      2.50    0.6909    0.0185
      2.60    0.7016    0.0186
      2.70    0.7122    0.0187
      2.80    0.7229    0.0187
      2.90    0.7335    0.0188
      3.00    0.7441    0.0189
      3.10    0.7546    0.0190
      3.20    0.7652    0.0191
      3.30    0.7757    0.0192
      3.40    0.7862    0.0193
      3.50    0.7967    0.0195
      3.60    0.8071    0.0196
      3.70    0.8175    0.0197
      3.80    0.8279    0.0198
      3.90    0.8383    0.0199
      4.00    0.8486    0.0200
      4.10    0.8589    0.0201
      4.20    0.8692    0.0203
      4.30    0.8795    0.0204
      4.40    0.8897    0.0205
      4.50    0.8999    0.0206
      4.60    0.9101    0.0208
      4.70    0.9202    0.0209
      4.80    0.9303    0.0210
      4.90    0.9403    0.0212
      5.00    0.9503    0.0213
      5.10    0.9603    0.0215
      5.20    0.9703    0.0216
      5.30    0.9802    0.0218
      5.40    0.9900    0.0220
      5.50    0.9998    0.0221
      5.60    1.0096    0.0223
      5.70    1.0193    0.0225
      5.80    1.0289    0.0226
      5.90    1.0385    0.0228
      6.00    1.0480    0.0230
      6.10    1.0574    0.0232
      6.20    1.0667    0.0235
      6.30    1.0759    0.0237
      6.40    1.0848    0.0240
      6.50    1.0931    0.0244
      6.60    1.1002    0.0249
      6.70    1.1054    0.0257
      6.80    1.1098    0.0267
      6.90    1.1154    0.0278
      7.00    1.1246    0.0290
      7.10    1.1352    0.0301
      7.20    1.1448    0.0309
      7.30    1.1549    0.0317
      7.40    1.1655    0.0326
      7.50    1.1760    0.0336
      7.60    1.1866    0.0344
      7.70    1.1978    0.0355
      7.80    1.2083    0.0366
      7.90    1.2188    0.0376
      8.00    1.2305    0.0388
      8.10    1.2386    0.0400
      8.20    1.2473    0.0412
      8.30    1.2560    0.0426
      8.40    1.2641    0.0439
      8.50    1.2717    0.0452
      8.60    1.2796    0.0465
      8.70    1.2912    0.0480
      8.80    1.2950    0.0495
      8.90    1.2993    0.0511
      9.00    1.3042    0.0528
      9.10    1.3095    0.0545
      9.20    1.3084    0.0562
      9.30    1.3028    0.0585
      9.40    1.3009    0.0606
      9.50    1.2998    0.0627
      9.60    1.2987    0.0646
      9.70    1.2977    0.0666
      9.80    1.2969    0.0685
      9.90    1.2968    0.0704
     10.00    1.2982    0.0724
     10.10    1.3033    0.0745
     10.20    1.2648    0.0775
     10.30    1.2614    0.0794
     10.40    1.2631    0.0815
     10.50    1.2295    0.0838
     10.60    1.2168    0.0859
     10.70    1.2102    0.0880
     10.80    1.1975    0.0907
     10.90    1.1736    0.0936
     11.00    1.1579    0.0966
     11.10    1.1551    0.1015
     11.20    1.1342    0.1050
     11.30    1.1133    0.1094
     11.50    1.0744    0.1216
     11.60    1.0674    0.1255
     11.70    1.0617    0.1291
     11.80    1.0571    0.1324
     11.90    1.0533    0.1354
     12.00    1.0501    0.1384
     12.10    1.0474    0.1412
     12.20    1.0451    0.1439
     12.30    1.0433    0.1465
     12.40    1.0418    0.1490
     12.50    1.0406    0.1515
     12.60    1.0397    0.1539
     12.70    1.0391    0.1562
     12.80    1.0387    0.1585
     12.90    1.0385    0.1607
     13.00    1.0385    0.1629
     13.10    1.0387    0.1651
     13.20    1.0390    0.1672
     13.30    1.0395    0.1693
     13.40    1.0402    0.1713
     13.50    1.0410    0.1734
     13.60    1.0419    0.1753
     13.70    1.0430    0.1773
     13.80    1.0441    0.1792
     13.90    1.0454    0.1811
     14.00    1.0467    0.1830
     14.10    1.0482    0.1849
     14.20    1.0497    0.1867
     14.30    1.0513    0.1885
     14.40    1.0530    0.1903
     14.50    1.0547    0.1921
     14.60    1.0565    0.1938
     14.70    1.0583    0.1955
     14.80    1.0601    0.1972
     14.90    1.0620    0.1989
     15.00    1.0640    0.2005
     15.10    1.0660    0.2022
     15.20    1.0681    0.2038
     15.30    1.0703    0.2054
     15.40    1.0725    0.2070
     15.50    1.0748    0.2086
     15.60    1.0772    0.2102
     15.70    1.0795    0.2117
     15.80    1.0820    0.2133
     15.90    1.0855    0.2148
     16.00    1.0996    0.2177
     16.10    1.0961    0.2184
     16.20    1.0933    0.2192
     16.30    1.0943    0.2204
     16.40    1.0976    0.2217
     16.50    1.1031    0.2233
     16.60    1.1143    0.2263
     16.70    1.1105    0.2267
     16.80    1.1090    0.2275
     16.90    1.1105    0.2287
     17.00    1.1135    0.2300
     17.10    1.1180    0.2314
     17.20    1.1286    0.2342
     17.30    1.1280    0.2351
     17.40    1.1265    0.2357
     17.50    1.1276    0.2368
     17.60    1.1303    0.2380
     17.70    1.1343    0.2393
     17.80    1.1406    0.2412
     17.90    1.1469    0.2436
     18.00    1.1454    0.2440
     18.10    1.1457    0.2448
     18.20    1.1478    0.2459
     18.30    1.1509    0.2472
     18.40    1.1545    0.2485
     18.50    1.1591    0.2500
     18.60    1.1668    0.2526
     18.70    1.1689    0.2539
     18.80    1.1686    0.2543
     18.90    1.1696    0.2552
     19.00    1.1719    0.2563
     19.10    1.1749    0.2575
     19.20    1.1783    0.2587
     19.30    1.1823    0.2601
     19.40    1.1879    0.2620
     19.50    1.1936    0.2645
     19.60    1.1935    0.2647
     19.70    1.1945    0.2654
     19.80    1.1966    0.2663
     19.90    1.1994    0.2675
     20.00    1.2026    0.2687
