AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "NACA 4412" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.95           Angle of attack for zero Cn for linear Cn curve (deg)
4.47246        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0342        Cn at stall value for positive angle of attack for linear Cn curve
-0.0737        Cn at stall value for negative angle of attack for linear Cn curve
0.10           Angle of attack for minimum CD (deg)
0.0529         Minimum CD value
     -8.00   -0.0609    0.0963
     -7.90   -0.0586    0.0955
     -7.80   -0.0563    0.0947
     -7.70   -0.0540    0.0939
     -7.60   -0.0518    0.0932
     -7.50   -0.0497    0.0924
     -7.40   -0.0477    0.0916
     -7.30   -0.0457    0.0909
     -7.20   -0.0438    0.0901
     -7.10   -0.0419    0.0894
     -7.00   -0.0402    0.0886
     -6.90   -0.0385    0.0879
     -6.80   -0.0369    0.0872
     -6.70   -0.0354    0.0865
     -6.60   -0.0339    0.0857
     -6.50   -0.0326    0.0850
     -6.40   -0.0314    0.0843
     -6.30   -0.0302    0.0836
     -6.20   -0.0292    0.0829
     -6.10   -0.0284    0.0823
     -6.00   -0.0277    0.0816
     -5.90   -0.0271    0.0809
     -5.80   -0.0266    0.0803
     -5.70   -0.0264    0.0797
     -5.60   -0.0264    0.0790
     -5.50   -0.0266    0.0784
     -5.40   -0.0270    0.0778
     -5.30   -0.0276    0.0772
     -5.20   -0.0284    0.0767
     -5.10   -0.0293    0.0761
     -5.00   -0.0304    0.0755
     -4.90   -0.0316    0.0749
     -4.80   -0.0330    0.0744
     -4.70   -0.0344    0.0738
     -4.60   -0.0360    0.0733
     -4.50   -0.0377    0.0727
     -4.40   -0.0396    0.0722
     -4.30   -0.0417    0.0716
     -4.20   -0.0438    0.0711
     -4.10   -0.0462    0.0705
     -4.00   -0.0487    0.0700
     -3.90   -0.0513    0.0695
     -3.80   -0.0542    0.0689
     -3.70   -0.0572    0.0684
     -3.60   -0.0604    0.0678
     -3.50   -0.0639    0.0673
     -3.40   -0.0675    0.0667
     -3.30   -0.0713    0.0662
     -3.20   -0.0754    0.0656
     -3.10   -0.0797    0.0651
     -3.00   -0.0842    0.0645
     -2.90   -0.0890    0.0639
     -2.80   -0.0941    0.0633
     -2.70   -0.0995    0.0627
     -2.60   -0.1051    0.0621
     -2.50   -0.1111    0.0614
     -2.40   -0.1173    0.0607
     -2.30   -0.1237    0.0600
     -2.20   -0.1301    0.0593
     -2.10   -0.1365    0.0586
     -2.00   -0.1426    0.0578
     -1.90   -0.1478    0.0571
     -1.80   -0.1515    0.0564
     -1.70   -0.1530    0.0557
     -1.60   -0.1523    0.0551
     -1.50   -0.1494    0.0547
     -1.40   -0.1451    0.0543
     -1.30   -0.1398    0.0540
     -1.20   -0.1340    0.0538
     -1.10   -0.1278    0.0536
     -1.00   -0.1215    0.0534
     -0.90   -0.1150    0.0533
     -0.80   -0.1086    0.0532
     -0.70   -0.1021    0.0531
     -0.60   -0.0957    0.0531
     -0.50   -0.0893    0.0530
     -0.40   -0.0829    0.0530
     -0.30   -0.0765    0.0530
     -0.20   -0.0702    0.0529
     -0.10   -0.0640    0.0529
      0.00   -0.0577    0.0529
      0.10   -0.0515    0.0529
      0.20   -0.0454    0.0529
      0.30   -0.0392    0.0529
      0.40   -0.0331    0.0530
      0.50   -0.0270    0.0530
      0.60   -0.0210    0.0530
      0.70   -0.0149    0.0530
      0.80   -0.0089    0.0530
      0.90   -0.0030    0.0531
      1.00    0.0030    0.0531
      1.10    0.0109    0.0539
      1.20    0.0210    0.0553
      1.30    0.0316    0.0564
      1.40    0.0425    0.0575
      1.50    0.0534    0.0584
      1.60    0.0643    0.0592
      1.70    0.0750    0.0599
      1.80    0.0856    0.0606
      1.90    0.0959    0.0612
      2.00    0.1061    0.0618
      2.10    0.1161    0.0624
      2.20    0.1259    0.0629
      2.30    0.1355    0.0635
      2.40    0.1450    0.0640
      2.50    0.1543    0.0645
      2.60    0.1634    0.0650
      2.70    0.1724    0.0655
      2.80    0.1813    0.0660
      2.90    0.1900    0.0665
      3.00    0.1986    0.0670
      3.10    0.2071    0.0675
      3.20    0.2154    0.0680
      3.30    0.2237    0.0685
      3.40    0.2318    0.0690
      3.50    0.2399    0.0695
      3.60    0.2478    0.0700
      3.70    0.2557    0.0705
      3.80    0.2634    0.0710
      3.90    0.2711    0.0715
      4.00    0.2787    0.0720
      4.10    0.2862    0.0726
      4.20    0.2936    0.0731
      4.30    0.3010    0.0736
      4.40    0.3082    0.0742
      4.50    0.3154    0.0747
      4.60    0.3226    0.0752
      4.70    0.3297    0.0758
      4.80    0.3367    0.0764
      4.90    0.3436    0.0769
      5.00    0.3505    0.0775
      5.10    0.3574    0.0781
      5.20    0.3641    0.0786
      5.30    0.3709    0.0792
      5.40    0.3775    0.0798
      5.50    0.3842    0.0804
      5.60    0.3907    0.0810
      5.70    0.3973    0.0816
      5.80    0.4037    0.0822
      5.90    0.4102    0.0829
      6.00    0.4166    0.0835
      6.10    0.4229    0.0841
      6.20    0.4292    0.0847
      6.30    0.4355    0.0854
      6.40    0.4417    0.0860
      6.50    0.4479    0.0867
      6.60    0.4540    0.0874
      6.70    0.4601    0.0880
      6.80    0.4662    0.0887
      6.90    0.4723    0.0894
      7.00    0.4783    0.0901
      7.10    0.4842    0.0908
      7.20    0.4902    0.0915
      7.30    0.4961    0.0922
      7.40    0.5020    0.0929
      7.50    0.5078    0.0936
      7.60    0.5136    0.0943
      7.70    0.5194    0.0951
      7.80    0.5252    0.0958
      7.90    0.5309    0.0965
      8.00    0.5366    0.0973
      8.10    0.5423    0.0981
      8.20    0.5479    0.0988
      8.30    0.5536    0.0996
      8.40    0.5592    0.1004
      8.50    0.5648    0.1012
      8.60    0.5703    0.1019
      8.70    0.5758    0.1027
      8.80    0.5813    0.1036
      8.90    0.5868    0.1044
      9.00    0.5923    0.1052
      9.10    0.5977    0.1060
      9.20    0.6031    0.1068
      9.30    0.6085    0.1077
      9.40    0.6139    0.1085
      9.50    0.6192    0.1094
      9.60    0.6245    0.1103
      9.70    0.6298    0.1111
      9.80    0.6351    0.1120
      9.90    0.6403    0.1129
     10.00    0.6456    0.1138
     10.10    0.6508    0.1147
     10.20    0.6560    0.1156
     10.30    0.6611    0.1165
     10.40    0.6663    0.1174
     10.50    0.6714    0.1183
     10.60    0.6765    0.1193
     10.70    0.6816    0.1202
     10.80    0.6867    0.1211
     10.90    0.6917    0.1221
     11.00    0.6967    0.1231
     11.10    0.7017    0.1240
     11.20    0.7067    0.1250
     11.30    0.7117    0.1260
     11.40    0.7166    0.1269
     11.50    0.7215    0.1279
     11.60    0.7264    0.1289
     11.70    0.7313    0.1299
     11.80    0.7361    0.1309
     11.90    0.7409    0.1319
     12.00    0.7457    0.1329
     12.10    0.7505    0.1339
     12.20    0.7552    0.1350
     12.30    0.7599    0.1360
     12.40    0.7646    0.1370
     12.50    0.7692    0.1380
     12.60    0.7738    0.1391
     12.70    0.7785    0.1401
     12.80    0.7831    0.1412
     12.90    0.7877    0.1422
     13.00    0.7922    0.1433
     13.10    0.7968    0.1444
     13.20    0.8014    0.1455
     13.30    0.8059    0.1465
     13.40    0.8105    0.1476
     13.50    0.8150    0.1487
     13.60    0.8195    0.1498
     13.70    0.8240    0.1509
     13.80    0.8285    0.1519
     13.90    0.8329    0.1530
     14.00    0.8373    0.1541
     14.10    0.8417    0.1552
     14.20    0.8460    0.1563
     14.30    0.8504    0.1574
     14.40    0.8547    0.1585
     14.50    0.8590    0.1596
     14.60    0.8632    0.1607
     14.70    0.8675    0.1619
     14.80    0.8717    0.1630
     14.90    0.8759    0.1642
     15.00    0.8801    0.1653
     15.10    0.8842    0.1665
     15.20    0.8884    0.1676
     15.30    0.8925    0.1688
     15.40    0.8966    0.1700
     15.50    0.9007    0.1712
     15.60    0.9047    0.1724
     15.70    0.9088    0.1736
     15.80    0.9128    0.1749
     15.90    0.9168    0.1761
     16.00    0.9207    0.1774
     16.10    0.9247    0.1787
     16.20    0.9286    0.1799
     16.30    0.9325    0.1812
     16.40    0.9364    0.1825
     16.50    0.9402    0.1838
     16.60    0.9441    0.1852
     16.70    0.9479    0.1865
     16.80    0.9517    0.1878
     16.90    0.9555    0.1891
     17.00    0.9593    0.1905
     17.10    0.9631    0.1918
     17.20    0.9668    0.1932
     17.30    0.9705    0.1945
     17.40    0.9743    0.1959
     17.50    0.9780    0.1973
     17.60    0.9817    0.1986
     17.70    0.9853    0.2000
     17.80    0.9890    0.2014
     17.90    0.9927    0.2028
     18.00    0.9963    0.2042
     18.10    0.9999    0.2056
     18.20    1.0036    0.2070
     18.30    1.0072    0.2084
     18.40    1.0108    0.2098
     18.50    1.0144    0.2112
     18.60    1.0180    0.2126
     18.70    1.0215    0.2140
     18.80    1.0251    0.2154
     18.90    1.0286    0.2168
     19.00    1.0321    0.2182
     19.10    1.0356    0.2196
     19.20    1.0391    0.2210
     19.30    1.0425    0.2224
     19.40    1.0460    0.2238
     19.50    1.0494    0.2253
     19.60    1.0528    0.2267
     19.70    1.0562    0.2281
     19.80    1.0596    0.2295
     19.90    1.0629    0.2308
     20.00    1.0662    0.2322
