AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.150_M0.00_N9.0" on Foil "NACA 4412" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.40          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.83          Angle of attack for zero Cn for linear Cn curve (deg)
5.97346        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3094        Cn at stall value for positive angle of attack for linear Cn curve
-0.3539        Cn at stall value for negative angle of attack for linear Cn curve
-0.80          Angle of attack for minimum CD (deg)
0.0144         Minimum CD value
     -8.00   -0.2875    0.0783
     -7.90   -0.2853    0.0772
     -7.70   -0.3506    0.0489
     -7.60   -0.3427    0.0481
     -7.50   -0.3350    0.0474
     -7.40   -0.3271    0.0467
     -7.30   -0.3187    0.0464
     -7.20   -0.3057    0.0485
     -7.10   -0.3292    0.0340
     -7.00   -0.3223    0.0326
     -6.90   -0.3117    0.0323
     -6.80   -0.3022    0.0318
     -6.70   -0.2933    0.0311
     -6.60   -0.2843    0.0302
     -6.50   -0.2753    0.0294
     -6.40   -0.2661    0.0286
     -6.30   -0.2568    0.0278
     -6.20   -0.2473    0.0271
     -6.10   -0.2377    0.0263
     -6.00   -0.2277    0.0258
     -5.90   -0.2175    0.0254
     -5.80   -0.2072    0.0250
     -5.70   -0.1969    0.0246
     -5.60   -0.1866    0.0241
     -5.50   -0.1762    0.0237
     -5.40   -0.1658    0.0232
     -5.30   -0.1554    0.0229
     -5.20   -0.1449    0.0226
     -5.10   -0.1343    0.0222
     -5.00   -0.1236    0.0219
     -4.90   -0.1132    0.0216
     -4.80   -0.1026    0.0213
     -4.70   -0.0919    0.0210
     -4.60   -0.0815    0.0207
     -4.50   -0.0709    0.0205
     -4.40   -0.0601    0.0202
     -4.30   -0.0497    0.0200
     -4.20   -0.0389    0.0198
     -4.10   -0.0286    0.0195
     -4.00   -0.0179    0.0193
     -3.90   -0.0075    0.0191
     -3.80    0.0031    0.0189
     -3.70    0.0138    0.0188
     -3.60    0.0242    0.0186
     -3.50    0.0348    0.0184
     -3.40    0.0455    0.0183
     -3.30    0.0560    0.0182
     -3.20    0.0665    0.0180
     -3.10    0.0771    0.0179
     -3.00    0.0877    0.0178
     -2.90    0.0983    0.0177
     -2.80    0.1089    0.0176
     -2.70    0.1195    0.0175
     -2.60    0.1301    0.0174
     -2.50    0.1407    0.0173
     -2.40    0.1512    0.0171
     -2.30    0.1617    0.0170
     -2.20    0.1721    0.0169
     -2.10    0.1826    0.0168
     -2.00    0.1930    0.0166
     -1.90    0.2034    0.0165
     -1.80    0.2138    0.0164
     -1.70    0.2241    0.0163
     -1.60    0.2343    0.0161
     -1.50    0.2444    0.0160
     -1.40    0.2543    0.0158
     -1.30    0.2639    0.0156
     -1.20    0.2729    0.0154
     -1.10    0.2808    0.0151
     -1.00    0.2875    0.0148
     -0.90    0.2936    0.0146
     -0.80    0.3165    0.0144
     -0.70    0.3439    0.0144
     -0.60    0.3539    0.0144
     -0.50    0.3639    0.0145
     -0.40    0.3740    0.0145
     -0.30    0.3841    0.0145
     -0.20    0.3943    0.0146
     -0.10    0.4044    0.0146
      0.00    0.4146    0.0147
      0.10    0.4248    0.0147
      0.20    0.4350    0.0148
      0.30    0.4452    0.0148
      0.40    0.4555    0.0149
      0.50    0.4657    0.0149
      0.60    0.4760    0.0150
      0.70    0.4862    0.0150
      0.80    0.4965    0.0151
      0.90    0.5067    0.0152
      1.00    0.5170    0.0152
      1.10    0.5273    0.0153
      1.20    0.5375    0.0153
      1.30    0.5478    0.0154
      1.40    0.5581    0.0155
      1.50    0.5683    0.0155
      1.60    0.5786    0.0156
      1.70    0.5888    0.0157
      1.80    0.5990    0.0157
      1.90    0.6093    0.0158
      2.00    0.6195    0.0159
      2.10    0.6297    0.0159
      2.20    0.6399    0.0160
      2.30    0.6501    0.0161
      2.40    0.6602    0.0162
      2.50    0.6704    0.0162
      2.60    0.6805    0.0163
      2.70    0.6907    0.0164
      2.80    0.7008    0.0165
      2.90    0.7109    0.0165
      3.00    0.7210    0.0166
      3.10    0.7310    0.0167
      3.20    0.7411    0.0168
      3.30    0.7511    0.0169
      3.40    0.7611    0.0170
      3.50    0.7711    0.0171
      3.60    0.7810    0.0171
      3.70    0.7909    0.0172
      3.80    0.8009    0.0173
      3.90    0.8107    0.0174
      4.00    0.8206    0.0175
      4.10    0.8304    0.0176
      4.20    0.8402    0.0177
      4.30    0.8500    0.0178
      4.40    0.8597    0.0179
      4.50    0.8694    0.0180
      4.60    0.8791    0.0181
      4.70    0.8888    0.0182
      4.80    0.8984    0.0183
      4.90    0.9080    0.0184
      5.00    0.9175    0.0185
      5.10    0.9270    0.0186
      5.20    0.9365    0.0187
      5.30    0.9459    0.0189
      5.40    0.9553    0.0190
      5.50    0.9646    0.0191
      5.60    0.9739    0.0192
      5.70    0.9831    0.0193
      5.80    0.9923    0.0195
      5.90    1.0015    0.0196
      6.00    1.0106    0.0197
      6.10    1.0196    0.0198
      6.20    1.0286    0.0200
      6.30    1.0375    0.0201
      6.40    1.0464    0.0202
      6.50    1.0552    0.0204
      6.60    1.0640    0.0205
      6.70    1.0726    0.0206
      6.80    1.0812    0.0208
      6.90    1.0898    0.0209
      7.00    1.0982    0.0211
      7.10    1.1066    0.0212
      7.20    1.1149    0.0214
      7.30    1.1230    0.0215
      7.40    1.1308    0.0217
      7.50    1.1385    0.0219
      7.60    1.1461    0.0220
      7.70    1.1537    0.0222
      7.80    1.1612    0.0224
      7.90    1.1687    0.0225
      8.00    1.1761    0.0227
      8.10    1.1835    0.0229
      8.20    1.1908    0.0231
      8.30    1.1981    0.0233
      8.40    1.2052    0.0235
      8.50    1.2123    0.0237
      8.60    1.2194    0.0239
      8.70    1.2263    0.0242
      8.80    1.2331    0.0244
      8.90    1.2399    0.0246
      9.00    1.2465    0.0249
      9.10    1.2530    0.0251
      9.20    1.2595    0.0254
      9.30    1.2657    0.0256
      9.40    1.2719    0.0259
      9.50    1.2779    0.0262
      9.60    1.2838    0.0265
      9.70    1.2894    0.0268
      9.80    1.2948    0.0272
      9.90    1.3000    0.0275
     10.00    1.3049    0.0279
     10.10    1.3093    0.0283
     10.20    1.3133    0.0288
     10.30    1.3167    0.0293
     10.40    1.3194    0.0298
     10.50    1.3214    0.0304
     10.60    1.3227    0.0311
     10.70    1.3235    0.0319
     10.80    1.3239    0.0326
     10.90    1.3242    0.0334
     11.00    1.3247    0.0342
     11.10    1.3259    0.0350
     11.20    1.3281    0.0358
     11.30    1.3318    0.0365
     11.40    1.3358    0.0371
     11.50    1.3390    0.0378
     11.60    1.3426    0.0385
     11.70    1.3462    0.0391
     11.80    1.3499    0.0397
     11.90    1.3549    0.0403
     12.00    1.3583    0.0410
     12.10    1.3620    0.0416
     12.20    1.3663    0.0423
     12.30    1.3727    0.0428
     12.40    1.3761    0.0435
     12.50    1.3795    0.0442
     12.60    1.3836    0.0448
     12.70    1.3899    0.0453
     12.80    1.3960    0.0459
     12.90    1.3982    0.0467
     13.00    1.4017    0.0474
     13.10    1.4066    0.0480
     13.20    1.4180    0.0483
     13.30    1.4181    0.0492
     13.40    1.4202    0.0501
     13.50    1.4236    0.0508
     13.60    1.4289    0.0514
     13.70    1.4398    0.0518
     13.80    1.4388    0.0528
     13.90    1.4400    0.0537
     14.00    1.4427    0.0545
     14.10    1.4479    0.0552
     14.20    1.4604    0.0555
     14.30    1.4571    0.0568
     14.40    1.4559    0.0579
     14.50    1.4571    0.0588
     14.60    1.4605    0.0596
     14.70    1.4694    0.0601
     14.80    1.4743    0.0609
     14.90    1.4696    0.0623
     15.00    1.4665    0.0637
     15.10    1.4654    0.0649
     15.20    1.4672    0.0658
     15.30    1.4732    0.0664
     15.40    1.4863    0.0668
     15.50    1.4789    0.0684
     15.60    1.4724    0.0701
     15.70    1.4669    0.0717
     15.80    1.4624    0.0733
     15.90    1.4593    0.0747
     16.00    1.4583    0.0760
     16.10    1.4632    0.0767
     16.20    1.4819    0.0764
     16.30    1.4727    0.0784
     16.40    1.4637    0.0804
     16.50    1.4551    0.0825
     16.60    1.4468    0.0846
     16.70    1.4388    0.0868
     16.80    1.4310    0.0889
     16.90    1.4235    0.0911
     17.00    1.4162    0.0933
     17.10    1.4092    0.0956
     17.20    1.4024    0.0978
     17.30    1.3960    0.1000
     17.40    1.3900    0.1022
     17.50    1.3847    0.1044
     17.60    1.3826    0.1060
     17.70    1.4097    0.1035
     17.80    1.3998    0.1063
     17.90    1.3898    0.1091
     18.00    1.3799    0.1120
     18.10    1.3700    0.1150
     18.20    1.3600    0.1181
     18.30    1.3501    0.1213
     18.40    1.3401    0.1245
     18.50    1.3300    0.1279
     18.60    1.3200    0.1314
     18.70    1.3100    0.1349
     18.80    1.2999    0.1386
     18.90    1.2899    0.1423
     19.30    1.0702    0.2309
     19.40    1.0730    0.2321
     19.50    1.0776    0.2330
     19.60    1.0844    0.2337
     19.70    1.0949    0.2345
     19.80    1.0867    0.2371
     19.90    1.0850    0.2390
     20.00    1.0881    0.2402
