AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "NACA 4412" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.58          Angle of attack for zero Cn for linear Cn curve (deg)
5.91447        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2726        Cn at stall value for positive angle of attack for linear Cn curve
-0.2915        Cn at stall value for negative angle of attack for linear Cn curve
-1.20          Angle of attack for minimum CD (deg)
0.0179         Minimum CD value
     -8.00   -0.2676    0.0889
     -7.90   -0.2821    0.0880
     -7.80   -0.2710    0.0864
     -7.70   -0.2635    0.0853
     -7.60   -0.2720    0.0844
     -7.50   -0.2740    0.0831
     -7.40   -0.2629    0.0819
     -7.30   -0.2646    0.0808
     -7.20   -0.2675    0.0793
     -7.10   -0.2582    0.0783
     -7.00   -0.2679    0.0767
     -6.90   -0.2569    0.0756
     -6.80   -0.2508    0.0746
     -6.70   -0.2541    0.0730
     -6.60   -0.2460    0.0720
     -6.50   -0.2491    0.0703
     -6.40   -0.2406    0.0693
     -6.20   -0.2506    0.0472
     -6.10   -0.2435    0.0455
     -6.00   -0.2371    0.0432
     -5.90   -0.2322    0.0395
     -5.80   -0.2241    0.0381
     -5.70   -0.2157    0.0367
     -5.60   -0.2063    0.0360
     -5.50   -0.1968    0.0352
     -5.40   -0.1874    0.0344
     -5.30   -0.1779    0.0335
     -5.20   -0.1683    0.0325
     -5.10   -0.1585    0.0315
     -5.00   -0.1485    0.0308
     -4.90   -0.1383    0.0303
     -4.80   -0.1281    0.0297
     -4.70   -0.1177    0.0289
     -4.60   -0.1075    0.0285
     -4.50   -0.0970    0.0280
     -4.40   -0.0865    0.0274
     -4.30   -0.0761    0.0271
     -4.20   -0.0654    0.0266
     -4.10   -0.0551    0.0263
     -4.00   -0.0444    0.0258
     -3.90   -0.0339    0.0255
     -3.80   -0.0234    0.0252
     -3.70   -0.0128    0.0249
     -3.60   -0.0021    0.0246
     -3.50    0.0082    0.0244
     -3.40    0.0187    0.0241
     -3.30    0.0292    0.0239
     -3.20    0.0397    0.0236
     -3.10    0.0502    0.0234
     -3.00    0.0608    0.0231
     -2.90    0.0713    0.0229
     -2.80    0.0818    0.0227
     -2.70    0.0924    0.0224
     -2.60    0.1027    0.0222
     -2.50    0.1130    0.0219
     -2.40    0.1235    0.0217
     -2.30    0.1338    0.0214
     -2.20    0.1440    0.0212
     -2.10    0.1543    0.0210
     -2.00    0.1645    0.0207
     -1.90    0.1747    0.0205
     -1.80    0.1845    0.0202
     -1.70    0.1943    0.0199
     -1.60    0.2041    0.0197
     -1.50    0.2133    0.0194
     -1.40    0.2211    0.0190
     -1.30    0.2261    0.0185
     -1.20    0.2656    0.0179
     -1.10    0.2760    0.0180
     -1.00    0.2862    0.0180
     -0.90    0.2963    0.0180
     -0.80    0.3064    0.0181
     -0.70    0.3165    0.0181
     -0.60    0.3266    0.0182
     -0.50    0.3367    0.0182
     -0.40    0.3468    0.0183
     -0.30    0.3569    0.0183
     -0.20    0.3670    0.0184
     -0.10    0.3771    0.0184
      0.00    0.3873    0.0185
      0.10    0.3974    0.0185
      0.20    0.4075    0.0186
      0.30    0.4176    0.0186
      0.40    0.4278    0.0187
      0.50    0.4379    0.0188
      0.60    0.4480    0.0188
      0.70    0.4582    0.0189
      0.80    0.4683    0.0190
      0.90    0.4784    0.0190
      1.00    0.4885    0.0191
      1.10    0.4986    0.0192
      1.20    0.5087    0.0193
      1.30    0.5188    0.0193
      1.40    0.5289    0.0194
      1.50    0.5390    0.0195
      1.60    0.5490    0.0196
      1.70    0.5590    0.0196
      1.80    0.5691    0.0197
      1.90    0.5791    0.0198
      2.00    0.5891    0.0199
      2.10    0.5991    0.0200
      2.20    0.6090    0.0201
      2.30    0.6190    0.0202
      2.40    0.6289    0.0203
      2.50    0.6388    0.0204
      2.60    0.6487    0.0204
      2.70    0.6585    0.0205
      2.80    0.6684    0.0206
      2.90    0.6782    0.0207
      3.00    0.6880    0.0208
      3.10    0.6978    0.0209
      3.20    0.7075    0.0210
      3.30    0.7172    0.0212
      3.40    0.7269    0.0213
      3.50    0.7366    0.0214
      3.60    0.7462    0.0215
      3.70    0.7558    0.0216
      3.80    0.7653    0.0217
      3.90    0.7749    0.0218
      4.00    0.7844    0.0220
      4.10    0.7938    0.0221
      4.20    0.8032    0.0222
      4.30    0.8126    0.0223
      4.40    0.8220    0.0224
      4.50    0.8313    0.0226
      4.60    0.8405    0.0227
      4.70    0.8498    0.0228
      4.80    0.8589    0.0230
      4.90    0.8681    0.0231
      5.00    0.8771    0.0233
      5.10    0.8862    0.0234
      5.20    0.8951    0.0235
      5.30    0.9041    0.0237
      5.40    0.9129    0.0238
      5.50    0.9217    0.0240
      5.60    0.9305    0.0242
      5.70    0.9392    0.0243
      5.80    0.9478    0.0245
      5.90    0.9564    0.0246
      6.00    0.9649    0.0248
      6.10    0.9733    0.0250
      6.20    0.9816    0.0251
      6.30    0.9899    0.0253
      6.40    0.9981    0.0255
      6.50    1.0062    0.0257
      6.60    1.0143    0.0259
      6.70    1.0221    0.0261
      6.80    1.0297    0.0263
      6.90    1.0372    0.0265
      7.00    1.0445    0.0267
      7.10    1.0518    0.0269
      7.20    1.0590    0.0271
      7.30    1.0662    0.0273
      7.40    1.0733    0.0275
      7.50    1.0804    0.0277
      7.60    1.0874    0.0280
      7.70    1.0943    0.0282
      7.80    1.1012    0.0285
      7.90    1.1079    0.0287
      8.00    1.1146    0.0290
      8.10    1.1212    0.0292
      8.20    1.1277    0.0295
      8.30    1.1341    0.0298
      8.40    1.1405    0.0301
      8.50    1.1467    0.0304
      8.60    1.1528    0.0307
      8.70    1.1588    0.0310
      8.80    1.1647    0.0314
      8.90    1.1704    0.0317
      9.00    1.1761    0.0320
      9.10    1.1817    0.0324
      9.20    1.1871    0.0328
      9.30    1.1924    0.0331
      9.40    1.1975    0.0335
      9.50    1.2026    0.0340
      9.60    1.2074    0.0344
      9.70    1.2122    0.0348
      9.80    1.2168    0.0353
      9.90    1.2212    0.0357
     10.00    1.2255    0.0362
     10.10    1.2296    0.0367
     10.20    1.2335    0.0373
     10.30    1.2372    0.0378
     10.40    1.2407    0.0384
     10.50    1.2440    0.0390
     10.60    1.2471    0.0396
     10.70    1.2499    0.0403
     10.80    1.2525    0.0410
     10.90    1.2548    0.0417
     11.00    1.2569    0.0424
     11.10    1.2587    0.0432
     11.20    1.2602    0.0440
     11.30    1.2614    0.0449
     11.40    1.2626    0.0457
     11.50    1.2636    0.0466
     11.60    1.2645    0.0476
     11.70    1.2655    0.0485
     11.80    1.2667    0.0493
     11.90    1.2684    0.0502
     12.00    1.2709    0.0510
     12.10    1.2744    0.0516
     12.20    1.2796    0.0521
     12.30    1.2869    0.0525
     12.40    1.2974    0.0527
     12.50    1.3125    0.0526
     12.60    1.3344    0.0524
     12.70    1.3653    0.0522
     12.80    1.4031    0.0526
     12.90    1.4381    0.0539
     13.00    1.4612    0.0555
     13.10    1.4719    0.0568
     13.20    1.4910    0.0578
     13.30    1.4843    0.0589
     13.40    1.4787    0.0600
     13.50    1.4744    0.0612
     13.60    1.4724    0.0624
     13.70    1.4797    0.0633
     13.80    1.4936    0.0644
     13.90    1.4850    0.0657
     14.00    1.4766    0.0671
     14.10    1.4684    0.0685
     14.20    1.4603    0.0700
     14.30    1.4525    0.0716
     14.40    1.4448    0.0731
     14.50    1.4374    0.0748
     14.60    1.4305    0.0764
     14.70    1.4245    0.0780
     14.80    1.4530    0.0782
     14.90    1.4420    0.0800
     15.00    1.4309    0.0819
     15.10    1.4198    0.0839
     15.20    1.4085    0.0859
     15.30    1.3971    0.0881
     15.40    1.3856    0.0903
     15.50    1.3741    0.0927
     15.60    1.3625    0.0951
     15.70    1.3509    0.0976
     15.80    1.3393    0.1002
     15.90    1.3277    0.1029
     16.00    1.3163    0.1057
     16.10    1.3051    0.1086
     16.30    1.2089    0.1269
     16.60    0.8043    0.1793
     16.70    0.7992    0.1812
     16.80    0.7946    0.1831
     16.90    0.7905    0.1849
     17.00    0.7866    0.1866
     17.10    0.7831    0.1883
     17.20    0.7798    0.1900
     17.30    0.7767    0.1916
     17.40    0.7737    0.1932
     17.50    0.7710    0.1947
     17.60    0.7686    0.1962
     17.70    0.7664    0.1977
     17.80    0.7643    0.1992
     17.90    0.7625    0.2007
     18.00    0.7608    0.2021
     18.10    0.7593    0.2035
     18.20    0.7579    0.2049
     18.30    0.7566    0.2063
     18.40    0.7555    0.2077
     18.50    0.7544    0.2091
     18.60    0.7535    0.2104
     18.70    0.7526    0.2118
     18.80    0.7519    0.2131
     18.90    0.7512    0.2145
     19.00    0.7506    0.2158
     19.10    0.7501    0.2171
     19.20    0.7496    0.2184
     19.30    0.7492    0.2198
     19.40    0.7489    0.2211
     19.50    0.7486    0.2224
     19.60    0.7484    0.2237
     19.70    0.7482    0.2250
     19.80    0.7481    0.2263
     19.90    0.7481    0.2276
     20.00    0.7480    0.2288
