AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "NACA 64(2)-415" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
2.52           Angle of attack for zero Cn for linear Cn curve (deg)
3.59822        Cn slope for zero lift for linear Cn curve (1/rad)
0.6028         Cn at stall value for positive angle of attack for linear Cn curve
-0.1136        Cn at stall value for negative angle of attack for linear Cn curve
0.70           Angle of attack for minimum CD (deg)
0.0595         Minimum CD value
     -8.00   -0.1073    0.0882
     -7.90   -0.1067    0.0873
     -7.80   -0.1062    0.0864
     -7.70   -0.1056    0.0856
     -7.60   -0.1052    0.0847
     -7.50   -0.1047    0.0839
     -7.40   -0.1043    0.0831
     -7.30   -0.1039    0.0823
     -7.20   -0.1035    0.0815
     -7.10   -0.1032    0.0807
     -7.00   -0.1028    0.0800
     -6.90   -0.1024    0.0793
     -6.80   -0.1020    0.0786
     -6.70   -0.1016    0.0780
     -6.60   -0.1012    0.0774
     -6.50   -0.1007    0.0768
     -6.40   -0.1003    0.0762
     -6.30   -0.0999    0.0756
     -6.20   -0.0995    0.0751
     -6.10   -0.0991    0.0746
     -6.00   -0.0988    0.0741
     -5.90   -0.0989    0.0737
     -5.80   -0.0991    0.0732
     -5.70   -0.0996    0.0729
     -5.60   -0.1004    0.0725
     -5.50   -0.1014    0.0722
     -5.40   -0.1025    0.0718
     -5.30   -0.1036    0.0715
     -5.20   -0.1047    0.0712
     -5.10   -0.1058    0.0710
     -5.00   -0.1067    0.0707
     -4.90   -0.1076    0.0704
     -4.80   -0.1083    0.0702
     -4.70   -0.1090    0.0699
     -4.60   -0.1096    0.0696
     -4.50   -0.1102    0.0694
     -4.40   -0.1107    0.0692
     -4.30   -0.1112    0.0689
     -4.20   -0.1116    0.0687
     -4.10   -0.1120    0.0685
     -4.00   -0.1124    0.0683
     -3.90   -0.1127    0.0681
     -3.80   -0.1130    0.0679
     -3.70   -0.1133    0.0677
     -3.60   -0.1135    0.0675
     -3.50   -0.1138    0.0673
     -3.40   -0.1140    0.0671
     -3.30   -0.1141    0.0669
     -3.20   -0.1143    0.0667
     -3.10   -0.1144    0.0665
     -3.00   -0.1145    0.0663
     -2.90   -0.1146    0.0662
     -2.80   -0.1147    0.0660
     -2.70   -0.1148    0.0658
     -2.60   -0.1148    0.0656
     -2.50   -0.1149    0.0655
     -2.40   -0.1149    0.0653
     -2.30   -0.1149    0.0651
     -2.20   -0.1148    0.0650
     -2.10   -0.1148    0.0648
     -2.00   -0.1148    0.0646
     -1.90   -0.1147    0.0644
     -1.80   -0.1146    0.0643
     -1.70   -0.1145    0.0641
     -1.60   -0.1144    0.0639
     -1.50   -0.1142    0.0638
     -1.40   -0.1141    0.0636
     -1.30   -0.1139    0.0634
     -1.20   -0.1137    0.0632
     -1.10   -0.1135    0.0631
     -1.00   -0.1133    0.0629
     -0.90   -0.1130    0.0627
     -0.80   -0.1127    0.0625
     -0.70   -0.1124    0.0623
     -0.60   -0.1120    0.0622
     -0.50   -0.1116    0.0620
     -0.40   -0.1112    0.0618
     -0.30   -0.1107    0.0616
     -0.20   -0.1102    0.0614
     -0.10   -0.1096    0.0612
      0.00   -0.1089    0.0610
      0.10   -0.1082    0.0608
      0.20   -0.1074    0.0606
      0.30   -0.1066    0.0604
      0.40   -0.1056    0.0602
      0.50   -0.1046    0.0599
      0.60   -0.1034    0.0597
      0.70   -0.1021    0.0595
      0.80   -0.1002    0.0595
      0.90   -0.0974    0.0598
      1.00   -0.0940    0.0601
      1.10   -0.0899    0.0604
      1.20   -0.0853    0.0606
      1.30   -0.0803    0.0609
      1.40   -0.0749    0.0612
      1.50   -0.0691    0.0614
      1.60   -0.0630    0.0617
      1.70   -0.0567    0.0619
      1.80   -0.0502    0.0622
      1.90   -0.0435    0.0624
      2.00   -0.0367    0.0627
      2.10   -0.0298    0.0629
      2.20   -0.0227    0.0632
      2.30   -0.0156    0.0634
      2.40   -0.0084    0.0637
      2.50   -0.0011    0.0640
      2.60    0.0062    0.0643
      2.70    0.0136    0.0645
      2.80    0.0209    0.0648
      2.90    0.0284    0.0651
      3.00    0.0358    0.0654
      3.10    0.0433    0.0657
      3.20    0.0507    0.0660
      3.30    0.0582    0.0663
      3.40    0.0657    0.0666
      3.50    0.0732    0.0670
      3.60    0.0806    0.0673
      3.70    0.0881    0.0676
      3.80    0.0956    0.0680
      3.90    0.1030    0.0683
      4.00    0.1105    0.0687
      4.10    0.1179    0.0690
      4.20    0.1254    0.0694
      4.30    0.1328    0.0698
      4.40    0.1402    0.0701
      4.50    0.1475    0.0705
      4.60    0.1549    0.0709
      4.70    0.1623    0.0713
      4.80    0.1696    0.0717
      4.90    0.1769    0.0721
      5.00    0.1842    0.0725
      5.10    0.1914    0.0730
      5.20    0.1987    0.0734
      5.30    0.2059    0.0738
      5.40    0.2131    0.0743
      5.50    0.2203    0.0747
      5.60    0.2274    0.0752
      5.70    0.2346    0.0757
      5.80    0.2417    0.0761
      5.90    0.2487    0.0766
      6.00    0.2558    0.0771
      6.10    0.2628    0.0776
      6.20    0.2698    0.0781
      6.30    0.2768    0.0786
      6.40    0.2837    0.0791
      6.50    0.2907    0.0797
      6.60    0.2976    0.0802
      6.70    0.3044    0.0807
      6.80    0.3113    0.0813
      6.90    0.3181    0.0818
      7.00    0.3249    0.0824
      7.10    0.3316    0.0830
      7.20    0.3383    0.0836
      7.30    0.3450    0.0841
      7.40    0.3517    0.0847
      7.50    0.3583    0.0853
      7.60    0.3649    0.0860
      7.70    0.3715    0.0866
      7.80    0.3780    0.0872
      7.90    0.3845    0.0879
      8.00    0.3910    0.0885
      8.10    0.3975    0.0892
      8.20    0.4039    0.0898
      8.30    0.4103    0.0905
      8.40    0.4166    0.0912
      8.50    0.4229    0.0919
      8.60    0.4292    0.0926
      8.70    0.4355    0.0933
      8.80    0.4417    0.0941
      8.90    0.4479    0.0948
