AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "NACA 64(2)-415" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-5.38          Angle of attack for zero Cn for linear Cn curve (deg)
2.17033        Cn slope for zero lift for linear Cn curve (1/rad)
0.1896         Cn at stall value for positive angle of attack for linear Cn curve
-0.0735        Cn at stall value for negative angle of attack for linear Cn curve
0.10           Angle of attack for minimum CD (deg)
0.0475         Minimum CD value
     -8.00   -0.0631    0.0789
     -7.90   -0.0614    0.0777
     -7.80   -0.0597    0.0765
     -7.70   -0.0581    0.0754
     -7.60   -0.0566    0.0742
     -7.50   -0.0551    0.0731
     -7.40   -0.0537    0.0719
     -7.30   -0.0522    0.0708
     -7.20   -0.0508    0.0698
     -7.10   -0.0493    0.0687
     -7.00   -0.0477    0.0677
     -6.90   -0.0460    0.0668
     -6.80   -0.0441    0.0658
     -6.70   -0.0421    0.0649
     -6.60   -0.0399    0.0641
     -6.50   -0.0376    0.0633
     -6.40   -0.0350    0.0625
     -6.30   -0.0323    0.0618
     -6.20   -0.0293    0.0611
     -6.10   -0.0263    0.0605
     -6.00   -0.0230    0.0598
     -5.90   -0.0196    0.0592
     -5.80   -0.0160    0.0587
     -5.70   -0.0124    0.0581
     -5.60   -0.0086    0.0576
     -5.50   -0.0047    0.0571
     -5.40   -0.0006    0.0567
     -5.30    0.0034    0.0562
     -5.20    0.0076    0.0558
     -5.10    0.0119    0.0554
     -5.00    0.0162    0.0550
     -4.90    0.0205    0.0546
     -4.80    0.0249    0.0543
     -4.70    0.0294    0.0539
     -4.60    0.0339    0.0536
     -4.50    0.0384    0.0533
     -4.40    0.0429    0.0530
     -4.30    0.0474    0.0527
     -4.20    0.0519    0.0524
     -4.10    0.0565    0.0521
     -4.00    0.0610    0.0519
     -3.90    0.0656    0.0516
     -3.80    0.0701    0.0514
     -3.70    0.0746    0.0512
     -3.60    0.0791    0.0509
     -3.50    0.0835    0.0507
     -3.40    0.0880    0.0505
     -3.30    0.0923    0.0503
     -3.20    0.0967    0.0501
     -3.10    0.1010    0.0500
     -3.00    0.1053    0.0498
     -2.90    0.1095    0.0496
     -2.80    0.1136    0.0495
     -2.70    0.1177    0.0493
