AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.060_M0.00_N9.0" on Foil "NACA 64(2)-415" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.16          Angle of attack for zero Cn for linear Cn curve (deg)
6.13697        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3343        Cn at stall value for positive angle of attack for linear Cn curve
-0.4826        Cn at stall value for negative angle of attack for linear Cn curve
-5.10          Angle of attack for minimum CD (deg)
0.0232         Minimum CD value
     -8.00   -0.5674    0.0448
     -7.90   -0.5598    0.0437
     -7.80   -0.5520    0.0426
     -7.70   -0.5439    0.0416
     -7.60   -0.5357    0.0407
     -7.50   -0.5273    0.0397
     -7.40   -0.5188    0.0388
     -7.30   -0.5102    0.0379
     -7.20   -0.5015    0.0371
     -7.10   -0.4923    0.0362
     -7.00   -0.4818    0.0355
     -6.90   -0.4718    0.0348
     -6.80   -0.4620    0.0341
     -6.70   -0.4523    0.0334
     -6.60   -0.4415    0.0327
     -6.50   -0.4311    0.0321
     -6.40   -0.4207    0.0315
     -6.30   -0.4100    0.0309
     -6.20   -0.3994    0.0303
     -6.10   -0.3888    0.0298
     -6.00   -0.3784    0.0293
     -5.90   -0.3682    0.0288
     -5.80   -0.3586    0.0283
     -5.70   -0.3494    0.0278
     -5.60   -0.3409    0.0273
     -5.50   -0.3333    0.0267
     -5.40   -0.3267    0.0261
     -5.30   -0.3217    0.0253
     -5.20   -0.3195    0.0241
     -5.10   -0.3229    0.0232
     -5.00   -0.3196    0.0243
     -4.90   -0.3133    0.0254
     -4.80   -0.3061    0.0264
     -4.70   -0.2985    0.0272
     -4.60   -0.2909    0.0280
     -4.50   -0.2824    0.0288
     -4.40   -0.2749    0.0293
     -4.30   -0.2651    0.0301
     -4.20   -0.2554    0.0308
     -4.10   -0.2478    0.0312
     -4.00   -0.2343    0.0320
     -3.90   -0.2213    0.0326
     -3.80   -0.2093    0.0330
     -3.70   -0.1898    0.0335
     -3.60   -0.1793    0.0337
     -3.50   -0.1572    0.0339
     -3.40   -0.1395    0.0339
     -3.30   -0.1253    0.0338
     -3.20   -0.1151    0.0336
     -3.10   -0.1034    0.0335
     -3.00   -0.0850    0.0333
     -2.90   -0.0760    0.0330
     -2.80   -0.0666    0.0328
     -2.70   -0.0511    0.0325
     -2.60   -0.0491    0.0323
     -2.50   -0.0296    0.0320
     -2.40   -0.0286    0.0318
     -2.30   -0.0102    0.0315
     -2.20   -0.0052    0.0313
     -2.10    0.0066    0.0311
     -2.00    0.0174    0.0308
     -1.90    0.0196    0.0306
     -1.80    0.0364    0.0304
     -1.70    0.0407    0.0301
     -1.60    0.0508    0.0299
     -1.50    0.0633    0.0297
     -1.40    0.0632    0.0295
     -1.30    0.0797    0.0293
     -1.20    0.0898    0.0291
     -1.10    0.0915    0.0289
     -1.00    0.1084    0.0287
     -0.90    0.1164    0.0285
     -0.80    0.1220    0.0283
     -0.70    0.1370    0.0281
     -0.60    0.1434    0.0279
     -0.50    0.1520    0.0277
     -0.40    0.1657    0.0276
     -0.30    0.1709    0.0274
     -0.20    0.1825    0.0272
     -0.10    0.1952    0.0271
      0.00    0.1987    0.0269
      0.10    0.2145    0.0268
      0.20    0.2261    0.0266
      0.30    0.2334    0.0265
      0.40    0.2491    0.0264
      0.50    0.2581    0.0262
      0.60    0.2716    0.0261
      0.70    0.2848    0.0260
      0.80    0.2949    0.0259
      0.90    0.3106    0.0257
      1.00    0.3203    0.0256
      1.10    0.3374    0.0255
      1.20    0.3483    0.0255
      1.30    0.3654    0.0254
      1.40    0.3774    0.0253
      1.50    0.3949    0.0252
      1.60    0.4087    0.0251
      1.70    0.4257    0.0250
      1.80    0.4410    0.0250
      1.90    0.4569    0.0249
      2.00    0.4739    0.0248
      2.10    0.4901    0.0248
      2.20    0.5070    0.0247
      2.30    0.5241    0.0247
      2.40    0.5410    0.0247
      2.50    0.5491    0.0247
      2.60    0.5519    0.0247
      2.70    0.5543    0.0247
      2.80    0.5564    0.0247
      2.90    0.5582    0.0247
      3.00    0.5595    0.0247
      3.10    0.5603    0.0247
      3.20    0.5607    0.0247
      3.30    0.5605    0.0247
      3.40    0.5598    0.0247
      3.50    0.5584    0.0247
      3.60    0.5565    0.0247
      3.70    0.5541    0.0247
      3.80    0.5515    0.0247
      3.90    0.5495    0.0247
      4.00    0.5502    0.0247
      4.10    0.5539    0.0248
      4.20    0.5596    0.0249
      4.30    0.5667    0.0250
      4.40    0.5745    0.0251
      4.50    0.5829    0.0252
      4.60    0.5916    0.0253
      4.70    0.6005    0.0255
      4.80    0.6097    0.0257
      4.90    0.6189    0.0258
      5.00    0.6282    0.0260
      5.10    0.6375    0.0262
      5.20    0.6468    0.0264
      5.30    0.6561    0.0266
      5.40    0.6653    0.0268
      5.50    0.6744    0.0270
      5.60    0.6835    0.0272
      5.70    0.6924    0.0275
      5.80    0.7012    0.0277
      5.90    0.7100    0.0279
      6.00    0.7186    0.0282
      6.10    0.7271    0.0284
      6.20    0.7355    0.0287
      6.30    0.7438    0.0290
      6.40    0.7520    0.0293
      6.50    0.7601    0.0296
      6.60    0.7680    0.0299
      6.70    0.7759    0.0302
      6.80    0.7836    0.0305
      6.90    0.7912    0.0308
      7.00    0.7988    0.0311
      7.10    0.8062    0.0315
      7.20    0.8135    0.0318
      7.30    0.8208    0.0322
      7.40    0.8279    0.0325
      7.50    0.8349    0.0329
      7.60    0.8419    0.0333
      7.70    0.8487    0.0337
      7.80    0.8555    0.0341
      7.90    0.8621    0.0345
      8.00    0.8687    0.0349
      8.10    0.8751    0.0353
      8.20    0.8815    0.0357
      8.30    0.8877    0.0362
      8.40    0.8939    0.0366
      8.50    0.8999    0.0371
      8.60    0.9059    0.0376
      8.70    0.9117    0.0381
      8.80    0.9174    0.0386
      8.90    0.9230    0.0391
      9.00    0.9284    0.0396
      9.10    0.9337    0.0402
      9.20    0.9388    0.0408
      9.30    0.9437    0.0414
      9.40    0.9484    0.0420
      9.50    0.9529    0.0426
      9.60    0.9571    0.0433
      9.70    0.9609    0.0440
      9.80    0.9644    0.0447
      9.90    0.9675    0.0455
     10.00    0.9703    0.0463
     10.10    0.9729    0.0472
     10.20    0.9756    0.0480
     10.30    0.9788    0.0488
     10.40    0.9834    0.0494
     10.50    0.9909    0.0498
     10.60    1.0061    0.0497
     10.80    1.2040    0.0495
     10.90    1.2253    0.0513
     11.00    1.2390    0.0530
     11.10    1.2587    0.0546
     11.20    1.2589    0.0558
     11.30    1.2595    0.0571
     11.40    1.2602    0.0584
     11.50    1.2606    0.0597
     11.60    1.2604    0.0610
     11.70    1.2594    0.0624
     11.80    1.2574    0.0637
