AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "NACA 64(3)-618" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
-0.62293       Cn slope for zero lift for linear Cn curve (1/rad)
0.1688         Cn at stall value for positive angle of attack for linear Cn curve
0.0467         Cn at stall value for negative angle of attack for linear Cn curve
-2.30          Angle of attack for minimum CD (deg)
0.0586         Minimum CD value
     -8.00    0.0585    0.0812
     -7.90    0.0607    0.0802
     -7.80    0.0627    0.0792
     -7.70    0.0647    0.0783
     -7.60    0.0665    0.0774
     -7.50    0.0683    0.0765
     -7.40    0.0701    0.0756
     -7.30    0.0719    0.0748
     -7.20    0.0736    0.0740
     -7.10    0.0754    0.0732
     -7.00    0.0773    0.0724
     -6.90    0.0791    0.0717
     -6.80    0.0811    0.0710
     -6.70    0.0830    0.0703
     -6.60    0.0851    0.0696
     -6.50    0.0872    0.0690
     -6.40    0.0894    0.0684
     -6.30    0.0916    0.0679
     -6.20    0.0939    0.0673
     -6.10    0.0963    0.0668
     -6.00    0.0987    0.0663
     -5.90    0.1012    0.0658
     -5.80    0.1037    0.0654
     -5.70    0.1063    0.0649
     -5.60    0.1089    0.0645
     -5.50    0.1115    0.0641
     -5.40    0.1142    0.0638
     -5.30    0.1168    0.0634
     -5.20    0.1195    0.0631
     -5.10    0.1222    0.0627
     -5.00    0.1249    0.0624
     -4.90    0.1275    0.0621
     -4.80    0.1302    0.0619
     -4.70    0.1328    0.0616
     -4.60    0.1354    0.0613
     -4.50    0.1379    0.0611
     -4.40    0.1405    0.0609
     -4.30    0.1429    0.0607
     -4.20    0.1453    0.0605
     -4.10    0.1477    0.0603
     -4.00    0.1500    0.0601
     -3.90    0.1522    0.0599
     -3.80    0.1544    0.0598
     -3.70    0.1564    0.0596
     -3.60    0.1584    0.0595
     -3.50    0.1603    0.0594
     -3.40    0.1620    0.0593
     -3.30    0.1637    0.0592
     -3.20    0.1653    0.0591
     -3.10    0.1667    0.0590
     -3.00    0.1680    0.0589
     -2.90    0.1692    0.0588
     -2.80    0.1702    0.0588
     -2.70    0.1710    0.0587
     -2.60    0.1715    0.0587
     -2.50    0.1716    0.0587
     -2.40    0.1713    0.0586
     -2.30    0.1708    0.0586
     -2.20    0.1701    0.0587
     -2.10    0.1692    0.0587
     -2.00    0.1683    0.0587
     -1.90    0.1672    0.0587
     -1.80    0.1661    0.0588
     -1.70    0.1650    0.0588
     -1.60    0.1638    0.0589
     -1.50    0.1626    0.0590
     -1.40    0.1614    0.0590
     -1.30    0.1602    0.0591
     -1.20    0.1589    0.0592
     -1.10    0.1576    0.0592
     -1.00    0.1563    0.0593
     -0.90    0.1550    0.0594
     -0.80    0.1536    0.0595
     -0.70    0.1523    0.0595
     -0.60    0.1509    0.0596
     -0.50    0.1495    0.0597
     -0.40    0.1481    0.0598
     -0.30    0.1467    0.0599
     -0.20    0.1452    0.0599
     -0.10    0.1438    0.0600
      0.00    0.1423    0.0601
      0.10    0.1407    0.0602
      0.20    0.1392    0.0602
      0.30    0.1377    0.0603
      0.40    0.1361    0.0604
      0.50    0.1346    0.0604
      0.60    0.1330    0.0605
      0.70    0.1313    0.0605
      0.80    0.1297    0.0606
      0.90    0.1281    0.0606
      1.00    0.1265    0.0607
      1.10    0.1249    0.0607
      1.20    0.1233    0.0608
      1.30    0.1217    0.0608
      1.40    0.1201    0.0608
      1.50    0.1186    0.0609
      1.60    0.1172    0.0609
      1.70    0.1158    0.0609
      1.80    0.1144    0.0610
      1.90    0.1132    0.0610
      2.00    0.1123    0.0610
      2.10    0.1117    0.0610
      2.20    0.1116    0.0611
      2.30    0.1120    0.0611
      2.40    0.1130    0.0612
      2.50    0.1146    0.0613
      2.60    0.1167    0.0614
      2.70    0.1194    0.0615
      2.80    0.1225    0.0617
      2.90    0.1262    0.0618
      3.00    0.1303    0.0620
      3.10    0.1348    0.0622
      3.20    0.1396    0.0624
      3.30    0.1448    0.0626
      3.40    0.1502    0.0629
      3.50    0.1558    0.0631
      3.60    0.1617    0.0634
      3.70    0.1678    0.0637
      3.80    0.1741    0.0640
      3.90    0.1804    0.0643
      4.00    0.1870    0.0646
      4.10    0.1936    0.0649
      4.20    0.2003    0.0653
      4.30    0.2070    0.0657
      4.40    0.2139    0.0660
      4.50    0.2208    0.0664
      4.60    0.2277    0.0668
      4.70    0.2347    0.0672
      4.80    0.2417    0.0676
      4.90    0.2487    0.0680
      5.00    0.2557    0.0684
      5.10    0.2627    0.0689
      5.20    0.2697    0.0693
      5.30    0.2767    0.0697
      5.40    0.2837    0.0702
      5.50    0.2907    0.0707
      5.60    0.2977    0.0711
      5.70    0.3047    0.0716
      5.80    0.3117    0.0721
      5.90    0.3186    0.0726
      6.00    0.3255    0.0731
      6.10    0.3324    0.0736
      6.20    0.3393    0.0741
      6.30    0.3461    0.0747
      6.40    0.3529    0.0752
      6.50    0.3597    0.0757
      6.60    0.3665    0.0763
      6.70    0.3732    0.0768
      6.80    0.3799    0.0774
      6.90    0.3865    0.0780
      7.00    0.3931    0.0786
      7.10    0.3997    0.0791
      7.20    0.4063    0.0797
      7.30    0.4128    0.0803
      7.40    0.4193    0.0809
      7.50    0.4257    0.0816
      7.60    0.4321    0.0822
      7.70    0.4385    0.0828
      7.80    0.4449    0.0834
      7.90    0.4512    0.0841
      8.00    0.4575    0.0847
      8.10    0.4637    0.0854
      8.20    0.4699    0.0860
      8.30    0.4761    0.0867
      8.40    0.4822    0.0874
      8.50    0.4883    0.0881
      8.60    0.4944    0.0888
      8.70    0.5004    0.0895
      8.80    0.5064    0.0902
      8.90    0.5123    0.0909
      9.00    0.5183    0.0916
      9.10    0.5241    0.0923
      9.20    0.5300    0.0931
      9.30    0.5358    0.0938
      9.40    0.5416    0.0945
      9.50    0.5473    0.0953
      9.60    0.5530    0.0961
      9.70    0.5586    0.0968
      9.80    0.5642    0.0976
      9.90    0.5698    0.0984
     10.00    0.5754    0.0992
     10.10    0.5809    0.1000
     10.20    0.5864    0.1008
     10.30    0.5918    0.1016
     10.40    0.5973    0.1024
     10.50    0.6026    0.1032
     10.60    0.6080    0.1041
     10.70    0.6133    0.1049
     10.80    0.6186    0.1058
     10.90    0.6239    0.1066
     11.00    0.6291    0.1075
     11.10    0.6342    0.1083
     11.20    0.6394    0.1092
     11.30    0.6445    0.1101
     11.40    0.6496    0.1110
     11.50    0.6546    0.1119
     11.60    0.6596    0.1128
     11.70    0.6646    0.1137
     11.80    0.6695    0.1146
     11.90    0.6744    0.1156
     12.00    0.6793    0.1165
     12.10    0.6841    0.1175
     12.20    0.6889    0.1184
     12.30    0.6937    0.1194
     12.40    0.6984    0.1203
     12.50    0.7031    0.1213
     12.60    0.7078    0.1223
     12.70    0.7124    0.1233
     12.80    0.7170    0.1243
     12.90    0.7216    0.1253
     13.00    0.7261    0.1263
     13.10    0.7307    0.1273
     13.20    0.7351    0.1283
     13.30    0.7395    0.1294
     13.40    0.7440    0.1304
     13.50    0.7484    0.1314
     13.60    0.7529    0.1325
     13.70    0.7573    0.1335
     13.80    0.7617    0.1346
