AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "NACA 64(3)-618" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
4.05           Angle of attack for zero Cn for linear Cn curve (deg)
3.91055        Cn slope for zero lift for linear Cn curve (1/rad)
0.7824         Cn at stall value for positive angle of attack for linear Cn curve
-0.1229        Cn at stall value for negative angle of attack for linear Cn curve
2.50           Angle of attack for minimum CD (deg)
0.0626         Minimum CD value
     -8.00   -0.0729    0.0984
     -7.90   -0.0747    0.0979
     -7.80   -0.0765    0.0974
     -7.70   -0.0784    0.0969
     -7.60   -0.0802    0.0963
     -7.50   -0.0821    0.0958
     -7.40   -0.0840    0.0953
     -7.30   -0.0859    0.0948
     -7.20   -0.0878    0.0943
     -7.10   -0.0897    0.0938
     -7.00   -0.0916    0.0933
     -6.90   -0.0935    0.0928
     -6.80   -0.0953    0.0923
     -6.70   -0.0972    0.0919
     -6.60   -0.0990    0.0914
     -6.50   -0.1008    0.0909
     -6.40   -0.1026    0.0905
     -6.30   -0.1043    0.0901
     -6.20   -0.1060    0.0896
     -6.10   -0.1077    0.0892
     -6.00   -0.1092    0.0888
     -5.90   -0.1108    0.0884
     -5.80   -0.1123    0.0880
     -5.70   -0.1137    0.0876
     -5.60   -0.1151    0.0872
     -5.50   -0.1164    0.0868
     -5.40   -0.1177    0.0865
     -5.30   -0.1189    0.0861
     -5.20   -0.1201    0.0858
     -5.10   -0.1212    0.0854
     -5.00   -0.1222    0.0851
     -4.90   -0.1232    0.0848
     -4.80   -0.1242    0.0845
     -4.70   -0.1251    0.0841
     -4.60   -0.1259    0.0838
     -4.50   -0.1267    0.0835
     -4.40   -0.1274    0.0833
     -4.30   -0.1281    0.0830
     -4.20   -0.1288    0.0827
     -4.10   -0.1294    0.0824
     -4.00   -0.1299    0.0821
     -3.90   -0.1304    0.0819
     -3.80   -0.1309    0.0816
     -3.70   -0.1313    0.0813
     -3.60   -0.1317    0.0811
     -3.50   -0.1321    0.0808
     -3.40   -0.1324    0.0806
     -3.30   -0.1327    0.0804
     -3.20   -0.1330    0.0801
     -3.10   -0.1332    0.0799
     -3.00   -0.1335    0.0796
     -2.90   -0.1336    0.0794
     -2.80   -0.1338    0.0792
     -2.70   -0.1339    0.0789
     -2.60   -0.1340    0.0787
     -2.50   -0.1341    0.0785
     -2.40   -0.1342    0.0782
     -2.30   -0.1342    0.0780
     -2.20   -0.1342    0.0778
     -2.10   -0.1342    0.0775
     -2.00   -0.1342    0.0773
     -1.90   -0.1342    0.0771
     -1.80   -0.1341    0.0768
     -1.70   -0.1341    0.0766
     -1.60   -0.1340    0.0764
     -1.50   -0.1339    0.0761
     -1.40   -0.1338    0.0759
     -1.30   -0.1337    0.0756
     -1.20   -0.1336    0.0754
     -1.10   -0.1335    0.0752
     -1.00   -0.1333    0.0749
     -0.90   -0.1331    0.0746
     -0.80   -0.1330    0.0744
     -0.70   -0.1328    0.0741
     -0.60   -0.1326    0.0739
     -0.50   -0.1324    0.0736
     -0.40   -0.1323    0.0733
     -0.30   -0.1321    0.0730
     -0.20   -0.1319    0.0727
     -0.10   -0.1316    0.0724
      0.00   -0.1314    0.0721
      0.10   -0.1312    0.0718
