AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "NACA 64(3)-618" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.40          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.22          Angle of attack for zero Cn for linear Cn curve (deg)
5.37250        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2465        Cn at stall value for positive angle of attack for linear Cn curve
-0.4259        Cn at stall value for negative angle of attack for linear Cn curve
-5.60          Angle of attack for minimum CD (deg)
0.0181         Minimum CD value
     -8.00   -0.4261    0.0281
     -7.90   -0.4164    0.0276
     -7.80   -0.4064    0.0272
     -7.70   -0.3967    0.0269
     -7.60   -0.3872    0.0266
     -7.50   -0.3778    0.0262
     -7.40   -0.3683    0.0258
     -7.30   -0.3591    0.0255
     -7.20   -0.3499    0.0252
     -7.10   -0.3410    0.0249
     -7.00   -0.3322    0.0246
     -6.90   -0.3233    0.0243
     -6.80   -0.3151    0.0240
     -6.70   -0.3067    0.0237
     -6.60   -0.2986    0.0234
     -6.50   -0.2906    0.0230
     -6.40   -0.2828    0.0227
     -6.30   -0.2748    0.0224
     -6.20   -0.2674    0.0221
     -6.10   -0.2600    0.0217
     -6.00   -0.2526    0.0213
     -5.90   -0.2457    0.0208
     -5.80   -0.2391    0.0201
     -5.70   -0.2336    0.0192
     -5.60   -0.2290    0.0181
     -5.50   -0.2192    0.0182
     -5.40   -0.2085    0.0184
     -5.30   -0.1979    0.0186
     -5.20   -0.1877    0.0188
     -5.10   -0.1773    0.0190
     -5.00   -0.1671    0.0192
     -4.90   -0.1570    0.0194
     -4.80   -0.1469    0.0196
     -4.70   -0.1367    0.0198
     -4.60   -0.1272    0.0201
     -4.50   -0.1175    0.0203
     -4.40   -0.1073    0.0204
     -4.30   -0.0985    0.0207
     -4.20   -0.0885    0.0209
     -4.10   -0.0795    0.0211
     -4.00   -0.0698    0.0213
     -3.90   -0.0610    0.0216
     -3.80   -0.0513    0.0217
     -3.70   -0.0428    0.0219
     -3.60   -0.0329    0.0220
     -3.50   -0.0250    0.0223
     -3.40   -0.0148    0.0224
     -3.30   -0.0075    0.0227
     -3.20    0.0025    0.0228
     -3.10    0.0090    0.0231
     -3.00    0.0177    0.0233
     -2.90    0.0255    0.0235
     -2.80    0.0332    0.0237
     -2.70    0.0431    0.0237
     -2.60    0.0508    0.0239
     -2.50    0.0598    0.0239
     -2.40    0.0718    0.0237
     -2.30    0.0801    0.0237
     -2.20    0.0889    0.0237
     -2.10    0.0985    0.0237
     -2.00    0.1098    0.0235
     -1.90    0.1207    0.0234
     -1.80    0.1295    0.0234
     -1.70    0.1388    0.0234
     -1.60    0.1487    0.0233
     -1.50    0.1601    0.0232
     -1.40    0.1719    0.0230
     -1.30    0.1807    0.0230
     -1.20    0.1900    0.0230
     -1.10    0.1998    0.0229
     -1.00    0.2106    0.0228
     -0.90    0.2238    0.0227
     -0.80    0.2328    0.0226
     -0.70    0.2418    0.0226
     -0.60    0.2513    0.0226
     -0.50    0.2614    0.0226
     -0.40    0.2730    0.0225
     -0.30    0.2851    0.0224
     -0.20    0.2938    0.0224
     -0.10    0.3030    0.0223
      0.00    0.3128    0.0223
      0.10    0.3234    0.0223
      0.20    0.3354    0.0222
      0.30    0.3466    0.0221
      0.40    0.3554    0.0221
      0.50    0.3646    0.0221
      0.60    0.3745    0.0221
      0.70    0.3853    0.0221
      0.80    0.3976    0.0220
      0.90    0.4074    0.0220
      1.00    0.4161    0.0220
      1.10    0.4253    0.0220
      1.20    0.4352    0.0220
      1.30    0.4463    0.0220
      1.40    0.4584    0.0220
      1.50    0.4666    0.0220
      1.60    0.4752    0.0220
      1.70    0.4845    0.0220
      1.80    0.4949    0.0220
      1.90    0.5069    0.0220
      2.00    0.5149    0.0220
      2.10    0.5233    0.0221
