AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.90          Angle of attack for zero Cn for linear Cn curve (deg)
0.98342        Cn slope for zero lift for linear Cn curve (1/rad)
0.0518         Cn at stall value for positive angle of attack for linear Cn curve
0.0148         Cn at stall value for negative angle of attack for linear Cn curve
4.70           Angle of attack for minimum CD (deg)
0.0632         Minimum CD value
     -8.00    0.0315    0.1174
     -7.90    0.0332    0.1168
     -7.80    0.0348    0.1162
     -7.70    0.0363    0.1157
     -7.60    0.0378    0.1151
     -7.50    0.0393    0.1145
     -7.40    0.0408    0.1140
     -7.30    0.0422    0.1134
     -7.20    0.0436    0.1129
     -7.10    0.0449    0.1123
     -7.00    0.0462    0.1118
     -6.90    0.0474    0.1112
     -6.80    0.0486    0.1107
     -6.70    0.0497    0.1102
     -6.60    0.0508    0.1097
     -6.50    0.0519    0.1092
     -6.40    0.0529    0.1087
     -6.30    0.0539    0.1082
     -6.20    0.0547    0.1077
     -6.10    0.0555    0.1072
     -6.00    0.0563    0.1068
     -5.90    0.0570    0.1063
     -5.80    0.0577    0.1058
     -5.70    0.0584    0.1054
     -5.60    0.0589    0.1049
     -5.50    0.0593    0.1045
     -5.40    0.0597    0.1041
     -5.30    0.0600    0.1037
     -5.20    0.0603    0.1033
     -5.10    0.0605    0.1029
     -5.00    0.0605    0.1025
     -4.90    0.0605    0.1022
     -4.80    0.0605    0.1018
     -4.70    0.0604    0.1015
     -4.60    0.0601    0.1011
     -4.50    0.0597    0.1008
     -4.40    0.0592    0.1005
     -4.30    0.0588    0.1002
     -4.20    0.0581    0.0999
     -4.10    0.0573    0.0997
     -4.00    0.0564    0.0994
     -3.90    0.0555    0.0992
     -3.80    0.0543    0.0990
     -3.70    0.0531    0.0988
     -3.60    0.0517    0.0986
     -3.50    0.0502    0.0985
     -3.40    0.0485    0.0983
     -3.30    0.0465    0.0983
     -3.20    0.0444    0.0982
     -3.10    0.0417    0.0982
     -3.00    0.0386    0.0983
     -2.90    0.0354    0.0985
     -2.80    0.0324    0.0986
     -2.70    0.0293    0.0987
     -2.60    0.0264    0.0988
     -2.50    0.0236    0.0989
     -2.40    0.0210    0.0989
     -2.30    0.0184    0.0990
     -2.20    0.0159    0.0990
     -2.10    0.0135    0.0990
     -2.00    0.0111    0.0990
     -1.90    0.0089    0.0990
     -1.80    0.0067    0.0989
     -1.70    0.0045    0.0989
     -1.60    0.0024    0.0988
     -1.50    0.0003    0.0987
     -1.40   -0.0018    0.0986
     -1.30   -0.0039    0.0985
     -1.20   -0.0060    0.0984
     -1.10   -0.0079    0.0983
     -1.00   -0.0099    0.0982
     -0.90   -0.0119    0.0981
     -0.80   -0.0138    0.0979
     -0.70   -0.0157    0.0978
     -0.60   -0.0176    0.0976
     -0.50   -0.0195    0.0974
     -0.40   -0.0213    0.0972
     -0.30   -0.0231    0.0970
     -0.20   -0.0250    0.0968
     -0.10   -0.0268    0.0966
      0.00   -0.0287    0.0964
      0.10   -0.0306    0.0961
      0.20   -0.0325    0.0959
      0.30   -0.0343    0.0957
      0.40   -0.0362    0.0954
      0.50   -0.0380    0.0951
      0.60   -0.0399    0.0948
      0.70   -0.0418    0.0945
      0.80   -0.0436    0.0942
      0.90   -0.0455    0.0939
      1.00   -0.0473    0.0935
      1.10   -0.0492    0.0932
      1.20   -0.0511    0.0928
      1.30   -0.0530    0.0924
      1.40   -0.0550    0.0920
      1.50   -0.0569    0.0916
      1.60   -0.0589    0.0911
      1.70   -0.0609    0.0907
      1.80   -0.0629    0.0902
      1.90   -0.0649    0.0897
      2.00   -0.0671    0.0892
      2.10   -0.0692    0.0886
      2.20   -0.0714    0.0881
      2.30   -0.0736    0.0875
      2.40   -0.0758    0.0869
      2.50   -0.0780    0.0862
      2.60   -0.0803    0.0855
      2.70   -0.0826    0.0848
      2.80   -0.0849    0.0840
      2.90   -0.0872    0.0832
      3.00   -0.0896    0.0823
      3.10   -0.0921    0.0814
      3.20   -0.0945    0.0805
      3.30   -0.0969    0.0795
      3.40   -0.0994    0.0784
