AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-10.95         Angle of attack for zero Cn for linear Cn curve (deg)
0.10966        Cn slope for zero lift for linear Cn curve (1/rad)
0.2718         Cn at stall value for positive angle of attack for linear Cn curve
0.0456         Cn at stall value for negative angle of attack for linear Cn curve
-2.80          Angle of attack for minimum CD (deg)
0.0733         Minimum CD value
     -8.00    0.0617    0.1116
     -7.90    0.0638    0.1109
     -7.80    0.0659    0.1102
     -7.70    0.0678    0.1096
     -7.60    0.0698    0.1089
     -7.50    0.0718    0.1082
     -7.40    0.0737    0.1076
     -7.30    0.0757    0.1069
     -7.20    0.0776    0.1062
     -7.10    0.0795    0.1056
     -7.00    0.0814    0.1050
     -6.90    0.0831    0.1043
     -6.80    0.0848    0.1037
     -6.70    0.0865    0.1031
     -6.50    0.1538    0.0970
     -6.40    0.1636    0.0957
     -6.30    0.1715    0.0946
     -6.20    0.1782    0.0936
     -6.10    0.1842    0.0926
     -6.00    0.1895    0.0918
     -5.90    0.1943    0.0909
     -5.80    0.1987    0.0902
     -5.70    0.2028    0.0894
     -5.60    0.2067    0.0887
     -5.50    0.2103    0.0880
     -5.40    0.2138    0.0873
     -5.30    0.2172    0.0866
     -5.20    0.2204    0.0860
     -5.10    0.2235    0.0853
     -5.00    0.2266    0.0847
     -4.90    0.2295    0.0841
     -4.80    0.2324    0.0835
     -4.70    0.2351    0.0829
     -4.60    0.2378    0.0823
     -4.50    0.2405    0.0817
     -4.40    0.2431    0.0812
     -4.30    0.2456    0.0806
     -4.20    0.2481    0.0800
     -4.10    0.2505    0.0795
     -4.00    0.2528    0.0790
     -3.90    0.2551    0.0785
     -3.80    0.2573    0.0779
     -3.70    0.2595    0.0774
     -3.60    0.2616    0.0769
     -3.50    0.2636    0.0764
     -3.40    0.2657    0.0760
     -3.30    0.2676    0.0755
     -3.20    0.2696    0.0750
     -3.10    0.2714    0.0746
     -3.00    0.2731    0.0741
     -2.90    0.2748    0.0737
     -2.80    0.2757    0.0733
     -2.70    0.2619    0.0739
     -2.60    0.2483    0.0746
     -2.50    0.2345    0.0754
     -2.40    0.2222    0.0760
     -2.30    0.2111    0.0764
     -2.20    0.1971    0.0772
     -2.10    0.1886    0.0774
     -2.00    0.1748    0.0782
     -1.90    0.1667    0.0784
     -1.80    0.1552    0.0789
     -1.70    0.1430    0.0796
     -1.60    0.1360    0.0796
     -1.50    0.1216    0.0804
     -1.40    0.1127    0.0808
     -1.30    0.1051    0.0809
     -1.20    0.0902    0.0818
