AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.060_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
9.30           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
12.51553       Cn slope for zero lift for linear Cn curve (1/rad)
0.1136         Cn at stall value for positive angle of attack for linear Cn curve
0.0287         Cn at stall value for negative angle of attack for linear Cn curve
-0.10          Angle of attack for minimum CD (deg)
0.0315         Minimum CD value
     -8.00    0.0958    0.1135
     -7.90    0.0938    0.1138
     -7.80    0.0897    0.1145
     -7.70    0.0841    0.1154
     -7.60    0.0779    0.1165
     -7.50    0.0717    0.1174
     -7.40    0.0658    0.1182
     -7.30    0.0599    0.1188
     -7.20    0.0544    0.1194
     -7.10    0.0487    0.1198
     -7.00    0.0437    0.1201
     -6.90    0.1007    0.1064
     -6.80    0.1095    0.1044
     -6.70    0.1149    0.1032
     -6.60    0.1187    0.1022
     -6.50    0.1215    0.1013
     -6.40    0.1234    0.1006
     -6.30    0.1247    0.1000
     -6.20    0.1252    0.0995
     -6.10    0.1248    0.0991
     -6.00    0.1230    0.0989
     -5.90    0.1191    0.0991
     -5.80    0.1123    0.0997
     -5.70    0.1031    0.1006
     -5.60    0.0928    0.1016
     -5.50    0.0832    0.1026
     -5.40    0.0761    0.1035
     -5.30    0.0719    0.1042
     -5.20    0.0704    0.1046
     -5.10    0.0726    0.1015
     -5.00    0.0896    0.0962
     -4.90    0.1073    0.0931
     -4.80    0.1172    0.0915
     -4.70    0.1213    0.0905
     -4.60    0.1222    0.0899
     -4.50    0.1210    0.0895
     -4.40    0.1185    0.0893
     -4.30    0.1148    0.0893
     -4.20    0.1087    0.0900
     -4.10    0.1026    0.0919
     -4.00    0.1085    0.0940
     -3.90    0.1049    0.0903
     -3.80    0.1074    0.0870
     -3.70    0.1156    0.0849
     -3.60    0.1217    0.0837
     -3.50    0.1252    0.0829
     -3.40    0.1270    0.0823
     -3.30    0.1277    0.0820
     -3.20    0.1426    0.0857
     -3.10    0.1380    0.0830
     -3.00    0.1362    0.0810
     -2.90    0.1368    0.0793
     -2.80    0.1391    0.0779
     -2.70    0.1423    0.0768
     -2.60    0.1460    0.0759
     -2.50    0.1500    0.0750
     -2.40    0.1545    0.0743
     -2.10    0.1815    0.0720
     -2.00    0.1821    0.0708
     -1.90    0.1841    0.0697
     -1.80    0.1875    0.0688
     -1.70    0.1924    0.0680
     -1.60    0.1996    0.0672
     -1.40    0.2365    0.0651
     -1.30    0.2381    0.0640
     -1.20    0.2413    0.0631
     -1.10    0.2463    0.0622
     -1.00    0.2537    0.0613
     -0.90    0.2660    0.0604
     -0.80    0.3104    0.0589
     -0.70    0.3157    0.0578
     -0.60    0.3231    0.0567
     -0.50    0.3309    0.0557
     -0.40    0.3399    0.0548
     -0.30    0.3541    0.0540
     -0.20    0.8443    0.0315
     -0.10    0.8635    0.0315
      0.00    0.8693    0.0317
      0.10    0.8760    0.0321
      0.20    0.8808    0.0324
      0.30    0.8815    0.0326
      0.40    0.8871    0.0328
      0.50    0.8949    0.0330
      0.60    0.8961    0.0331
      0.70    0.9050    0.0332
      0.80    0.9094    0.0332
      0.90    0.9209    0.0333
      1.00    0.9282    0.0333
      1.10    0.9447    0.0333
      1.20    0.9538    0.0333
      1.30    0.9669    0.0333
      1.40    0.9826    0.0333
      1.50    0.9923    0.0333
      1.60    1.0059    0.0333
      1.70    1.0222    0.0334
      1.80    1.0328    0.0334
      1.90    1.0452    0.0334
      2.00    1.0608    0.0335
      2.10    1.0696    0.0335
      2.20    1.0811    0.0335
      2.30    1.0945    0.0336
      2.40    1.1039    0.0336
      2.50    1.1164    0.0337
      2.60    1.1280    0.0338
      2.70    1.1381    0.0338
      2.80    1.1510    0.0339
      2.90    1.1590    0.0339
      3.00    1.1703    0.0340
      3.10    1.1775    0.0340
      3.20    1.1866    0.0340
      3.30    1.1934    0.0340
      3.40    1.1988    0.0340
      3.50    1.2020    0.0339
      3.60    1.1995    0.0336
      3.80    1.2394    0.0344
      3.90    1.2559    0.0347
      4.00    1.2707    0.0350
      4.10    1.2843    0.0353
      4.20    1.2968    0.0356
      4.30    1.3084    0.0359
      4.40    1.3194    0.0362
      4.50    1.3299    0.0365
      4.60    1.3399    0.0368
      4.70    1.3496    0.0371
      4.80    1.3590    0.0374
      4.90    1.3682    0.0377
      5.00    1.3772    0.0380
      5.10    1.3860    0.0383
      5.20    1.3945    0.0386
      5.30    1.4029    0.0389
      5.40    1.4111    0.0393
      5.50    1.4192    0.0396
      5.60    1.4272    0.0399
      5.70    1.4350    0.0402
      5.80    1.4427    0.0406
      5.90    1.4502    0.0409
      6.00    1.4576    0.0413
      6.10    1.4649    0.0417
      6.20    1.4720    0.0420
      6.30    1.4789    0.0424
      6.40    1.4857    0.0428
      6.50    1.4924    0.0432
      6.60    1.4989    0.0436
      6.70    1.5053    0.0441
      6.80    1.5115    0.0445
      6.90    1.5175    0.0449
      7.00    1.5234    0.0454
      7.10    1.5292    0.0459
      7.20    1.5348    0.0463
      7.30    1.5402    0.0468
      7.40    1.5454    0.0473
      7.50    1.5505    0.0479
      7.60    1.5554    0.0484
      7.70    1.5601    0.0490
      7.80    1.5646    0.0495
      7.90    1.5689    0.0501
      8.00    1.5730    0.0508
      8.10    1.5768    0.0514
      8.20    1.5804    0.0521
      8.30    1.5837    0.0528
      8.40    1.5868    0.0535
      8.50    1.5896    0.0542
      8.60    1.5923    0.0550
      8.70    1.5945    0.0558
      8.80    1.5964    0.0567
      8.90    1.5980    0.0576
      9.00    1.5993    0.0585
      9.10    1.6001    0.0595
      9.20    1.6006    0.0606
      9.30    1.6007    0.0617
      9.40    1.6002    0.0629
      9.50    1.5992    0.0642
      9.60    1.5977    0.0655
      9.70    1.5954    0.0670
      9.80    1.5922    0.0686
      9.90    1.5883    0.0704
     10.00    1.5833    0.0723
     10.10    1.5776    0.0744
     10.20    1.5707    0.0768
     10.30    1.5624    0.0795
     10.40    1.5526    0.0825
     10.50    1.5408    0.0860
     10.60    1.5270    0.0900
     10.70    1.5116    0.0946
     10.80    1.4959    0.0994
     10.90    1.4814    0.1041
     11.00    1.4683    0.1084
     11.10    1.4566    0.1125
     11.20    1.4463    0.1163
     11.30    1.4372    0.1199
     11.40    1.4294    0.1232
     11.50    1.4224    0.1263
     11.60    1.4162    0.1293
     11.70    1.4107    0.1322
     11.80    1.4060    0.1349
     11.90    1.4017    0.1375
     12.00    1.3978    0.1401
     12.10    1.3943    0.1426
     12.20    1.3913    0.1450
     12.30    1.3886    0.1473
     12.40    1.3861    0.1496
     12.50    1.3840    0.1519
     12.60    1.3821    0.1541
     12.70    1.3806    0.1562
     12.80    1.3794    0.1583
     12.90    1.3784    0.1604
     13.00    1.3775    0.1624
     13.10    1.3769    0.1645
     13.20    1.3764    0.1664
     13.30    1.3761    0.1684
     13.40    1.3759    0.1703
     13.50    1.3756    0.1722
     13.60    1.3754    0.1742
     13.70    1.3752    0.1761
     13.80    1.3752    0.1780
     13.90    1.3753    0.1799
     14.00    1.3756    0.1817
     14.10    1.3761    0.1835
     14.20    1.3767    0.1852
     14.30    1.3772    0.1870
     14.40    1.3779    0.1887
     14.50    1.3788    0.1904
     14.60    1.3797    0.1921
     14.70    1.3809    0.1937
     14.80    1.3822    0.1953
     14.90    1.3835    0.1969
     15.00    1.3850    0.1984
     15.10    1.3864    0.2000
     15.20    1.3878    0.2015
     15.30    1.3894    0.2030
     15.40    1.3911    0.2045
     15.50    1.3929    0.2059
     15.60    1.3948    0.2073
     15.70    1.3968    0.2087
     15.80    1.3988    0.2101
     15.90    1.4009    0.2115
     16.00    1.4030    0.2128
     16.10    1.4051    0.2142
     16.20    1.4073    0.2155
     16.30    1.4094    0.2168
     16.40    1.4116    0.2181
     16.50    1.4137    0.2195
     16.60    1.4160    0.2207
     16.70    1.4183    0.2220
     16.80    1.4207    0.2232
     16.90    1.4232    0.2245
     17.00    1.4256    0.2257
     17.10    1.4281    0.2269
     17.20    1.4307    0.2281
     17.30    1.4333    0.2292
     17.40    1.4359    0.2304
     17.50    1.4385    0.2315
     17.60    1.4412    0.2326
     17.70    1.4439    0.2337
     17.80    1.4467    0.2348
     17.90    1.4494    0.2359
     18.00    1.4522    0.2369
     18.10    1.4549    0.2380
     18.20    1.4577    0.2390
     18.30    1.4605    0.2400
     18.40    1.4634    0.2410
     18.50    1.4662    0.2420
     18.60    1.4691    0.2430
     18.70    1.4719    0.2440
     18.80    1.4748    0.2450
     18.90    1.4777    0.2459
     19.00    1.4806    0.2469
     19.10    1.4836    0.2478
     19.20    1.4865    0.2488
     19.30    1.4894    0.2497
     19.40    1.4923    0.2506
     19.50    1.4952    0.2516
     19.60    1.4981    0.2525
     19.70    1.5011    0.2534
     19.80    1.5040    0.2543
     19.90    1.5070    0.2552
     20.00    1.5099    0.2561
