AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.20          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
11.97115       Cn slope for zero lift for linear Cn curve (1/rad)
0.1428         Cn at stall value for positive angle of attack for linear Cn curve
0.1295         Cn at stall value for negative angle of attack for linear Cn curve
-0.30          Angle of attack for minimum CD (deg)
0.0274         Minimum CD value
     -8.00    0.1457    0.1059
     -7.90    0.1485    0.1051
     -7.80    0.1510    0.1043
     -7.70    0.1531    0.1036
     -7.60    0.1550    0.1030
     -7.50    0.1563    0.1024
     -7.40    0.1571    0.1019
     -7.30    0.1570    0.1016
     -7.20    0.1553    0.1015
     -7.10    0.1516    0.1019
     -7.00    0.1459    0.1025
     -6.90    0.1394    0.1032
     -6.80    0.1329    0.1039
     -6.70    0.1266    0.1044
     -6.60    0.1204    0.1047
     -6.50    0.1146    0.1050
     -6.40    0.1095    0.1051
     -6.30    0.1065    0.1051
     -6.20    0.1047    0.1049
     -6.10    0.1528    0.0945
     -6.00    0.1641    0.0926
     -5.90    0.1698    0.0915
     -5.80    0.1735    0.0906
     -5.70    0.1760    0.0898
     -5.60    0.1774    0.0892
     -5.50    0.1781    0.0886
     -5.40    0.1780    0.0881
     -5.30    0.1770    0.0876
     -5.20    0.1750    0.0873
     -5.10    0.1716    0.0871
     -5.00    0.1665    0.0870
     -4.90    0.1599    0.0872
     -4.80    0.1529    0.0876
     -4.70    0.1461    0.0885
     -4.60    0.1443    0.0893
     -4.50    0.1476    0.0894
     -4.40    0.1497    0.0879
     -4.30    0.1479    0.0849
     -4.20    0.1512    0.0828
     -4.10    0.1565    0.0813
     -4.00    0.1620    0.0801
     -3.90    0.1666    0.0791
     -3.80    0.1702    0.0783
     -3.70    0.1732    0.0776
     -3.60    0.1757    0.0769
     -3.50    0.1779    0.0762
     -3.40    0.1802    0.0756
     -3.10    0.1983    0.0730
     -3.00    0.1972    0.0719
     -2.90    0.1981    0.0711
     -2.80    0.2009    0.0703
     -2.70    0.2051    0.0697
     -2.60    0.2121    0.0691
     -2.50    0.2404    0.0677
     -2.40    0.2384    0.0666
     -2.30    0.2384    0.0658
     -2.20    0.2404    0.0649
     -2.10    0.2441    0.0642
     -2.00    0.2495    0.0634
     -1.90    0.2585    0.0626
     -1.60    0.3027    0.0589
     -1.50    0.3062    0.0581
     -1.40    0.3120    0.0574
     -1.30    0.3211    0.0566
     -1.10    0.4772    0.0453
     -1.00    0.4797    0.0458
     -0.90    0.4753    0.0461
     -0.80    0.4058    0.0507
     -0.70    0.4247    0.0495
     -0.60    0.8588    0.0279
     -0.50    0.8782    0.0276
     -0.40    0.8971    0.0274
     -0.30    0.9169    0.0274
     -0.20    0.9252    0.0278
     -0.10    0.9322    0.0281
      0.00    0.9363    0.0283
      0.10    0.9450    0.0286
      0.20    0.9490    0.0288
      0.30    0.9581    0.0290
      0.40    0.9622    0.0291
      0.50    0.9728    0.0293
      0.60    0.9780    0.0294
      0.70    0.9872    0.0295
      0.80    0.9995    0.0296
      0.90    1.0083    0.0296
      1.00    1.0201    0.0296
      1.10    1.0362    0.0297
      1.20    1.0458    0.0297
      1.30    1.0561    0.0298
      1.40    1.0686    0.0298
      1.50    1.0831    0.0299
      1.60    1.0934    0.0299
      1.70    1.1046    0.0300
      1.80    1.1173    0.0301
      1.90    1.1305    0.0302
      2.00    1.1402    0.0302
      2.10    1.1512    0.0303
      2.20    1.1645    0.0304
      2.30    1.1738    0.0304
      2.40    1.1843    0.0305
      2.50    1.1968    0.0307
      2.60    1.2064    0.0307
      2.70    1.2164    0.0308
      2.80    1.2282    0.0309
      2.90    1.2374    0.0310
      3.00    1.2471    0.0311
      3.10    1.2575    0.0312
      3.20    1.2662    0.0312
      3.30    1.2764    0.0313
      3.40    1.2844    0.0314
      3.50    1.2936    0.0315
      3.60    1.3012    0.0315
      3.70    1.3080    0.0315
      3.80    1.3128    0.0315
      3.90    1.3114    0.0313
      4.00    1.3224    0.0315
      4.10    1.3369    0.0318
      4.20    1.3501    0.0320
      4.30    1.3621    0.0323
      4.40    1.3733    0.0326
      4.50    1.3839    0.0328
      4.60    1.3941    0.0331
      4.70    1.4038    0.0334
      4.80    1.4133    0.0336
      4.90    1.4225    0.0339
      5.00    1.4315    0.0341
      5.10    1.4403    0.0344
      5.20    1.4489    0.0347
      5.30    1.4575    0.0349
      5.40    1.4658    0.0352
      5.50    1.4740    0.0355
      5.60    1.4821    0.0358
      5.70    1.4901    0.0360
      5.80    1.4979    0.0363
      5.90    1.5056    0.0366
      6.00    1.5132    0.0369
      6.10    1.5207    0.0372
      6.20    1.5282    0.0376
      6.30    1.5355    0.0379
      6.40    1.5427    0.0382
      6.50    1.5499    0.0385
      6.60    1.5569    0.0389
      6.70    1.5638    0.0392
      6.80    1.5705    0.0396
      6.90    1.5771    0.0399
      7.00    1.5836    0.0403
      7.10    1.5900    0.0407
      7.20    1.5963    0.0410
      7.30    1.6024    0.0414
      7.40    1.6085    0.0418
      7.50    1.6144    0.0422
