AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:34 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
9.89476        Cn slope for zero lift for linear Cn curve (1/rad)
0.2075         Cn at stall value for positive angle of attack for linear Cn curve
0.1961         Cn at stall value for negative angle of attack for linear Cn curve
-0.40          Angle of attack for minimum CD (deg)
0.0232         Minimum CD value
     -7.90    0.2114    0.0967
     -7.80    0.2134    0.0960
     -7.70    0.2153    0.0953
     -7.60    0.2170    0.0947
     -7.50    0.2186    0.0940
     -7.40    0.2198    0.0934
     -7.30    0.2207    0.0928
     -7.20    0.2211    0.0923
     -7.10    0.2206    0.0919
     -7.00    0.2185    0.0917
     -6.90    0.2145    0.0918
     -6.80    0.2093    0.0920
     -6.70    0.2043    0.0921
     -6.60    0.1995    0.0921
     -6.50    0.1950    0.0921
     -6.40    0.1906    0.0920
     -6.30    0.1859    0.0918
     -6.20    0.1814    0.0916
     -6.10    0.1781    0.0912
     -6.00    0.1766    0.0907
     -5.90    0.1951    0.0861
     -5.80    0.2097    0.0840
     -5.70    0.2169    0.0829
     -5.60    0.2210    0.0820
     -5.50    0.2234    0.0813
     -5.40    0.2246    0.0807
     -5.30    0.2251    0.0801
     -5.20    0.2249    0.0795
     -5.10    0.2240    0.0790
     -5.00    0.2226    0.0786
     -4.90    0.2207    0.0781
     -4.80    0.2188    0.0776
     -4.70    0.2175    0.0771
     -4.60    0.2167    0.0765
     -4.50    0.2157    0.0760
     -4.40    0.2143    0.0756
     -4.30    0.2144    0.0755
     -4.20    0.2213    0.0751
     -4.10    0.2292    0.0742
     -4.00    0.2281    0.0718
     -3.90    0.2257    0.0704
     -3.80    0.2261    0.0694
     -3.70    0.2278    0.0686
     -3.60    0.2303    0.0679
     -3.50    0.2333    0.0672
     -3.40    0.2368    0.0666
     -3.30    0.2407    0.0659
     -3.20    0.2450    0.0651
     -3.10    0.2501    0.0644
     -3.00    0.2564    0.0635
     -2.70    0.3075    0.0576
     -2.60    0.3084    0.0571
     -2.50    0.3105    0.0566
     -2.40    0.3141    0.0560
     -2.30    0.3194    0.0555
     -2.20    0.3276    0.0547
     -1.90    0.3795    0.0506
     -1.80    0.3812    0.0504
     -1.70    0.3929    0.0499
     -1.60    0.7614    0.0258
     -1.50    0.7785    0.0255
     -1.40    0.7946    0.0252
     -1.30    0.8088    0.0250
     -1.20    0.8226    0.0250
     -1.10    0.8383    0.0248
     -1.00    0.8574    0.0243
     -0.90    0.8729    0.0241
     -0.80    0.8880    0.0239
     -0.70    0.9027    0.0238
     -0.60    0.9214    0.0236
     -0.50    0.9404    0.0234
     -0.40    0.9642    0.0232
     -0.30    0.9737    0.0235
     -0.20    0.9831    0.0237
     -0.10    0.9923    0.0238
      0.00    1.0014    0.0240
      0.10    1.0112    0.0241
      0.20    1.0193    0.0243
      0.30    1.0290    0.0245
      0.40    1.0376    0.0246
      0.50    1.0458    0.0248
      0.60    1.0563    0.0250
      0.70    1.0659    0.0250
      0.80    1.0752    0.0251
      0.90    1.0858    0.0252
      1.00    1.0975    0.0253
      1.10    1.1092    0.0254
      1.20    1.1192    0.0254
      1.30    1.1293    0.0255
      1.40    1.1402    0.0256
      1.50    1.1518    0.0257
      1.60    1.1630    0.0258
      1.70    1.1732    0.0258
      1.80    1.1836    0.0259
      1.90    1.1945    0.0260
      2.00    1.2059    0.0261
      2.10    1.2161    0.0262
      2.20    1.2260    0.0263
      2.30    1.2365    0.0264
      2.40    1.2475    0.0265
      2.50    1.2574    0.0266
      2.60    1.2674    0.0267
      2.70    1.2780    0.0268
      2.80    1.2887    0.0270
      2.90    1.2985    0.0271
      3.00    1.3086    0.0272
      3.10    1.3192    0.0273
      3.20    1.3290    0.0274
      3.30    1.3387    0.0275
      3.40    1.3489    0.0277
      3.50    1.3582    0.0278
      3.60    1.3672    0.0279
      3.70    1.3768    0.0280
      3.80    1.3853    0.0281
      3.90    1.3946    0.0282
      4.00    1.4031    0.0283
      4.10    1.4120    0.0284
      4.20    1.4201    0.0285
      4.30    1.4280    0.0286
      4.40    1.4336    0.0286
      4.60    1.4416    0.0286
      4.70    1.4522    0.0288
      4.80    1.4622    0.0290
      4.90    1.4719    0.0293
      5.00    1.4813    0.0295
      5.10    1.4905    0.0297
      5.20    1.4995    0.0299
      5.30    1.5083    0.0301
      5.40    1.5171    0.0303
      5.50    1.5257    0.0306
      5.60    1.5341    0.0308
      5.70    1.5424    0.0310
      5.80    1.5507    0.0313
      5.90    1.5588    0.0315
      6.00    1.5668    0.0318
      6.10    1.5748    0.0320
      6.20    1.5827    0.0323
      6.30    1.5906    0.0325
      6.40    1.5983    0.0328
      6.50    1.6060    0.0330
      6.60    1.6137    0.0333
      6.70    1.6213    0.0336
      6.80    1.6287    0.0338
      6.90    1.6361    0.0341
      7.00    1.6434    0.0344
      7.10    1.6505    0.0347
      7.20    1.6576    0.0350
      7.30    1.6646    0.0353
      7.40    1.6715    0.0356
      7.50    1.6784    0.0359
      7.60    1.6852    0.0362
      7.70    1.6919    0.0365
      7.80    1.6985    0.0369
      7.90    1.7050    0.0372
      8.00    1.7114    0.0375
      8.10    1.7177    0.0379
      8.20    1.7239    0.0382
      8.30    1.7300    0.0386
      8.40    1.7360    0.0390
      8.50    1.7419    0.0394
      8.60    1.7478    0.0398
      8.70    1.7536    0.0402
      8.80    1.7591    0.0406
      8.90    1.7646    0.0410
      9.00    1.7699    0.0414
      9.10    1.7751    0.0419
      9.20    1.7802    0.0423
      9.30    1.7853    0.0428
      9.40    1.7903    0.0432
      9.50    1.7951    0.0437
      9.60    1.7997    0.0442
      9.70    1.8041    0.0447
      9.80    1.8084    0.0453
      9.90    1.8127    0.0458
     10.00    1.8169    0.0463
     10.10    1.8210    0.0469
     10.20    1.8248    0.0475
     10.30    1.8284    0.0481
     10.40    1.8318    0.0487
     10.50    1.8352    0.0494
     10.60    1.8385    0.0500
     10.70    1.8417    0.0507
     10.80    1.8445    0.0514
     10.90    1.8470    0.0522
     11.00    1.8494    0.0529
     11.10    1.8518    0.0537
     11.20    1.8540    0.0545
     11.30    1.8558    0.0553
     11.40    1.8573    0.0562
     11.50    1.8586    0.0572
     11.60    1.8599    0.0581
     11.70    1.8609    0.0591
     11.80    1.8614    0.0601
     11.90    1.8616    0.0612
     12.00    1.8617    0.0624
     12.10    1.8614    0.0636
