AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "SD8040 (10%)" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.30          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.16          Angle of attack for zero Cn for linear Cn curve (deg)
4.29712        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0804        Cn at stall value for positive angle of attack for linear Cn curve
-0.1346        Cn at stall value for negative angle of attack for linear Cn curve
-0.80          Angle of attack for minimum CD (deg)
0.0496         Minimum CD value
     -8.00   -0.1231    0.0912
     -7.90   -0.1203    0.0903
     -7.80   -0.1175    0.0894
     -7.70   -0.1148    0.0885
     -7.60   -0.1121    0.0876
     -7.50   -0.1095    0.0867
     -7.40   -0.1069    0.0858
     -7.30   -0.1044    0.0849
     -7.20   -0.1019    0.0840
     -7.10   -0.0995    0.0831
     -7.00   -0.0972    0.0822
     -6.90   -0.0949    0.0814
     -6.80   -0.0927    0.0805
     -6.70   -0.0906    0.0796
     -6.60   -0.0886    0.0788
     -6.50   -0.0866    0.0779
     -6.40   -0.0848    0.0771
     -6.30   -0.0830    0.0762
     -6.20   -0.0814    0.0754
     -6.10   -0.0798    0.0746
     -6.00   -0.0784    0.0737
     -5.90   -0.0771    0.0729
     -5.80   -0.0759    0.0721
     -5.70   -0.0748    0.0713
     -5.60   -0.0739    0.0705
     -5.50   -0.0731    0.0697
     -5.40   -0.0724    0.0689
     -5.30   -0.0720    0.0681
     -5.20   -0.0717    0.0674
     -5.10   -0.0716    0.0666
     -5.00   -0.0717    0.0658
     -4.90   -0.0720    0.0651
     -4.80   -0.0725    0.0643
     -4.70   -0.0733    0.0636
     -4.60   -0.0743    0.0629
     -4.50   -0.0756    0.0622
     -4.40   -0.0772    0.0614
     -4.30   -0.0791    0.0607
     -4.20   -0.0812    0.0600
     -4.10   -0.0837    0.0594
     -4.00   -0.0865    0.0587
     -3.90   -0.0896    0.0580
     -3.80   -0.0929    0.0574
     -3.70   -0.0966    0.0567
     -3.60   -0.1007    0.0561
     -3.50   -0.1050    0.0555
     -3.40   -0.1094    0.0550
     -3.30   -0.1140    0.0544
     -3.20   -0.1186    0.0539
     -3.10   -0.1230    0.0534
     -3.00   -0.1268    0.0530
     -2.90   -0.1297    0.0526
     -2.80   -0.1319    0.0522
     -2.70   -0.1332    0.0519
     -2.60   -0.1334    0.0516
     -2.50   -0.1326    0.0513
     -2.40   -0.1311    0.0511
     -2.30   -0.1288    0.0509
     -2.20   -0.1259    0.0507
     -2.10   -0.1224    0.0505
     -2.00   -0.1185    0.0504
     -1.90   -0.1143    0.0502
     -1.80   -0.1098    0.0501
     -1.70   -0.1052    0.0500
     -1.60   -0.1002    0.0500
     -1.50   -0.0951    0.0499
     -1.40   -0.0898    0.0498
     -1.30   -0.0844    0.0498
     -1.20   -0.0791    0.0497
     -1.10   -0.0737    0.0497
     -1.00   -0.0681    0.0497
     -0.90   -0.0625    0.0497
     -0.80   -0.0568    0.0496
     -0.70   -0.0492    0.0498
     -0.60   -0.0407    0.0500
     -0.50   -0.0319    0.0502
     -0.40   -0.0228    0.0504
     -0.30   -0.0133    0.0505
     -0.20   -0.0037    0.0507
     -0.10    0.0059    0.0509
      0.00    0.0157    0.0511
      0.10    0.0255    0.0513
      0.20    0.0352    0.0515
      0.30    0.0448    0.0517
      0.40    0.0545    0.0519
      0.50    0.0642    0.0521
      0.60    0.0736    0.0523
      0.70    0.0829    0.0525
      0.80    0.0922    0.0527
      0.90    0.1015    0.0530
      1.00    0.1108    0.0532
      1.10    0.1199    0.0534
      1.20    0.1289    0.0536
      1.30    0.1378    0.0539
      1.40    0.1467    0.0541
      1.50    0.1555    0.0544
      1.60    0.1642    0.0546
      1.70    0.1728    0.0549
      1.80    0.1813    0.0552
      1.90    0.1897    0.0554
      2.00    0.1980    0.0557
      2.10    0.2063    0.0560
      2.20    0.2146    0.0563
      2.30    0.2228    0.0566
      2.40    0.2308    0.0570
      2.50    0.2388    0.0573
      2.60    0.2466    0.0576
      2.70    0.2544    0.0580
      2.80    0.2621    0.0583
      2.90    0.2698    0.0587
      3.00    0.2774    0.0591
      3.10    0.2849    0.0594
      3.20    0.2923    0.0598
      3.30    0.2996    0.0602
      3.40    0.3068    0.0607
      3.50    0.3139    0.0611
      3.60    0.3210    0.0615
      3.70    0.3280    0.0620
      3.80    0.3349    0.0624
      3.90    0.3418    0.0629
      4.00    0.3485    0.0634
      4.10    0.3551    0.0639
      4.20    0.3617    0.0644
      4.30    0.3681    0.0649
      4.40    0.3745    0.0654
      4.50    0.3809    0.0660
      4.60    0.3871    0.0665
      4.70    0.3932    0.0671
      4.80    0.3993    0.0677
      4.90    0.4053    0.0683
      5.00    0.4111    0.0689
      5.10    0.4170    0.0695
      5.20    0.4227    0.0701
      5.30    0.4284    0.0708
      5.40    0.4340    0.0714
      5.50    0.4395    0.0721
      5.60    0.4449    0.0728
      5.70    0.4503    0.0735
      5.80    0.4555    0.0742
      5.90    0.4608    0.0749
      6.00    0.4660    0.0756
      6.10    0.4710    0.0764
      6.20    0.4761    0.0772
      6.30    0.4810    0.0779
      6.40    0.4859    0.0787
      6.50    0.4907    0.0795
      6.60    0.4955    0.0803
      6.70    0.5002    0.0811
      6.80    0.5049    0.0820
      6.90    0.5095    0.0828
      7.00    0.5141    0.0837
      7.10    0.5186    0.0846
      7.20    0.5231    0.0855
      7.30    0.5274    0.0863
      7.40    0.5317    0.0872
      7.50    0.5361    0.0881
      7.60    0.5404    0.0890
      7.70    0.5447    0.0900
      7.80    0.5490    0.0909
      7.90    0.5532    0.0919
      8.00    0.5575    0.0929
      8.10    0.5616    0.0938
      8.20    0.5657    0.0948
      8.30    0.5698    0.0958
      8.40    0.5739    0.0968
      8.50    0.5781    0.0978
      8.60    0.5822    0.0988
      8.70    0.5863    0.0999
      8.80    0.5904    0.1009
      8.90    0.5945    0.1020
      9.00    0.5986    0.1031
      9.10    0.6026    0.1041
      9.20    0.6065    0.1052
      9.30    0.6104    0.1063
      9.40    0.6144    0.1074
      9.50    0.6184    0.1085
      9.60    0.6224    0.1096
      9.70    0.6264    0.1107
      9.80    0.6304    0.1119
      9.90    0.6343    0.1130
     10.00    0.6383    0.1142
     10.10    0.6421    0.1154
     10.20    0.6459    0.1165
     10.30    0.6497    0.1177
     10.40    0.6534    0.1189
     10.50    0.6571    0.1201
     10.60    0.6609    0.1212
     10.70    0.6646    0.1225
     10.80    0.6684    0.1237
     10.90    0.6721    0.1249
     11.00    0.6758    0.1262
     11.10    0.6795    0.1274
     11.20    0.6832    0.1287
     11.30    0.6868    0.1299
     11.40    0.6905    0.1312
     11.50    0.6942    0.1325
     11.60    0.6978    0.1338
     11.70    0.7014    0.1351
     11.80    0.7050    0.1364
     11.90    0.7085    0.1377
     12.00    0.7120    0.1390
     12.10    0.7154    0.1403
     12.20    0.7189    0.1416
     12.30    0.7223    0.1430
     12.40    0.7256    0.1443
     12.50    0.7290    0.1457
     12.60    0.7323    0.1471
     12.70    0.7356    0.1485
     12.80    0.7388    0.1499
     12.90    0.7421    0.1513
     13.00    0.7453    0.1527
     13.10    0.7484    0.1542
     13.20    0.7516    0.1556
     13.30    0.7547    0.1571
     13.40    0.7579    0.1588
     13.50    0.7610    0.1603
     13.60    0.7639    0.1619
     13.70    0.7669    0.1634
     13.80    0.7698    0.1650
     13.90    0.7727    0.1666
     14.00    0.7755    0.1681
     14.10    0.7783    0.1698
     14.20    0.7811    0.1714
     14.30    0.7839    0.1730
     14.40    0.7866    0.1747
     14.50    0.7893    0.1763
     14.60    0.7920    0.1780
     14.70    0.7946    0.1797
     14.80    0.7972    0.1815
     14.90    0.7998    0.1832
     15.00    0.8024    0.1849
     15.10    0.8049    0.1867
     15.20    0.8073    0.1885
     15.30    0.8098    0.1902
     15.40    0.8122    0.1920
     15.50    0.8145    0.1939
     15.60    0.8169    0.1957
     15.70    0.8192    0.1975
     15.80    0.8214    0.1994
     15.90    0.8236    0.2012
     16.00    0.8258    0.2031
     16.10    0.8279    0.2050
     16.20    0.8300    0.2068
     16.30    0.8321    0.2087
     16.40    0.8341    0.2106
     16.50    0.8361    0.2126
     16.60    0.8380    0.2145
     16.70    0.8399    0.2164
     16.80    0.8417    0.2184
     16.90    0.8434    0.2203
     17.00    0.8451    0.2222
     17.10    0.8468    0.2242
     17.20    0.8483    0.2261
     17.30    0.8498    0.2281
     17.40    0.8513    0.2301
     17.50    0.8527    0.2320
     17.60    0.8540    0.2340
     17.70    0.8553    0.2359
     17.80    0.8565    0.2379
     17.90    0.8576    0.2399
     18.00    0.8587    0.2418
     18.10    0.8597    0.2438
     18.20    0.8606    0.2457
     18.30    0.8615    0.2477
     18.40    0.8623    0.2496
     18.50    0.8630    0.2516
     18.60    0.8637    0.2535
     18.70    0.8642    0.2554
     18.80    0.8647    0.2573
     18.90    0.8651    0.2592
     19.00    0.8654    0.2611
