AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:06 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "CH10 (smoothed)" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.77           Angle of attack for zero Cn for linear Cn curve (deg)
8.26852        Cn slope for zero lift for linear Cn curve (1/rad)
0.5082         Cn at stall value for positive angle of attack for linear Cn curve
-0.1223        Cn at stall value for negative angle of attack for linear Cn curve
3.90           Angle of attack for minimum CD (deg)
0.0570         Minimum CD value
     -8.00   -0.0824    0.1340
     -7.90   -0.0822    0.1336
     -7.80   -0.0820    0.1332
     -7.70   -0.0818    0.1327
     -7.60   -0.0817    0.1323
     -7.50   -0.0815    0.1319
     -7.40   -0.0813    0.1315
     -7.30   -0.0812    0.1311
     -7.20   -0.0810    0.1307
     -7.10   -0.0809    0.1302
     -7.00   -0.0808    0.1298
     -6.90   -0.0806    0.1294
     -6.80   -0.0805    0.1290
     -6.70   -0.0804    0.1286
     -6.60   -0.0802    0.1282
     -6.50   -0.0801    0.1277
     -6.40   -0.0800    0.1273
     -6.30   -0.0799    0.1269
     -6.20   -0.0798    0.1265
     -6.10   -0.0797    0.1261
     -6.00   -0.0796    0.1256
     -5.90   -0.0795    0.1252
     -5.80   -0.0795    0.1248
     -5.70   -0.0794    0.1244
     -5.60   -0.0793    0.1239
     -5.50   -0.0793    0.1235
     -5.40   -0.0792    0.1231
     -5.30   -0.0792    0.1227
     -5.20   -0.0792    0.1222
     -5.10   -0.0791    0.1218
     -5.00   -0.0791    0.1214
     -4.90   -0.0791    0.1209
     -4.80   -0.0791    0.1205
     -4.70   -0.0791    0.1201
     -4.60   -0.0791    0.1196
     -4.50   -0.0792    0.1192
     -4.40   -0.0792    0.1188
     -4.30   -0.0792    0.1183
     -4.20   -0.0793    0.1179
     -4.10   -0.0793    0.1174
     -4.00   -0.0794    0.1170
     -3.90   -0.0795    0.1165
     -3.80   -0.0795    0.1161
     -3.70   -0.0796    0.1156
     -3.60   -0.0798    0.1152
     -3.50   -0.0799    0.1147
     -3.40   -0.0800    0.1143
     -3.30   -0.0801    0.1138
     -3.20   -0.0803    0.1134
     -3.10   -0.0805    0.1129
     -3.00   -0.0806    0.1125
     -2.90   -0.0808    0.1120
     -2.80   -0.0810    0.1115
     -2.70   -0.0812    0.1111
     -2.60   -0.0815    0.1106
     -2.50   -0.0817    0.1101
     -2.40   -0.0820    0.1096
     -2.30   -0.0822    0.1091
     -2.20   -0.0825    0.1087
     -2.10   -0.0828    0.1082
     -2.00   -0.0832    0.1077
     -1.90   -0.0835    0.1072
     -1.80   -0.0838    0.1067
     -1.70   -0.0842    0.1062
     -1.60   -0.0846    0.1057
     -1.50   -0.0850    0.1052
     -1.40   -0.0855    0.1046
     -1.30   -0.0859    0.1041
     -1.20   -0.0864    0.1036
     -1.10   -0.0869    0.1031
     -1.00   -0.0874    0.1025
     -0.90   -0.0880    0.1020
     -0.80   -0.0885    0.1014
     -0.70   -0.0891    0.1008
     -0.60   -0.0897    0.1003
     -0.50   -0.0904    0.0997
     -0.40   -0.0911    0.0991
     -0.30   -0.0918    0.0985
     -0.20   -0.0925    0.0979
     -0.10   -0.0933    0.0973
      0.00   -0.0941    0.0966
      0.10   -0.0949    0.0960
      0.20   -0.0958    0.0954
      0.30   -0.0967    0.0947
      0.40   -0.0976    0.0940
      0.50   -0.0986    0.0933
      0.60   -0.0996    0.0926
      0.70   -0.1006    0.0918
      0.80   -0.1017    0.0911
      0.90   -0.1029    0.0903
      1.00   -0.1040    0.0895
      1.10   -0.1053    0.0886
      1.20   -0.1065    0.0878
      1.30   -0.1078    0.0869
      1.40   -0.1091    0.0860
      1.50   -0.1105    0.0850
      1.60   -0.1120    0.0840
      1.70   -0.1134    0.0829
      1.80   -0.1149    0.0818
      1.90   -0.1165    0.0807
      2.00   -0.1180    0.0795
      2.10   -0.1196    0.0782
      2.20   -0.1212    0.0769
      2.30   -0.1227    0.0755
      2.40   -0.1242    0.0741
      2.50   -0.1257    0.0726
      2.60   -0.1270    0.0710
      2.70   -0.1276    0.0694
      2.80   -0.1274    0.0677
      2.90   -0.1258    0.0661
      3.00   -0.1225    0.0645
      3.10   -0.1170    0.0630
      3.20   -0.1091    0.0616
      3.30   -0.0982    0.0604
      3.40   -0.0843    0.0593
      3.50   -0.0668    0.0584
      3.60   -0.0458    0.0577
      3.70   -0.0211    0.0573
      3.80    0.0075    0.0570
      3.90    0.0400    0.0570
      4.00    0.0763    0.0571
      4.10    0.1165    0.0575
      4.20    0.1601    0.0581
      4.30    0.2064    0.0589
      4.40    0.2535    0.0599
      4.50    0.2978    0.0609
      4.60    0.3332    0.0618
      4.70    0.3581    0.0624
      4.80    0.3759    0.0630
      4.90    0.3900    0.0635
      5.00    0.4020    0.0640
      5.10    0.4127    0.0644
      5.20    0.4226    0.0649
      5.30    0.4318    0.0653
      5.40    0.4407    0.0657
      5.50    0.4492    0.0662
      5.60    0.4575    0.0666
      5.70    0.4656    0.0670
      5.80    0.4734    0.0675
      5.90    0.4812    0.0680
      6.00    0.4888    0.0684
      6.10    0.4963    0.0689
      6.20    0.5036    0.0694
      6.30    0.5199    0.0817
      6.40    0.5376    0.0907
      6.50    0.5525    0.0958
      6.60    0.5658    0.0994
      6.70    0.5779    0.1022
      6.80    0.5893    0.1045
      6.90    0.6001    0.1064
      7.00    0.6104    0.1081
      7.10    0.6203    0.1097
      7.20    0.6299    0.1111
      7.30    0.6391    0.1125
      7.40    0.6482    0.1137
      7.50    0.6570    0.1149
      7.60    0.6656    0.1160
      7.70    0.6740    0.1171
      7.80    0.6823    0.1182
      7.90    0.6905    0.1192
      8.00    0.6985    0.1202
      8.10    0.7063    0.1211
      8.20    0.7141    0.1221
      8.30    0.7218    0.1230
      8.40    0.7293    0.1239
      8.50    0.7368    0.1248
      8.60    0.7441    0.1256
      8.70    0.7514    0.1265
      8.80    0.7586    0.1273
      8.90    0.7657    0.1282
      9.00    0.7727    0.1290
      9.10    0.7797    0.1298
      9.20    0.7866    0.1307
      9.30    0.7934    0.1315
      9.40    0.8002    0.1323
      9.50    0.8069    0.1331
      9.60    0.8136    0.1339
      9.70    0.8202    0.1347
      9.80    0.8267    0.1355
      9.90    0.8332    0.1362
     10.00    0.8397    0.1370
     10.10    0.8460    0.1378
     10.20    0.8524    0.1386
     10.30    0.8587    0.1394
     10.40    0.8649    0.1401
     10.50    0.8711    0.1409
     10.60    0.8773    0.1417
     10.70    0.8834    0.1425
     10.80    0.8895    0.1432
     10.90    0.8955    0.1440
     11.00    0.9015    0.1448
     11.10    0.9074    0.1455
     11.20    0.9134    0.1463
     11.30    0.9192    0.1471
     11.40    0.9251    0.1478
     11.50    0.9309    0.1486
     11.60    0.9367    0.1494
     11.70    0.9424    0.1501
     11.80    0.9481    0.1509
     11.90    0.9538    0.1517
     12.00    0.9594    0.1524
     12.10    0.9650    0.1532
     12.20    0.9706    0.1540
     12.30    0.9761    0.1547
     12.40    0.9816    0.1555
     12.50    0.9871    0.1563
     12.60    0.9926    0.1570
     12.70    0.9980    0.1578
     12.80    1.0034    0.1586
     12.90    1.0088    0.1593
     13.00    1.0141    0.1601
     13.10    1.0195    0.1609
     13.20    1.0247    0.1617
     13.30    1.0300    0.1624
     13.40    1.0353    0.1632
     13.50    1.0405    0.1640
     13.60    1.0457    0.1648
     13.70    1.0508    0.1655
     13.80    1.0560    0.1663
     13.90    1.0611    0.1671
     14.00    1.0662    0.1679
     14.10    1.0713    0.1687
     14.20    1.0763    0.1695
     14.30    1.0814    0.1702
     14.40    1.0864    0.1711
     14.50    1.0913    0.1719
     14.60    1.0963    0.1727
     14.70    1.1012    0.1735
     14.80    1.1061    0.1743
     14.90    1.1110    0.1751
     15.00    1.1159    0.1759
     15.10    1.1208    0.1767
     15.20    1.1256    0.1776
     15.30    1.1304    0.1784
     15.40    1.1352    0.1792
     15.50    1.1400    0.1800
     15.60    1.1448    0.1808
     15.70    1.1495    0.1817
     15.80    1.1543    0.1825
     15.90    1.1590    0.1833
     16.00    1.1637    0.1841
     16.10    1.1683    0.1850
     16.20    1.1730    0.1858
     16.30    1.1777    0.1866
     16.40    1.1823    0.1875
     16.50    1.1869    0.1883
     16.60    1.1915    0.1892
     16.70    1.1961    0.1900
     16.80    1.2007    0.1908
     16.90    1.2052    0.1917
     17.00    1.2098    0.1925
     17.10    1.2143    0.1934
     17.20    1.2188    0.1942
     17.30    1.2233    0.1951
     17.40    1.2278    0.1959
     17.50    1.2323    0.1968
     17.60    1.2367    0.1976
     17.70    1.2412    0.1985
     17.80    1.2456    0.1993
     17.90    1.2500    0.2002
     18.00    1.2544    0.2011
     18.10    1.2588    0.2019
     18.20    1.2632    0.2028
     18.30    1.2676    0.2036
     18.40    1.2719    0.2045
     18.50    1.2763    0.2054
     18.60    1.2806    0.2062
     18.70    1.2849    0.2071
     18.80    1.2892    0.2080
     18.90    1.2935    0.2088
     19.00    1.2978    0.2097
     19.10    1.3020    0.2106
     19.20    1.3063    0.2115
     19.30    1.3105    0.2123
     19.40    1.3147    0.2132
     19.50    1.3189    0.2141
     19.60    1.3231    0.2149
     19.70    1.3272    0.2158
     19.80    1.3314    0.2167
     19.90    1.3355    0.2176
     20.00    1.3397    0.2185
