AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:06 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "CH10 (smoothed)" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
1.74           Angle of attack for zero Cn for linear Cn curve (deg)
10.17891       Cn slope for zero lift for linear Cn curve (1/rad)
-0.0202        Cn at stall value for positive angle of attack for linear Cn curve
-0.0494        Cn at stall value for negative angle of attack for linear Cn curve
3.60           Angle of attack for minimum CD (deg)
0.0870         Minimum CD value
     -8.00   -0.0436    0.1353
     -7.90   -0.0436    0.1349
     -7.80   -0.0436    0.1345
     -7.70   -0.0436    0.1340
     -7.60   -0.0436    0.1336
     -7.50   -0.0436    0.1332
     -7.40   -0.0436    0.1328
     -7.30   -0.0436    0.1323
     -7.20   -0.0436    0.1319
     -7.10   -0.0436    0.1315
     -7.00   -0.0436    0.1311
     -6.90   -0.0436    0.1306
     -6.80   -0.0436    0.1302
     -6.70   -0.0436    0.1298
     -6.60   -0.0435    0.1293
     -6.50   -0.0435    0.1289
     -6.40   -0.0435    0.1285
     -6.30   -0.0435    0.1281
     -6.20   -0.0434    0.1276
     -6.10   -0.0434    0.1272
     -6.00   -0.0434    0.1268
     -5.90   -0.0434    0.1263
     -5.80   -0.0434    0.1259
     -5.70   -0.0434    0.1254
     -5.60   -0.0434    0.1250
     -5.50   -0.0433    0.1246
     -5.40   -0.0433    0.1241
     -5.30   -0.0433    0.1237
     -5.20   -0.0433    0.1233
     -5.10   -0.0433    0.1228
     -5.00   -0.0433    0.1224
     -4.90   -0.0433    0.1219
     -4.80   -0.0433    0.1215
     -4.70   -0.0433    0.1211
     -4.60   -0.0433    0.1206
     -4.50   -0.0433    0.1202
     -4.40   -0.0433    0.1197
     -4.30   -0.0433    0.1193
     -4.20   -0.0434    0.1188
     -4.10   -0.0434    0.1184
     -4.00   -0.0434    0.1180
     -3.90   -0.0435    0.1175
     -3.80   -0.0435    0.1171
     -3.70   -0.0436    0.1166
     -3.60   -0.0436    0.1162
     -3.50   -0.0437    0.1157
     -3.40   -0.0438    0.1153
     -3.30   -0.0439    0.1148
     -3.20   -0.0439    0.1144
     -3.10   -0.0440    0.1140
     -3.00   -0.0441    0.1135
     -2.90   -0.0442    0.1131
     -2.80   -0.0443    0.1126
     -2.70   -0.0445    0.1122
     -2.60   -0.0446    0.1117
     -2.50   -0.0448    0.1113
     -2.40   -0.0449    0.1108
     -2.30   -0.0451    0.1104
     -2.20   -0.0453    0.1099
     -2.10   -0.0454    0.1094
     -2.00   -0.0456    0.1090
     -1.80   -0.0168    0.1065
     -1.70   -0.0318    0.1067
     -1.60   -0.0468    0.1069
     -1.50   -0.0617    0.1071
     -1.40   -0.0764    0.1072
     -1.30   -0.0910    0.1073
     -1.20   -0.1056    0.1073
     -1.10   -0.1207    0.1073
     -1.00   -0.1357    0.1073
     -0.90   -0.1491    0.1072
     -0.80   -0.1623    0.1071
     -0.70   -0.1751    0.1069
     -0.60   -0.1877    0.1067
     -0.50   -0.2001    0.1065
     -0.40   -0.2123    0.1062
     -0.30   -0.2244    0.1060
     -0.20   -0.2366    0.1057
     -0.10   -0.2490    0.1053
      0.00   -0.2619    0.1050
      0.10   -0.2756    0.1047
      0.20   -0.2898    0.1043
      0.30   -0.3018    0.1040
      0.40   -0.3106    0.1035
      0.50   -0.3182    0.1030
      0.60   -0.3244    0.1026
      0.70   -0.3273    0.1021
      0.80   -0.3276    0.1015
      0.90   -0.3259    0.1010
      1.00   -0.3218    0.1006
      1.10   -0.3099    0.1002
      1.20   -0.2244    0.0996
      1.30   -0.1784    0.0987
      1.40   -0.1335    0.0978
      1.50   -0.0915    0.0970
      1.60   -0.0508    0.0963
      1.70   -0.0153    0.0956
      1.80    0.0218    0.0950
      1.90    0.0532    0.0944
      2.00    0.0845    0.0940
      2.10    0.1154    0.0935
      2.20    0.1431    0.0931
      2.30    0.1700    0.0928
      2.40    0.1937    0.0924
      2.50    0.2172    0.0921
      2.60    0.2401    0.0919
      2.70    0.2604    0.0916
      2.80    0.2793    0.0913
      2.90    0.2964    0.0910
      3.00    0.3127    0.0908
      3.10    0.3278    0.0904
      3.20    0.3408    0.0901
      3.30    0.3525    0.0896
      3.40    0.3626    0.0890
      3.50    0.3695    0.0883
      3.60    0.3695    0.0870
      3.80    0.5807    0.0942
      3.90    0.5986    0.0952
      4.00    0.6105    0.0959
      4.10    0.6205    0.0966
