AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:07 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "CH10 (smoothed)" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
8.37341        Cn slope for zero lift for linear Cn curve (1/rad)
0.2484         Cn at stall value for positive angle of attack for linear Cn curve
0.2222         Cn at stall value for negative angle of attack for linear Cn curve
0.30           Angle of attack for minimum CD (deg)
0.0309         Minimum CD value
     -8.00    0.2417    0.0965
     -7.90    0.2378    0.0965
     -7.80    0.2489    0.0941
     -7.70    0.2532    0.0929
     -7.60    0.2560    0.0921
     -7.50    0.2581    0.0914
     -7.40    0.2598    0.0907
     -7.30    0.2609    0.0900
     -7.20    0.2615    0.0894
     -7.10    0.2614    0.0889
     -7.00    0.2600    0.0885
     -6.90    0.2566    0.0883
     -6.80    0.2512    0.0882
     -6.70    0.2444    0.0883
     -6.60    0.2374    0.0884
     -6.50    0.2353    0.0879
     -6.40    0.2476    0.0856
     -6.30    0.2501    0.0847
     -6.20    0.2499    0.0841
     -6.10    0.2485    0.0836
     -6.00    0.2468    0.0832
     -5.90    0.2449    0.0827
     -5.80    0.2423    0.0823
     -5.70    0.2387    0.0820
     -5.60    0.2332    0.0818
     -5.50    0.2268    0.0816
     -5.40    0.2202    0.0816
     -5.30    0.2144    0.0815
     -5.20    0.2109    0.0814
     -5.00    0.2102    0.0793
     -4.90    0.2098    0.0785
     -4.80    0.2092    0.0779
     -4.70    0.2086    0.0773
     -4.60    0.2083    0.0767
     -4.50    0.2082    0.0761
     -4.40    0.2086    0.0755
     -4.30    0.2098    0.0749
     -4.20    0.2139    0.0741
     -4.00    0.2251    0.0721
     -3.90    0.2242    0.0714
     -3.80    0.2247    0.0708
     -3.70    0.2268    0.0701
     -3.60    0.2306    0.0694
     -3.50    0.2373    0.0685
     -3.40    0.2659    0.0663
     -3.30    0.2652    0.0657
     -3.20    0.2663    0.0650
     -3.10    0.2696    0.0643
     -3.00    0.2756    0.0636
     -2.90    0.2892    0.0625
     -2.80    0.3160    0.0604
     -2.70    0.3175    0.0598
     -2.60    0.3226    0.0592
     -2.40    0.3649    0.0562
     -2.30    0.3696    0.0556
     -2.20    0.3810    0.0548
     -2.10    0.4129    0.0528
     -2.00    0.4179    0.0523
     -1.90    0.4787    0.0495
     -1.80    0.4729    0.0495
     -1.70    0.5107    0.0477
     -1.60    0.5067    0.0475
     -1.50    0.5363    0.0462
     -1.40    0.5306    0.0461
     -1.30    0.5487    0.0452
     -1.00    0.7259    0.0344
     -0.90    0.7409    0.0337
     -0.80    0.7575    0.0331
     -0.70    0.7740    0.0325
     -0.60    0.7894    0.0321
     -0.50    0.8040    0.0317
     -0.40    0.8179    0.0315
     -0.30    0.8277    0.0313
     -0.20    0.8382    0.0312
     -0.10    0.8497    0.0311
      0.00    0.8607    0.0310
      0.10    0.8702    0.0310
      0.20    0.8803    0.0310
      0.30    0.8903    0.0309
      0.40    0.8996    0.0309
      0.50    0.9093    0.0310
      0.60    0.9183    0.0310
      0.70    0.9276    0.0311
      0.80    0.9365    0.0311
      0.90    0.9456    0.0312
      1.00    0.9545    0.0313
      1.10    0.9634    0.0314
      1.20    0.9724    0.0315
      1.30    0.9813    0.0317
      1.40    0.9904    0.0318
      1.50    0.9998    0.0319
      1.60    1.0095    0.0321
      1.70    1.0205    0.0321
      1.80    1.0321    0.0321
      1.90    1.0406    0.0322
      2.00    1.0483    0.0323
      2.10    1.0547    0.0322
      2.20    1.0519    0.0322
      2.30    1.0592    0.0325
      2.40    1.0664    0.0328
      2.50    1.0735    0.0331
      2.60    1.0804    0.0335
      2.70    1.0873    0.0338
      2.80    1.0942    0.0342
      2.90    1.1009    0.0345
      3.00    1.1076    0.0348
      3.10    1.1142    0.0352
      3.20    1.1208    0.0356
      3.30    1.1273    0.0359
      3.40    1.1338    0.0363
      3.50    1.1402    0.0367
      3.60    1.1465    0.0371
      3.70    1.1528    0.0374
      3.80    1.1590    0.0378
      3.90    1.1652    0.0382
      4.00    1.1714    0.0386
      4.10    1.1775    0.0390
