AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:06 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "FX 83-W-108" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.95           Angle of attack for zero Cn for linear Cn curve (deg)
5.15434        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0818        Cn at stall value for positive angle of attack for linear Cn curve
-0.0958        Cn at stall value for negative angle of attack for linear Cn curve
0.70           Angle of attack for minimum CD (deg)
0.0509         Minimum CD value
     -8.00   -0.0832    0.0960
     -7.90   -0.0817    0.0952
     -7.80   -0.0802    0.0944
     -7.70   -0.0789    0.0937
     -7.60   -0.0777    0.0929
     -7.50   -0.0765    0.0922
     -7.40   -0.0755    0.0915
     -7.30   -0.0746    0.0907
     -7.20   -0.0737    0.0900
     -7.10   -0.0730    0.0893
     -7.00   -0.0723    0.0886
     -6.90   -0.0717    0.0879
     -6.80   -0.0712    0.0872
     -6.70   -0.0708    0.0865
     -6.60   -0.0705    0.0858
     -6.50   -0.0703    0.0851
     -6.40   -0.0702    0.0844
     -6.30   -0.0702    0.0838
     -6.20   -0.0703    0.0831
     -6.10   -0.0705    0.0824
     -6.00   -0.0707    0.0818
     -5.90   -0.0711    0.0811
     -5.80   -0.0716    0.0805
     -5.70   -0.0722    0.0798
     -5.60   -0.0728    0.0792
     -5.50   -0.0736    0.0785
     -5.40   -0.0744    0.0779
     -5.30   -0.0754    0.0773
     -5.20   -0.0764    0.0767
     -5.10   -0.0775    0.0760
     -5.00   -0.0788    0.0754
     -4.90   -0.0801    0.0748
     -4.80   -0.0815    0.0742
     -4.70   -0.0830    0.0736
     -4.60   -0.0846    0.0730
     -4.50   -0.0864    0.0724
     -4.40   -0.0882    0.0718
     -4.30   -0.0901    0.0712
     -4.20   -0.0922    0.0706
     -4.10   -0.0943    0.0700
     -4.00   -0.0966    0.0694
     -3.90   -0.0990    0.0688
     -3.80   -0.1015    0.0682
     -3.70   -0.1041    0.0677
     -3.60   -0.1068    0.0671
     -3.50   -0.1096    0.0665
     -3.40   -0.1125    0.0659
     -3.30   -0.1155    0.0653
     -3.20   -0.1186    0.0648
     -3.10   -0.1218    0.0642
     -3.00   -0.1251    0.0636
     -2.90   -0.1285    0.0630
     -2.80   -0.1320    0.0624
     -2.70   -0.1356    0.0618
     -2.60   -0.1393    0.0612
     -2.50   -0.1431    0.0606
     -2.40   -0.1469    0.0600
     -2.30   -0.1508    0.0594
     -2.20   -0.1547    0.0588
     -2.10   -0.1586    0.0582
     -2.00   -0.1624    0.0576
     -1.90   -0.1660    0.0569
     -1.80   -0.1694    0.0563
     -1.70   -0.1721    0.0557
     -1.60   -0.1738    0.0551
     -1.50   -0.1742    0.0545
     -1.40   -0.1731    0.0540
     -1.30   -0.1706    0.0535
     -1.20   -0.1667    0.0531
     -1.10   -0.1617    0.0527
     -1.00   -0.1558    0.0524
     -0.90   -0.1493    0.0522
     -0.80   -0.1424    0.0519
     -0.70   -0.1351    0.0518
     -0.60   -0.1276    0.0516
     -0.50   -0.1199    0.0515
     -0.40   -0.1122    0.0514
     -0.30   -0.1044    0.0513
     -0.20   -0.0966    0.0512
     -0.10   -0.0888    0.0511
      0.00   -0.0810    0.0511
      0.10   -0.0732    0.0510
      0.20   -0.0655    0.0510
      0.30   -0.0578    0.0510
      0.40   -0.0501    0.0510
      0.50   -0.0424    0.0509
      0.60   -0.0348    0.0509
      0.70   -0.0272    0.0509
      0.80   -0.0168    0.0518
      0.90   -0.0054    0.0527
      1.00    0.0064    0.0535
      1.10    0.0183    0.0542
      1.20    0.0303    0.0548
      1.30    0.0421    0.0554
      1.40    0.0538    0.0559
      1.50    0.0654    0.0564
      1.60    0.0768    0.0568
      1.70    0.0880    0.0572
      1.80    0.0990    0.0576
      1.90    0.1099    0.0580
      2.00    0.1206    0.0584
      2.10    0.1312    0.0588
      2.20    0.1416    0.0592
      2.30    0.1519    0.0595
