AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:06 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "FX 83-W-108" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.54          Angle of attack for zero Cn for linear Cn curve (deg)
0.33240        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0024        Cn at stall value for positive angle of attack for linear Cn curve
-0.0272        Cn at stall value for negative angle of attack for linear Cn curve
-0.90          Angle of attack for minimum CD (deg)
0.0406         Minimum CD value
     -8.00   -0.0155    0.0851
     -7.90   -0.0121    0.0842
     -7.80   -0.0087    0.0832
     -7.70   -0.0054    0.0822
     -7.60   -0.0021    0.0813
     -7.50    0.0012    0.0804
     -7.40    0.0044    0.0794
     -7.30    0.0076    0.0785
     -7.20   -0.0086    0.0797
     -7.10   -0.0226    0.0807
     -7.00   -0.0330    0.0812
     -6.90   -0.0417    0.0815
     -6.80   -0.0482    0.0815
     -6.70   -0.0544    0.0814
     -6.60   -0.0620    0.0815
     -6.50   -0.0658    0.0812
     -6.40   -0.0697    0.0809
     -6.30   -0.0739    0.0805
     -6.20   -0.0732    0.0797
     -6.10   -0.0760    0.0792
     -6.00   -0.0759    0.0784
     -5.90   -0.0790    0.0779
     -5.80   -0.0775    0.0770
     -5.70   -0.0763    0.0761
     -5.60   -0.0751    0.0752
     -5.50   -0.0741    0.0743
     -5.40   -0.0672    0.0729
     -5.30   -0.0658    0.0720
     -5.10   -0.0435    0.0685
     -5.00   -0.0204    0.0659
     -4.90    0.0673    0.0583
     -4.80    0.0687    0.0576
     -4.70    0.0699    0.0569
     -4.60    0.0709    0.0561
     -4.50    0.0719    0.0554
     -4.40    0.0726    0.0547
     -4.30    0.0732    0.0541
     -4.20    0.0737    0.0534
     -4.10    0.0740    0.0528
     -4.00    0.0741    0.0521
     -3.90    0.0741    0.0515
     -3.80    0.0739    0.0509
     -3.70    0.0736    0.0503
     -3.60    0.0731    0.0498
     -3.50    0.0724    0.0493
     -3.40    0.0715    0.0487
     -3.30    0.0705    0.0482
     -3.20    0.0693    0.0478
     -3.10    0.0679    0.0473
     -3.00    0.0663    0.0468
     -2.90    0.0645    0.0464
     -2.80    0.0624    0.0460
     -2.70    0.0601    0.0456
     -2.60    0.0576    0.0452
     -2.50    0.0546    0.0448
     -2.40    0.0512    0.0444
     -2.30    0.0474    0.0440
     -2.20    0.0432    0.0437
     -2.10    0.0388    0.0433
     -2.00    0.0341    0.0429
     -1.90    0.0294    0.0426
     -1.80    0.0247    0.0422
     -1.70    0.0206    0.0419
     -1.60    0.0179    0.0416
     -1.50    0.0175    0.0413
     -1.40    0.0197    0.0411
     -1.30    0.0244    0.0409
     -1.20    0.0311    0.0408
     -1.10    0.0391    0.0407
     -1.00    0.0481    0.0407
     -0.90    0.0576    0.0406
     -0.80    0.0674    0.0406
     -0.70    0.0773    0.0407
     -0.60    0.0873    0.0407
     -0.50    0.0973    0.0408
     -0.40    0.1072    0.0408
     -0.30    0.1171    0.0409
     -0.20    0.1269    0.0410
     -0.10    0.1366    0.0411
      0.00    0.1463    0.0412
      0.10    0.1559    0.0413
      0.20    0.1654    0.0415
      0.30    0.1749    0.0416
      0.40    0.1843    0.0417
      0.50    0.1936    0.0419
      0.60    0.2029    0.0420
      0.70    0.2121    0.0422
      0.80    0.2212    0.0423
      0.90    0.2303    0.0425
      1.00    0.2394    0.0426
      1.10    0.2484    0.0428
      1.20    0.2573    0.0430
      1.30    0.2662    0.0432
      1.40    0.2750    0.0434
      1.50    0.2838    0.0435
      1.60    0.2926    0.0437
      1.70    0.3013    0.0439
      1.80    0.3099    0.0442
      1.90    0.3185    0.0444
      2.00    0.3271    0.0446
      2.10    0.3356    0.0448
      2.20    0.3441    0.0450
      2.30    0.3525    0.0453
      2.40    0.3609    0.0455
      2.50    0.3692    0.0457
      2.60    0.3775    0.0460
      2.70    0.3858    0.0462
      2.80    0.3940    0.0465
      2.90    0.4021    0.0467
      3.00    0.4102    0.0470
      3.10    0.4183    0.0473
      3.20    0.4263    0.0475
      3.30    0.4343    0.0478
      3.40    0.4423    0.0481
      3.50    0.4502    0.0484
      3.60    0.4580    0.0487
      3.70    0.4658    0.0490
      3.80    0.4736    0.0493
      3.90    0.4813    0.0496
      4.00    0.4890    0.0499
      4.10    0.4966    0.0502
      4.20    0.5042    0.0506
      4.30    0.5118    0.0509
      4.40    0.5193    0.0512
      4.50    0.5267    0.0516
      4.60    0.5341    0.0519
      4.70    0.5415    0.0523
      4.80    0.5488    0.0527
      4.90    0.5561    0.0530
      5.00    0.5633    0.0534
      5.10    0.5705    0.0538
      5.20    0.5776    0.0542
      5.30    0.5847    0.0546
      5.40    0.5917    0.0550
      5.50    0.5987    0.0554
      5.60    0.6056    0.0558
      5.70    0.6125    0.0562
      5.80    0.6194    0.0566
      5.90    0.6261    0.0571
      6.00    0.6329    0.0575
      6.10    0.6396    0.0580
      6.20    0.6462    0.0584
      6.30    0.6528    0.0589
      6.40    0.6593    0.0594
      6.50    0.6658    0.0598
      6.60    0.6722    0.0603
      6.70    0.6786    0.0608
      6.80    0.6849    0.0613
      6.90    0.6912    0.0619
      7.00    0.6974    0.0624
      7.10    0.7035    0.0629
      7.20    0.7096    0.0635
      7.30    0.7156    0.0640
      7.40    0.7216    0.0646
      7.50    0.7275    0.0651
      7.60    0.7334    0.0657
      7.70    0.7392    0.0663
      7.80    0.7449    0.0669
      7.90    0.7505    0.0675
      8.00    0.7561    0.0682
      8.10    0.7617    0.0688
      8.20    0.7671    0.0694
      8.30    0.7725    0.0701
      8.40    0.7779    0.0708
      8.50    0.7831    0.0715
      8.60    0.7883    0.0722
      8.70    0.7934    0.0729
      8.80    0.7984    0.0736
      8.90    0.8034    0.0743
      9.00    0.8083    0.0751
      9.10    0.8131    0.0759
      9.20    0.8178    0.0766
      9.30    0.8224    0.0775
      9.40    0.8269    0.0783
      9.50    0.8314    0.0791
      9.60    0.8358    0.0800
      9.70    0.8401    0.0809
      9.80    0.8443    0.0818
      9.90    0.8485    0.0827
     10.00    0.8527    0.0836
     10.10    0.8567    0.0845
     10.20    0.8608    0.0855
     10.30    0.8648    0.0864
     10.40    0.8687    0.0874
     10.50    0.8726    0.0884
     10.60    0.8764    0.0895
     10.70    0.8801    0.0905
     10.80    0.8838    0.0916
     10.90    0.8874    0.0927
     11.00    0.8910    0.0938
     11.10    0.8944    0.0949
     11.20    0.8978    0.0961
     11.30    0.9011    0.0973
     11.40    0.9042    0.0986
     11.50    0.9072    0.0999
     11.60    0.9100    0.1012
     11.70    0.9127    0.1026
     11.80    0.9153    0.1040
     11.90    0.9177    0.1054
     12.00    0.9200    0.1069
     12.10    0.9222    0.1084
     12.20    0.9242    0.1100
     12.30    0.9261    0.1116
     12.40    0.9278    0.1133
     12.50    0.9294    0.1151
     12.60    0.9307    0.1169
     12.70    0.9319    0.1188
     12.80    0.9330    0.1207
     12.90    0.9342    0.1226
     13.00    0.9353    0.1245
     13.10    0.9365    0.1265
     13.20    0.9377    0.1285
     13.30    0.9389    0.1305
     13.40    0.9401    0.1325
     13.50    0.9413    0.1345
     13.60    0.9425    0.1365
     13.70    0.9438    0.1385
     13.80    0.9450    0.1405
     13.90    0.9463    0.1425
     14.00    0.9477    0.1445
     14.10    0.9491    0.1464
     14.20    0.9505    0.1484
     14.30    0.9520    0.1503
     14.40    0.9536    0.1522
     14.50    0.9552    0.1541
     14.60    0.9568    0.1560
     14.70    0.9586    0.1579
     14.80    0.9603    0.1598
     14.90    0.9621    0.1617
     15.00    0.9639    0.1636
     15.10    0.9658    0.1654
     15.20    0.9677    0.1673
     15.30    0.9697    0.1691
     15.40    0.9716    0.1709
     15.50    0.9737    0.1727
     15.60    0.9757    0.1745
     15.70    0.9778    0.1763
     15.80    0.9799    0.1781
     15.90    0.9820    0.1799
     16.00    0.9841    0.1817
     16.10    0.9863    0.1835
     16.20    0.9885    0.1852
     16.30    0.9908    0.1869
     16.40    0.9930    0.1887
     16.50    0.9953    0.1904
     16.60    0.9976    0.1921
     16.70    0.9999    0.1938
     16.80    1.0023    0.1955
     16.90    1.0046    0.1972
     17.00    1.0070    0.1989
     17.10    1.0094    0.2005
     17.20    1.0118    0.2022
     17.30    1.0142    0.2038
     17.40    1.0167    0.2054
     17.50    1.0191    0.2070
     17.70    1.0241    0.2102
     17.80    1.0265    0.2118
     17.90    1.0290    0.2134
     18.00    1.0315    0.2149
     18.10    1.0340    0.2164
     18.20    1.0365    0.2179
     18.30    1.0390    0.2194
     18.40    1.0415    0.2209
     18.50    1.0439    0.2224
     18.60    1.0464    0.2238
     18.70    1.0488    0.2252
     18.80    1.0513    0.2266
     18.90    1.0538    0.2280
     19.00    1.0563    0.2294
     19.10    1.0588    0.2308
     19.20    1.0613    0.2322
     19.30    1.0639    0.2335
     19.40    1.0664    0.2349
     19.50    1.0690    0.2363
     19.60    1.0716    0.2376
     19.70    1.0742    0.2389
     19.80    1.0768    0.2402
     19.90    1.0795    0.2416
     20.00    1.0821    0.2429
