AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:07 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "FX 83-W-108" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.70          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.07          Angle of attack for zero Cn for linear Cn curve (deg)
5.21141        Cn slope for zero lift for linear Cn curve (1/rad)
-0.1768        Cn at stall value for positive angle of attack for linear Cn curve
-0.2049        Cn at stall value for negative angle of attack for linear Cn curve
0.60           Angle of attack for minimum CD (deg)
0.0152         Minimum CD value
     -8.00   -0.1743    0.0750
     -7.90   -0.1823    0.0749
     -7.80   -0.1968    0.0733
     -7.70   -0.1730    0.0729
     -7.60   -0.1687    0.0721
     -7.50   -0.1785    0.0709
     -7.40   -0.1890    0.0688
     -7.30   -0.1775    0.0685
     -7.20   -0.1727    0.0677
     -7.00   -0.2460    0.0409
     -6.90   -0.2400    0.0396
     -6.80   -0.2346    0.0381
     -6.70   -0.2302    0.0363
     -6.60   -0.2292    0.0335
     -6.50   -0.2218    0.0324
     -6.40   -0.2144    0.0314
     -6.30   -0.2069    0.0304
     -6.20   -0.1992    0.0296
     -6.10   -0.1904    0.0287
     -6.00   -0.1814    0.0281
     -5.90   -0.1726    0.0275
     -5.80   -0.1636    0.0268
     -5.70   -0.1546    0.0262
     -5.60   -0.1455    0.0256
     -5.50   -0.1363    0.0250
     -5.40   -0.1270    0.0245
     -5.30   -0.1176    0.0239
     -5.20   -0.1080    0.0235
     -5.10   -0.0984    0.0231
     -5.00   -0.0886    0.0227
     -4.90   -0.0792    0.0222
     -4.80   -0.0696    0.0218
     -4.70   -0.0598    0.0215
     -4.60   -0.0503    0.0211
     -4.50   -0.0408    0.0208
     -4.40   -0.0310    0.0205
     -4.30   -0.0218    0.0201
     -4.20   -0.0122    0.0198
     -4.10   -0.0031    0.0195
     -4.00    0.0065    0.0192
     -3.90    0.0155    0.0189
     -3.80    0.0246    0.0186
     -3.70    0.0336    0.0183
     -3.60    0.0426    0.0180
     -3.50    0.0515    0.0177
     -3.40    0.0601    0.0174
     -3.30    0.0680    0.0169
     -3.20    0.0759    0.0166
     -3.10    0.0849    0.0165
     -3.00    0.0942    0.0165
     -2.90    0.1036    0.0166
     -2.80    0.1130    0.0166
     -2.70    0.1223    0.0166
     -2.60    0.1317    0.0166
     -2.50    0.1411    0.0166
     -2.40    0.1504    0.0166
     -2.30    0.1598    0.0166
     -2.20    0.1691    0.0166
     -2.10    0.1785    0.0166
     -2.00    0.1878    0.0166
     -1.90    0.1970    0.0166
     -1.80    0.2062    0.0166
     -1.70    0.2154    0.0166
     -1.60    0.2245    0.0165
     -1.50    0.2336    0.0165
     -1.40    0.2428    0.0165
     -1.30    0.2521    0.0165
     -1.20    0.2614    0.0164
     -1.10    0.2707    0.0164
     -1.00    0.2799    0.0163
     -0.90    0.2893    0.0163
     -0.80    0.2986    0.0163
     -0.70    0.3081    0.0162
     -0.60    0.3176    0.0162
     -0.50    0.3272    0.0161
     -0.40    0.3367    0.0161
     -0.30    0.3463    0.0160
     -0.20    0.3557    0.0160
     -0.10    0.3649    0.0159
      0.00    0.3739    0.0159
      0.10    0.3830    0.0158
      0.20    0.3930    0.0157
      0.30    0.4034    0.0157
      0.40    0.4141    0.0156
      0.50    0.4261    0.0154
      0.60    0.4585    0.0152
      0.70    0.4799    0.0152
      0.80    0.4909    0.0153
      0.90    0.5014    0.0153
      1.00    0.5118    0.0154
      1.10    0.5219    0.0155
      1.20    0.5320    0.0155
      1.30    0.5419    0.0156
      1.40    0.5518    0.0157
      1.50    0.5617    0.0157
      1.60    0.5715    0.0158
      1.70    0.5812    0.0159
      1.80    0.5910    0.0159
      1.90    0.6006    0.0160
      2.00    0.6103    0.0161
      2.10    0.6199    0.0162
      2.20    0.6295    0.0162
      2.30    0.6390    0.0163
      2.40    0.6486    0.0164
      2.50    0.6580    0.0165
      2.60    0.6675    0.0166
      2.70    0.6769    0.0166
      2.80    0.6863    0.0167
      2.90    0.6957    0.0168
      3.00    0.7051    0.0169
      3.10    0.7144    0.0170
      3.20    0.7237    0.0171
      3.30    0.7329    0.0172
      3.40    0.7421    0.0173
      3.50    0.7513    0.0173
      3.60    0.7604    0.0174
      3.70    0.7696    0.0175
      3.80    0.7786    0.0176
      3.90    0.7877    0.0177
      4.00    0.7967    0.0178
      4.10    0.8056    0.0179
      4.20    0.8144    0.0180
      4.30    0.8231    0.0181
      4.40    0.8318    0.0183
      4.50    0.8404    0.0184
      4.60    0.8490    0.0185
      4.70    0.8576    0.0186
      4.80    0.8662    0.0187
      4.90    0.8747    0.0188
      5.00    0.8832    0.0189
      5.10    0.8917    0.0191
      5.20    0.9001    0.0192
      5.30    0.9085    0.0193
      5.40    0.9169    0.0194
      5.50    0.9253    0.0196
      5.60    0.9336    0.0197
      5.70    0.9419    0.0198
      5.80    0.9502    0.0200
      5.90    0.9585    0.0201
      6.00    0.9667    0.0203
      6.10    0.9749    0.0204
      6.20    0.9830    0.0206
      6.30    0.9911    0.0207
      6.40    0.9992    0.0209
      6.50    1.0072    0.0210
      6.60    1.0151    0.0212
      6.70    1.0231    0.0214
      6.80    1.0309    0.0216
      6.90    1.0387    0.0217
      7.00    1.0465    0.0219
      7.10    1.0542    0.0221
      7.20    1.0618    0.0223
      7.30    1.0694    0.0225
      7.40    1.0768    0.0227
      7.50    1.0842    0.0229
      7.60    1.0915    0.0231
      7.70    1.0987    0.0234
      7.80    1.1057    0.0236
      7.90    1.1126    0.0239
      8.00    1.1193    0.0241
      8.10    1.1258    0.0244
      8.20    1.1319    0.0247
      8.30    1.1376    0.0251
      8.40    1.1427    0.0255
      8.50    1.1470    0.0259
      8.60    1.1506    0.0264
      8.70    1.1533    0.0270
      8.80    1.1556    0.0276
      8.90    1.1580    0.0283
      9.00    1.1614    0.0290
      9.10    1.1673    0.0298
      9.20    1.1749    0.0304
      9.30    1.1817    0.0310
      9.40    1.1883    0.0315
      9.50    1.1958    0.0320
      9.60    1.2040    0.0325
      9.70    1.2116    0.0330
      9.80    1.2219    0.0336
      9.90    1.2307    0.0342
     10.00    1.2393    0.0347
     10.10    1.2504    0.0352
     10.20    1.2623    0.0359
     10.30    1.2715    0.0365
     10.40    1.2820    0.0370
     10.50    1.3012    0.0378
     10.60    1.3076    0.0385
     10.70    1.3173    0.0392
     10.80    1.3286    0.0399
     10.90    1.3419    0.0406
     11.00    1.3596    0.0417
     11.10    1.3640    0.0425
     11.20    1.3705    0.0434
     11.30    1.3779    0.0443
     11.40    1.3855    0.0452
     11.50    1.3942    0.0461
     11.60    1.4083    0.0470
     11.70    1.4271    0.0485
     11.80    1.4260    0.0494
     11.90    1.4256    0.0504
     12.00    1.4255    0.0515
     12.10    1.4251    0.0527
     12.20    1.4242    0.0538
     12.30    1.4227    0.0550
     12.40    1.4207    0.0562
     12.50    1.4182    0.0574
     12.60    1.4152    0.0586
     12.70    1.4116    0.0599
     12.80    1.4076    0.0612
     12.90    1.4031    0.0625
     13.00    1.3980    0.0639
     13.10    1.3923    0.0654
     13.20    1.3858    0.0669
     13.30    1.3784    0.0684
     13.40    1.3704    0.0701
     13.50    1.3618    0.0718
     13.60    1.3527    0.0736
     13.70    1.3433    0.0755
     13.80    1.3336    0.0774
     13.90    1.3236    0.0794
     14.00    1.3135    0.0814
     14.10    1.3032    0.0835
     14.20    1.2929    0.0857
     14.30    1.2826    0.0880
     14.40    1.2723    0.0903
     14.50    1.2622    0.0927
     14.60    1.2523    0.0951
     14.70    1.2427    0.0976
     14.80    1.2335    0.1001
     14.90    1.2249    0.1026
     15.00    1.2169    0.1052
     15.10    1.2098    0.1077
     15.20    1.2036    0.1102
     15.30    1.1986    0.1126
     15.40    1.1949    0.1150
     15.90    0.7915    0.1839
     16.00    0.7895    0.1854
     16.10    0.7878    0.1868
     16.20    0.7862    0.1882
     16.30    0.7848    0.1897
     16.40    0.7836    0.1911
     16.50    0.7825    0.1925
     16.60    0.7816    0.1939
