AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:06 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "SG6042" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.23           Angle of attack for zero Cn for linear Cn curve (deg)
4.83775        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0638        Cn at stall value for positive angle of attack for linear Cn curve
-0.1011        Cn at stall value for negative angle of attack for linear Cn curve
0.10           Angle of attack for minimum CD (deg)
0.0501         Minimum CD value
     -8.00   -0.0885    0.0969
     -7.90   -0.0862    0.0961
     -7.80   -0.0840    0.0953
     -7.70   -0.0819    0.0944
     -7.60   -0.0798    0.0936
     -7.50   -0.0778    0.0928
     -7.40   -0.0758    0.0920
     -7.30   -0.0739    0.0912
     -7.20   -0.0721    0.0904
     -7.10   -0.0703    0.0896
     -7.00   -0.0686    0.0888
     -6.90   -0.0669    0.0881
     -6.80   -0.0653    0.0873
     -6.70   -0.0639    0.0865
     -6.60   -0.0625    0.0857
     -6.50   -0.0611    0.0850
     -6.40   -0.0599    0.0842
     -6.30   -0.0588    0.0835
     -6.20   -0.0579    0.0827
     -6.10   -0.0571    0.0820
     -6.00   -0.0564    0.0813
     -5.90   -0.0558    0.0806
     -5.80   -0.0554    0.0799
     -5.70   -0.0550    0.0792
     -5.60   -0.0548    0.0785
     -5.50   -0.0547    0.0778
     -5.40   -0.0546    0.0771
     -5.30   -0.0548    0.0764
     -5.20   -0.0550    0.0757
     -5.10   -0.0553    0.0751
     -5.00   -0.0558    0.0744
     -4.90   -0.0564    0.0737
     -4.80   -0.0571    0.0731
     -4.70   -0.0580    0.0724
     -4.60   -0.0590    0.0717
     -4.50   -0.0602    0.0711
     -4.40   -0.0615    0.0704
     -4.30   -0.0630    0.0698
     -4.20   -0.0646    0.0691
     -4.10   -0.0665    0.0685
     -4.00   -0.0685    0.0678
     -3.90   -0.0708    0.0672
     -3.80   -0.0732    0.0666
     -3.70   -0.0759    0.0659
     -3.60   -0.0788    0.0653
     -3.50   -0.0819    0.0646
     -3.40   -0.0853    0.0639
     -3.30   -0.0890    0.0633
     -3.20   -0.0930    0.0626
     -3.10   -0.0973    0.0619
     -3.00   -0.1019    0.0612
     -2.90   -0.1068    0.0605
     -2.80   -0.1121    0.0598
     -2.70   -0.1178    0.0591
     -2.60   -0.1238    0.0583
     -2.50   -0.1302    0.0575
     -2.40   -0.1368    0.0568
     -2.30   -0.1436    0.0559
     -2.20   -0.1503    0.0551
     -2.10   -0.1563    0.0543
     -2.00   -0.1604    0.0535
     -1.90   -0.1610    0.0527
     -1.80   -0.1573    0.0520
     -1.70   -0.1504    0.0516
     -1.60   -0.1422    0.0512
     -1.50   -0.1338    0.0510
     -1.40   -0.1255    0.0508
     -1.30   -0.1172    0.0507
     -1.20   -0.1092    0.0506
     -1.10   -0.1013    0.0505
     -1.00   -0.0935    0.0504
     -0.90   -0.0859    0.0503
     -0.80   -0.0783    0.0503
     -0.70   -0.0708    0.0502
     -0.60   -0.0634    0.0502
     -0.50   -0.0560    0.0501
     -0.40   -0.0487    0.0501
     -0.30   -0.0414    0.0501
     -0.20   -0.0342    0.0501
     -0.10   -0.0271    0.0501
      0.00   -0.0200    0.0501
      0.10   -0.0129    0.0501
      0.20   -0.0034    0.0506
      0.30    0.0071    0.0513
      0.40    0.0181    0.0519
      0.50    0.0293    0.0524
      0.60    0.0406    0.0529
      0.70    0.0519    0.0533
      0.80    0.0631    0.0537
      0.90    0.0742    0.0541
      1.00    0.0852    0.0544
      1.10    0.0961    0.0548
      1.20    0.1069    0.0551
      1.30    0.1175    0.0554
      1.40    0.1281    0.0557
      1.50    0.1384    0.0560
      1.60    0.1487    0.0563
      1.70    0.1589    0.0566
      1.80    0.1689    0.0570
      1.90    0.1788    0.0573
      2.00    0.1886    0.0576
      2.10    0.1983    0.0579
      2.20    0.2079    0.0582
      2.30    0.2174    0.0585
      2.40    0.2268    0.0588
      2.50    0.2361    0.0591
      2.60    0.2454    0.0595
      2.70    0.2545    0.0598
      2.80    0.2635    0.0601
      2.90    0.2725    0.0605
      3.00    0.2813    0.0608
      3.10    0.2901    0.0612
      3.20    0.2988    0.0615
      3.30    0.3075    0.0619
      3.40    0.3160    0.0623
      3.50    0.3245    0.0626
      3.60    0.3328    0.0630
      3.70    0.3411    0.0634
      3.80    0.3494    0.0638
      3.90    0.3575    0.0642
      4.00    0.3656    0.0646
      4.10    0.3736    0.0651
      4.20    0.3815    0.0655
      4.30    0.3894    0.0659
      4.40    0.3971    0.0664
      4.50    0.4048    0.0668
      4.60    0.4124    0.0673
      4.70    0.4200    0.0678
      4.80    0.4275    0.0682
      4.90    0.4349    0.0687
      5.00    0.4422    0.0692
      5.10    0.4494    0.0697
      5.20    0.4566    0.0703
      5.30    0.4637    0.0708
      5.40    0.4707    0.0713
      5.50    0.4777    0.0719
      5.60    0.4845    0.0724
      5.70    0.4913    0.0730
      5.80    0.4981    0.0736
      5.90    0.5047    0.0742
      6.00    0.5113    0.0748
