AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:07 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "SG6042" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.10          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.09          Angle of attack for zero Cn for linear Cn curve (deg)
5.20744        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2147        Cn at stall value for positive angle of attack for linear Cn curve
-0.2296        Cn at stall value for negative angle of attack for linear Cn curve
-0.90          Angle of attack for minimum CD (deg)
0.0143         Minimum CD value
     -8.00   -0.2201    0.0837
     -7.90   -0.2100    0.0826
     -7.80   -0.2055    0.0815
     -7.70   -0.2031    0.0804
     -7.60   -0.2025    0.0793
     -7.50   -0.2046    0.0780
     -7.40   -0.2107    0.0766
     -7.30   -0.2198    0.0735
     -7.20   -0.2129    0.0725
     -7.10   -0.2053    0.0720
     -7.00   -0.2001    0.0712
     -6.90   -0.1969    0.0699
     -6.80   -0.1960    0.0680
     -6.70   -0.2007    0.0647
     -6.60   -0.1930    0.0641
     -6.50   -0.1869    0.0635
     -6.40   -0.1823    0.0623
     -6.20   -0.1766    0.0585
     -6.10   -0.1705    0.0577
     -6.00   -0.1653    0.0563
     -5.90   -0.1617    0.0542
     -5.80   -0.1552    0.0534
     -5.70   -0.1489    0.0523
     -5.60   -0.1437    0.0505
     -5.50   -0.1368    0.0495
     -5.40   -0.1305    0.0480
     -5.30   -0.1235    0.0471
     -5.20   -0.1165    0.0458
     -5.10   -0.1092    0.0449
     -5.00   -0.1019    0.0438
     -4.90   -0.0940    0.0429
     -4.80   -0.0865    0.0418
     -4.70   -0.0785    0.0408
     -4.50   -0.0434    0.0296
     -4.40   -0.0316    0.0279
     -4.30   -0.0214    0.0270
     -4.20   -0.0110    0.0262
     -4.10   -0.0005    0.0254
     -4.00    0.0102    0.0247
     -3.90    0.0204    0.0240
     -3.80    0.0306    0.0235
     -3.70    0.0411    0.0230
     -3.60    0.0518    0.0225
     -3.50    0.0625    0.0220
     -3.40    0.0734    0.0216
     -3.30    0.0835    0.0211
     -3.20    0.0939    0.0207
     -3.10    0.1046    0.0203
     -3.00    0.1147    0.0199
     -2.90    0.1252    0.0196
     -2.80    0.1352    0.0192
     -2.70    0.1454    0.0188
     -2.60    0.1556    0.0185
     -2.50    0.1659    0.0181
     -2.40    0.1759    0.0178
     -2.30    0.1860    0.0175
     -2.20    0.1961    0.0172
     -2.10    0.2061    0.0169
     -2.00    0.2157    0.0163
     -1.90    0.2207    0.0151
     -1.80    0.2250    0.0148
     -1.70    0.2305    0.0147
     -1.60    0.2361    0.0147
     -1.50    0.2417    0.0146
     -1.40    0.2470    0.0146
     -1.30    0.2525    0.0145
     -1.20    0.2593    0.0144
     -1.10    0.2709    0.0144
     -1.00    0.2939    0.0143
     -0.90    0.3181    0.0143
     -0.80    0.3274    0.0143
     -0.70    0.3373    0.0144
     -0.60    0.3476    0.0144
     -0.50    0.3580    0.0144
     -0.40    0.3685    0.0144
     -0.30    0.3791    0.0145
     -0.20    0.3898    0.0145
     -0.10    0.4005    0.0146
      0.00    0.4111    0.0146
      0.10    0.4218    0.0147
      0.20    0.4325    0.0147
      0.30    0.4431    0.0148
      0.40    0.4538    0.0148
      0.50    0.4644    0.0149
      0.60    0.4750    0.0149
      0.70    0.4856    0.0150
      0.80    0.4962    0.0150
      0.90    0.5067    0.0151
      1.00    0.5173    0.0152
