AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:06 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "SG6043" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.10          Angle of attack for zero Cn for linear Cn curve (deg)
-0.17049       Cn slope for zero lift for linear Cn curve (1/rad)
0.0700         Cn at stall value for positive angle of attack for linear Cn curve
0.0246         Cn at stall value for negative angle of attack for linear Cn curve
-0.20          Angle of attack for minimum CD (deg)
0.0431         Minimum CD value
     -8.00    0.0377    0.0915
     -7.90    0.0411    0.0906
     -7.80    0.0445    0.0897
     -7.70    0.0479    0.0888
     -7.60    0.0512    0.0879
     -7.50    0.0545    0.0871
     -7.40    0.0578    0.0862
     -7.30    0.0610    0.0854
     -7.20    0.0642    0.0845
     -7.10    0.0674    0.0837
     -7.00    0.0706    0.0829
     -6.90    0.0737    0.0821
     -6.80    0.0768    0.0812
     -6.70    0.0799    0.0804
     -6.60    0.0753    0.0804
     -6.50    0.0586    0.0817
     -6.40    0.0440    0.0827
     -6.30    0.0304    0.0836
     -6.20    0.0183    0.0843
     -6.10    0.0077    0.0848
     -6.00   -0.0019    0.0852
     -5.90   -0.0109    0.0855
     -5.80   -0.0198    0.0857
     -5.70   -0.0299    0.0861
     -5.60   -0.0368    0.0861
     -5.50   -0.0445    0.0862
     -5.40   -0.0527    0.0863
     -5.30   -0.0594    0.0863
     -5.20   -0.0663    0.0862
     -5.10   -0.0758    0.0863
     -5.00   -0.0807    0.0860
     -4.90   -0.0869    0.0857
     -4.80   -0.0939    0.0856
     -4.70   -0.1012    0.0854
     -4.60   -0.1084    0.0852
     -4.50   -0.1154    0.0849
     -4.40   -0.1221    0.0846
     -4.30   -0.1290    0.0843
     -4.20   -0.1365    0.0840
     -4.10   -0.1453    0.0838
     -4.00   -0.1558    0.0837
     -3.90   -0.1591    0.0830
     -3.80   -0.1634    0.0824
     -3.70   -0.1699    0.0820
     -3.60   -0.1769    0.0816
     -3.50   -0.1779    0.0808
     -3.40   -0.1830    0.0802
     -3.30   -0.1865    0.0796
     -3.20   -0.1880    0.0788
     -3.10   -0.1927    0.0782
     -3.00   -0.1914    0.0772
     -2.90   -0.1941    0.0765
     -2.80   -0.1925    0.0755
     -2.70   -0.1917    0.0746
     -2.60   -0.1914    0.0738
     -2.50   -0.1875    0.0727
     -2.40   -0.1839    0.0716
     -2.30   -0.1798    0.0706
     -2.20   -0.1748    0.0695
     -2.10   -0.1686    0.0684
     -2.00   -0.1613    0.0672
     -1.90   -0.1532    0.0660
     -1.80   -0.1444    0.0649
     -1.70   -0.1345    0.0637
     -1.60   -0.1248    0.0625
     -1.50   -0.1139    0.0613
     -1.40   -0.1023    0.0601
     -1.30   -0.0911    0.0589
     -1.20   -0.0797    0.0577
     -1.10   -0.0690    0.0566
     -1.00   -0.0574    0.0554
     -0.90   -0.0473    0.0543
     -0.80   -0.0370    0.0532
     -0.70   -0.0271    0.0521
     -0.60   -0.0180    0.0509
     -0.50   -0.0090    0.0497
     -0.40    0.0010    0.0485
     -0.20    0.2340    0.0431
     -0.10    0.2480    0.0432
      0.00    0.2604    0.0434
      0.10    0.2720    0.0436
      0.20    0.2830    0.0437
      0.30    0.2938    0.0439
      0.40    0.3042    0.0441
      0.50    0.3145    0.0443
      0.60    0.3246    0.0445
      0.70    0.3346    0.0447
      0.80    0.3445    0.0449
      0.90    0.3542    0.0451
      1.00    0.3638    0.0453
      1.10    0.3734    0.0455
      1.20    0.3828    0.0457
      1.30    0.3922    0.0459
      1.40    0.4015    0.0462
      1.50    0.4107    0.0464
      1.60    0.4199    0.0467
      1.70    0.4290    0.0469
