AeroDyn airfoil file Created with QBlade v0.963 64bit on 02.02.2021 at 23:09:46 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0 360 V" on Foil "T1_Re0.010_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-8.11          Angle of attack for zero Cn for linear Cn curve (deg)
3.55192        Cn slope for zero lift for linear Cn curve (1/rad)
0.0271         Cn at stall value for positive angle of attack for linear Cn curve
-0.3363        Cn at stall value for negative angle of attack for linear Cn curve
-0.50          Angle of attack for minimum CD (deg)
0.0445         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0314    0.0005
   -178.00    0.0628    0.0022
   -177.00    0.0940    0.0049
   -176.00    0.1252    0.0088
   -175.00    0.1562    0.0137
   -174.00    0.1871    0.0197
   -173.00    0.2177    0.0267
   -172.00    0.2480    0.0349
   -171.00    0.2780    0.0440
   -170.00    0.3077    0.0543
   -169.00    0.3370    0.0655
   -168.00    0.3660    0.0778
   -167.00    0.3944    0.0911
   -166.00    0.4224    0.1053
   -165.00    0.4499    0.1206
   -164.00    0.4768    0.1368
   -163.00    0.5031    0.1539
   -162.00    0.5288    0.1719
   -161.00    0.5539    0.1908
   -160.00    0.5783    0.2106
   -159.00    0.6020    0.2312
   -158.00    0.6250    0.2526
   -157.00    0.6472    0.2748
   -156.00    0.6686    0.2978
   -155.00    0.6892    0.3215
   -154.00    0.7090    0.3459
   -153.00    0.7279    0.3710
   -152.00    0.7459    0.3967
   -151.00    0.7630    0.4231
   -150.00    0.7792    0.4500
   -149.00    0.7944    0.4775
   -148.00    0.8087    0.5055
   -147.00    0.8219    0.5339
   -146.00    0.8342    0.5629
   -145.00    0.8455    0.5922
   -144.00    0.8557    0.6219
   -143.00    0.8649    0.6519
   -142.00    0.8730    0.6823
   -141.00    0.8801    0.7129
   -140.00    0.8861    0.7437
   -139.00    0.8910    0.7747
   -138.00    0.8948    0.8059
   -137.00    0.8975    0.8372
   -136.00    0.8992    0.8686
   -135.00    0.8997    0.9000
   -134.00    0.8992    0.9314
   -133.00    0.8975    0.9628
   -132.00    0.8948    0.9941
   -131.00    0.8910    1.0253
   -130.00    0.8861    1.0563
   -129.00    0.8801    1.0871
   -128.00    0.8730    1.1177
   -127.00    0.8649    1.1481
   -126.00    0.8557    1.1781
   -125.00    0.8455    1.2078
   -124.00    0.8342    1.2371
   -123.00    0.8219    1.2661
   -122.00    0.8087    1.2945
   -121.00    0.7944    1.3225
   -120.00    0.7792    1.3500
   -119.00    0.7630    1.3769
   -118.00    0.7459    1.4033
   -117.00    0.7279    1.4290
   -116.00    0.7090    1.4541
   -115.00    0.6892    1.4785
   -114.00    0.6686    1.5022
   -113.00    0.6472    1.5252
   -112.00    0.6250    1.5474
   -111.00    0.6020    1.5688
   -110.00    0.5783    1.5894
   -109.00    0.5539    1.6092
   -108.00    0.5288    1.6281
   -107.00    0.5031    1.6461
   -106.00    0.4768    1.6632
   -105.00    0.4499    1.6794
   -104.00    0.4224    1.6947
   -103.00    0.3944    1.7089
   -102.00    0.3660    1.7222
   -101.00    0.3370    1.7345
   -100.00    0.3077    1.7457
    -99.00    0.2780    1.7560
    -98.00    0.2480    1.7651
    -97.00    0.2177    1.7733
    -96.00    0.1871    1.7803
    -95.00    0.1562    1.7863
    -94.00    0.1252    1.7912
    -93.00    0.0940    1.7951
    -92.00    0.0628    1.7978
    -91.00    0.0314    1.7995
    -90.00   -0.0000    1.8000
    -89.00   -0.0314    1.8007
    -88.00   -0.0628    1.8002
    -87.00   -0.0941    1.7987
    -86.00   -0.1253    1.7961
    -85.00   -0.1563    1.7924
    -84.00   -0.1872    1.7876
    -83.00   -0.2178    1.7817
    -82.00   -0.2482    1.7748
    -81.00   -0.2783    1.7668
    -80.00   -0.3080    1.7577
    -79.00   -0.3374    1.7477
    -78.00   -0.3664    1.7366
    -77.00   -0.3949    1.7245
    -76.00   -0.4230    1.7114
    -75.00   -0.4505    1.6973
    -74.00   -0.4775    1.6823
    -73.00   -0.5039    1.6664
    -72.00   -0.5297    1.6495
    -71.00   -0.5549    1.6318
    -70.00   -0.5794    1.6131
    -69.00   -0.6032    1.5936
    -68.00   -0.6263    1.5733
    -67.00   -0.6486    1.5522
    -66.00   -0.6701    1.5304
    -65.00   -0.6908    1.5078
    -64.00   -0.7107    1.4844
    -63.00   -0.7298    1.4604
    -62.00   -0.7479    1.4358
    -61.00   -0.7652    1.4105
    -60.00   -0.7815    1.3846
    -59.00   -0.7969    1.3582
    -58.00   -0.8113    1.3312
    -57.00   -0.8247    1.3038
    -56.00   -0.8372    1.2759
    -55.00   -0.8486    1.2475
    -54.00   -0.8590    1.2188
    -53.00   -0.8684    1.1897
    -52.00   -0.8767    1.1604
    -51.00   -0.8840    1.1307
    -50.00   -0.8902    1.1008
    -49.00   -0.8953    1.0707
    -48.00   -0.8994    1.0404
    -47.00   -0.9023    1.0100
    -46.00   -0.9042    0.9795
    -45.00   -0.9051    0.9490
    -44.00   -0.9048    0.9184
    -43.00   -0.9034    0.8879
    -42.00   -0.9010    0.8574
    -41.00   -0.8974    0.8270
    -40.00   -0.8928    0.7968
    -39.00   -0.8872    0.7667
    -38.00   -0.8805    0.7368
    -37.00   -0.8727    0.7072
    -36.00   -0.8639    0.6779
    -35.00   -0.8541    0.6489
    -34.00   -0.8432    0.6203
    -33.00   -0.8314    0.5920
    -32.00   -0.8186    0.5642
    -31.00   -0.8048    0.5368
    -30.00   -0.7901    0.5100
    -29.00   -0.7745    0.4836
    -28.00   -0.7580    0.4579
    -27.00   -0.7406    0.4327
    -26.00   -0.7224    0.4081
    -25.00   -0.7033    0.3842
    -24.00   -0.6835    0.3610
    -23.00   -0.6629    0.3385
    -22.00   -0.6416    0.3168
    -21.00   -0.6196    0.2958
    -20.00   -0.5969    0.2756
    -19.00   -0.5737    0.2563
    -18.00   -0.5499    0.2377
    -17.00   -0.5256    0.2201
    -16.00   -0.5009    0.2033
    -15.00   -0.4757    0.1875
    -14.00   -0.4503    0.1725
    -13.00   -0.4247    0.1585
    -12.00   -0.3989    0.1455
    -11.00   -0.3732    0.1335
    -10.00   -0.3477    0.1225
