AeroDyn airfoil file Created with QBlade v0.963 64bit on 02.02.2021 at 23:09:46 Compatible with AeroDyn v13.0.
Polar "T1_Re0.020_M0.00_N9.0 360 V" on Foil "T1_Re0.020_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-8.22          Angle of attack for zero Cn for linear Cn curve (deg)
5.30630        Cn slope for zero lift for linear Cn curve (1/rad)
0.1288         Cn at stall value for positive angle of attack for linear Cn curve
-0.3285        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0348         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0314    0.0005
   -178.00    0.0628    0.0022
   -177.00    0.0940    0.0049
   -176.00    0.1252    0.0088
   -175.00    0.1562    0.0137
   -174.00    0.1871    0.0197
   -173.00    0.2177    0.0267
   -172.00    0.2480    0.0349
   -171.00    0.2780    0.0440
   -170.00    0.3077    0.0543
   -169.00    0.3370    0.0655
   -168.00    0.3660    0.0778
   -167.00    0.3944    0.0911
   -166.00    0.4224    0.1053
   -165.00    0.4499    0.1206
   -164.00    0.4768    0.1368
   -163.00    0.5031    0.1539
   -162.00    0.5288    0.1719
   -161.00    0.5539    0.1908
   -160.00    0.5783    0.2106
   -159.00    0.6020    0.2312
   -158.00    0.6250    0.2526
   -157.00    0.6472    0.2748
   -156.00    0.6686    0.2978
   -155.00    0.6892    0.3215
   -154.00    0.7090    0.3459
   -153.00    0.7279    0.3710
   -152.00    0.7459    0.3967
   -151.00    0.7630    0.4231
   -150.00    0.7792    0.4500
   -149.00    0.7944    0.4775
   -148.00    0.8087    0.5055
   -147.00    0.8219    0.5339
   -146.00    0.8342    0.5629
   -145.00    0.8455    0.5922
   -144.00    0.8557    0.6219
   -143.00    0.8649    0.6519
   -142.00    0.8730    0.6823
   -141.00    0.8801    0.7129
   -140.00    0.8861    0.7437
   -139.00    0.8910    0.7747
   -138.00    0.8948    0.8059
   -137.00    0.8975    0.8372
   -136.00    0.8992    0.8686
   -135.00    0.8997    0.9000
   -134.00    0.8992    0.9314
   -133.00    0.8975    0.9628
   -132.00    0.8948    0.9941
   -131.00    0.8910    1.0253
   -130.00    0.8861    1.0563
   -129.00    0.8801    1.0871
   -128.00    0.8730    1.1177
   -127.00    0.8649    1.1481
   -126.00    0.8557    1.1781
   -125.00    0.8455    1.2078
   -124.00    0.8342    1.2371
   -123.00    0.8219    1.2661
   -122.00    0.8087    1.2945
   -121.00    0.7944    1.3225
   -120.00    0.7792    1.3500
   -119.00    0.7630    1.3769
   -118.00    0.7459    1.4033
   -117.00    0.7279    1.4290
   -116.00    0.7090    1.4541
   -115.00    0.6892    1.4785
   -114.00    0.6686    1.5022
   -113.00    0.6472    1.5252
   -112.00    0.6250    1.5474
   -111.00    0.6020    1.5688
   -110.00    0.5783    1.5894
   -109.00    0.5539    1.6092
   -108.00    0.5288    1.6281
   -107.00    0.5031    1.6461
   -106.00    0.4768    1.6632
   -105.00    0.4499    1.6794
   -104.00    0.4224    1.6947
   -103.00    0.3944    1.7089
   -102.00    0.3660    1.7222
   -101.00    0.3370    1.7345
   -100.00    0.3077    1.7457
    -99.00    0.2780    1.7560
    -98.00    0.2480    1.7651
    -97.00    0.2177    1.7733
    -96.00    0.1871    1.7803
    -95.00    0.1562    1.7863
    -94.00    0.1252    1.7912
    -93.00    0.0940    1.7951
    -92.00    0.0628    1.7978
    -91.00    0.0314    1.7995
    -90.00   -0.0000    1.8000
    -89.00   -0.0314    1.8006
    -88.00   -0.0628    1.8001
    -87.00   -0.0941    1.7985
    -86.00   -0.1253    1.7958
    -85.00   -0.1563    1.7920
    -84.00   -0.1871    1.7871
    -83.00   -0.2177    1.7812
    -82.00   -0.2481    1.7742
    -81.00   -0.2781    1.7661
    -80.00   -0.3078    1.7570
    -79.00   -0.3372    1.7469
    -78.00   -0.3661    1.7357
    -77.00   -0.3946    1.7236
    -76.00   -0.4226    1.7104
    -75.00   -0.4501    1.6963
    -74.00   -0.4770    1.6812
    -73.00   -0.5034    1.6652
    -72.00   -0.5291    1.6482
    -71.00   -0.5542    1.6304
    -70.00   -0.5786    1.6117
    -69.00   -0.6023    1.5922
    -68.00   -0.6253    1.5718
    -67.00   -0.6476    1.5506
    -66.00   -0.6690    1.5287
    -65.00   -0.6896    1.5060
    -64.00   -0.7094    1.4826
    -63.00   -0.7283    1.4586
    -62.00   -0.7464    1.4338
    -61.00   -0.7635    1.4085
    -60.00   -0.7797    1.3826
    -59.00   -0.7949    1.3561
    -58.00   -0.8092    1.3290
    -57.00   -0.8225    1.3015
    -56.00   -0.8348    1.2736
    -55.00   -0.8461    1.2452
    -54.00   -0.8563    1.2164
    -53.00   -0.8655    1.1873
    -52.00   -0.8737    1.1578
    -51.00   -0.8808    1.1281
    -50.00   -0.8868    1.0981
    -49.00   -0.8917    1.0680
    -48.00   -0.8956    1.0376
    -47.00   -0.8984    1.0072
    -46.00   -0.9000    0.9766
    -45.00   -0.9006    0.9460
    -44.00   -0.9001    0.9154
    -43.00   -0.8985    0.8848
    -42.00   -0.8958    0.8543
    -41.00   -0.8920    0.8239
    -40.00   -0.8871    0.7936
    -39.00   -0.8812    0.7635
    -38.00   -0.8742    0.7336
    -37.00   -0.8661    0.7039
    -36.00   -0.8569    0.6746
    -35.00   -0.8468    0.6455
    -34.00   -0.8355    0.6168
    -33.00   -0.8233    0.5886
    -32.00   -0.8101    0.5607
    -31.00   -0.7959    0.5333
    -30.00   -0.7807    0.5064
    -29.00   -0.7646    0.4800
    -28.00   -0.7476    0.4542
    -27.00   -0.7297    0.4290
    -26.00   -0.7108    0.4044
    -25.00   -0.6911    0.3805
    -24.00   -0.6706    0.3573
    -23.00   -0.6493    0.3347
    -22.00   -0.6272    0.3130
    -21.00   -0.6044    0.2920
    -20.00   -0.5808    0.2718
    -19.00   -0.5565    0.2524
    -18.00   -0.5316    0.2338
    -17.00   -0.5060    0.2161
    -16.00   -0.4799    0.1994
    -15.00   -0.4532    0.1835
    -14.00   -0.4259    0.1685
    -13.00   -0.3982    0.1545
    -12.00   -0.3701    0.1415
    -11.00   -0.3416    0.1295
    -10.00   -0.3127    0.1184
