AeroDyn airfoil file Created with QBlade v0.963 64bit on 02.02.2021 at 23:09:47 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 V" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.85          Angle of attack for zero Cn for linear Cn curve (deg)
4.62678        Cn slope for zero lift for linear Cn curve (1/rad)
-0.1705        Cn at stall value for positive angle of attack for linear Cn curve
-0.3637        Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0250         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0314    0.0005
   -178.00    0.0628    0.0022
   -177.00    0.0940    0.0049
   -176.00    0.1252    0.0088
   -175.00    0.1562    0.0137
   -174.00    0.1871    0.0197
   -173.00    0.2177    0.0267
   -172.00    0.2480    0.0349
   -171.00    0.2780    0.0440
   -170.00    0.3077    0.0543
   -169.00    0.3370    0.0655
   -168.00    0.3660    0.0778
   -167.00    0.3944    0.0911
   -166.00    0.4224    0.1053
   -165.00    0.4499    0.1206
   -164.00    0.4768    0.1368
   -163.00    0.5031    0.1539
   -162.00    0.5288    0.1719
   -161.00    0.5539    0.1908
   -160.00    0.5783    0.2106
   -159.00    0.6020    0.2312
   -158.00    0.6250    0.2526
   -157.00    0.6472    0.2748
   -156.00    0.6686    0.2978
   -155.00    0.6892    0.3215
   -154.00    0.7090    0.3459
   -153.00    0.7279    0.3710
   -152.00    0.7459    0.3967
   -151.00    0.7630    0.4231
   -150.00    0.7792    0.4500
   -149.00    0.7944    0.4775
   -148.00    0.8087    0.5055
   -147.00    0.8219    0.5339
   -146.00    0.8342    0.5629
   -145.00    0.8455    0.5922
   -144.00    0.8557    0.6219
   -143.00    0.8649    0.6519
   -142.00    0.8730    0.6823
   -141.00    0.8801    0.7129
   -140.00    0.8861    0.7437
   -139.00    0.8910    0.7747
   -138.00    0.8948    0.8059
   -137.00    0.8975    0.8372
   -136.00    0.8992    0.8686
   -135.00    0.8997    0.9000
   -134.00    0.8992    0.9314
   -133.00    0.8975    0.9628
   -132.00    0.8948    0.9941
   -131.00    0.8910    1.0253
   -130.00    0.8861    1.0563
   -129.00    0.8801    1.0871
   -128.00    0.8730    1.1177
   -127.00    0.8649    1.1481
   -126.00    0.8557    1.1781
   -125.00    0.8455    1.2078
   -124.00    0.8342    1.2371
   -123.00    0.8219    1.2661
   -122.00    0.8087    1.2945
   -121.00    0.7944    1.3225
   -120.00    0.7792    1.3500
   -119.00    0.7630    1.3769
   -118.00    0.7459    1.4033
   -117.00    0.7279    1.4290
   -116.00    0.7090    1.4541
   -115.00    0.6892    1.4785
   -114.00    0.6686    1.5022
   -113.00    0.6472    1.5252
   -112.00    0.6250    1.5474
   -111.00    0.6020    1.5688
   -110.00    0.5783    1.5894
   -109.00    0.5539    1.6092
   -108.00    0.5288    1.6281
   -107.00    0.5031    1.6461
   -106.00    0.4768    1.6632
   -105.00    0.4499    1.6794
   -104.00    0.4224    1.6947
   -103.00    0.3944    1.7089
   -102.00    0.3660    1.7222
   -101.00    0.3370    1.7345
   -100.00    0.3077    1.7457
    -99.00    0.2780    1.7560
    -98.00    0.2480    1.7651
    -97.00    0.2177    1.7733
    -96.00    0.1871    1.7803
    -95.00    0.1562    1.7863
    -94.00    0.1252    1.7912
    -93.00    0.0940    1.7951
    -92.00    0.0628    1.7978
    -91.00    0.0314    1.7995
    -90.00   -0.0000    1.8000
    -89.00   -0.0314    1.8006
    -88.00   -0.0628    1.8001
    -87.00   -0.0941    1.7986
    -86.00   -0.1252    1.7959
    -85.00   -0.1562    1.7921
    -84.00   -0.1871    1.7873
    -83.00   -0.2176    1.7814
    -82.00   -0.2480    1.7744
    -81.00   -0.2780    1.7664
    -80.00   -0.3077    1.7573
    -79.00   -0.3369    1.7472
    -78.00   -0.3658    1.7360
    -77.00   -0.3943    1.7239
    -76.00   -0.4222    1.7107
    -75.00   -0.4496    1.6966
    -74.00   -0.4765    1.6816
    -73.00   -0.5028    1.6656
    -72.00   -0.5285    1.6487
    -71.00   -0.5535    1.6309
    -70.00   -0.5778    1.6122
    -69.00   -0.6015    1.5927
    -68.00   -0.6244    1.5723
    -67.00   -0.6465    1.5512
    -66.00   -0.6679    1.5293
    -65.00   -0.6884    1.5066
    -64.00   -0.7081    1.4833
    -63.00   -0.7269    1.4592
    -62.00   -0.7448    1.4345
    -61.00   -0.7618    1.4092
    -60.00   -0.7779    1.3833
    -59.00   -0.7930    1.3568
    -58.00   -0.8071    1.3298
    -57.00   -0.8203    1.3023
    -56.00   -0.8324    1.2743
    -55.00   -0.8436    1.2460
    -54.00   -0.8537    1.2172
    -53.00   -0.8627    1.1881
    -52.00   -0.8707    1.1587
    -51.00   -0.8776    1.1290
    -50.00   -0.8834    1.0990
    -49.00   -0.8882    1.0689
    -48.00   -0.8918    1.0386
    -47.00   -0.8944    1.0081
    -46.00   -0.8959    0.9776
    -45.00   -0.8962    0.9470
    -44.00   -0.8955    0.9164
    -43.00   -0.8936    0.8859
    -42.00   -0.8906    0.8554
    -41.00   -0.8866    0.8249
    -40.00   -0.8814    0.7947
    -39.00   -0.8752    0.7646
    -38.00   -0.8679    0.7347
    -37.00   -0.8595    0.7050
    -36.00   -0.8500    0.6757
    -35.00   -0.8395    0.6467
    -34.00   -0.8279    0.6180
    -33.00   -0.8153    0.5897
    -32.00   -0.8016    0.5619
    -31.00   -0.7870    0.5345
    -30.00   -0.7714    0.5076
    -29.00   -0.7548    0.4812
    -28.00   -0.7372    0.4555
    -27.00   -0.7187    0.4303
    -26.00   -0.6993    0.4057
    -25.00   -0.6790    0.3818
    -24.00   -0.6578    0.3585
    -23.00   -0.6358    0.3360
    -22.00   -0.6129    0.3143
    -21.00   -0.5892    0.2933
    -20.00   -0.5647    0.2731
    -19.00   -0.5394    0.2537
    -18.00   -0.5133    0.2351
    -17.00   -0.4865    0.2175
    -16.00   -0.4590    0.2007
    -15.00   -0.4307    0.1848
    -14.00   -0.4017    0.1699
    -13.00   -0.3719    0.1559
    -12.00   -0.3414    0.1429
    -11.00   -0.3101    0.1308
    -10.00   -0.2779    0.1198
