AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
2.55           Angle of attack for zero Cn for linear Cn curve (deg)
4.82476        Cn slope for zero lift for linear Cn curve (1/rad)
0.6221         Cn at stall value for positive angle of attack for linear Cn curve
-0.1437        Cn at stall value for negative angle of attack for linear Cn curve
1.90           Angle of attack for minimum CD (deg)
0.0549         Minimum CD value
     -8.00   -0.0143    0.1152
     -7.90   -0.0142    0.1146
     -7.80   -0.0142    0.1140
     -7.70   -0.0141    0.1135
     -7.60   -0.0141    0.1129
     -7.50   -0.0142    0.1123
     -7.40   -0.0142    0.1117
     -7.30   -0.0143    0.1111
     -7.20   -0.0144    0.1105
     -7.10   -0.0145    0.1100
     -7.00   -0.0146    0.1094
     -6.90   -0.0148    0.1088
     -6.80   -0.0150    0.1082
     -6.70   -0.0152    0.1076
     -6.60   -0.0154    0.1071
     -6.50   -0.0157    0.1065
     -6.40   -0.0160    0.1059
     -6.30   -0.0163    0.1053
     -6.20   -0.0166    0.1047
     -6.10   -0.0170    0.1042
     -6.00   -0.0174    0.1036
     -5.90   -0.0179    0.1030
     -5.80   -0.0184    0.1024
     -5.70   -0.0189    0.1018
     -5.60   -0.0194    0.1013
     -5.50   -0.0200    0.1007
     -5.40   -0.0206    0.1001
     -5.30   -0.0213    0.0995
     -5.20   -0.0220    0.0990
     -5.10   -0.0227    0.0984
     -5.00   -0.0235    0.0978
     -4.90   -0.0244    0.0972
     -4.80   -0.0253    0.0967
     -4.70   -0.0262    0.0961
     -4.60   -0.0272    0.0955
     -4.50   -0.0282    0.0949
     -4.40   -0.0293    0.0944
     -4.30   -0.0304    0.0938
     -4.20   -0.0316    0.0932
     -4.10   -0.0329    0.0926
     -4.00   -0.0342    0.0920
     -3.90   -0.0356    0.0915
     -3.80   -0.0371    0.0909
     -3.70   -0.0386    0.0903
     -3.60   -0.0402    0.0897
