AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.009_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.94          Angle of attack for zero Cn for linear Cn curve (deg)
0.29673        Cn slope for zero lift for linear Cn curve (1/rad)
0.0018         Cn at stall value for positive angle of attack for linear Cn curve
-0.0041        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0529         Minimum CD value
     -8.00    0.0097    0.0987
     -7.90    0.0102    0.0982
     -7.80    0.0107    0.0976
     -7.70    0.0111    0.0970
     -7.60    0.0114    0.0965
     -7.50    0.0117    0.0959
     -7.40    0.0120    0.0954
     -7.30    0.0122    0.0949
     -7.20    0.0123    0.0943
     -7.10    0.0125    0.0938
     -7.00    0.0125    0.0933
     -6.90    0.0126    0.0927
     -6.80    0.0126    0.0922
     -6.70    0.0125    0.0917
     -6.60    0.0125    0.0912
     -6.50    0.0123    0.0907
     -6.40    0.0122    0.0902
     -6.30    0.0120    0.0897
     -6.20    0.0117    0.0892
     -6.10    0.0114    0.0887
     -6.00    0.0111    0.0882
     -5.90    0.0698    0.0832
     -5.80    0.0880    0.0811
     -5.70    0.0990    0.0796
     -5.60    0.0897    0.0800
     -5.50    0.0615    0.0822
     -5.40    0.0409    0.0836
     -5.30    0.0153    0.0855
     -5.20   -0.0007    0.0864
     -5.10   -0.0166    0.0872
     -5.00   -0.0323    0.0881
     -4.90   -0.0469    0.0888
     -4.80   -0.0595    0.0893
     -4.70   -0.0697    0.0896
     -4.60   -0.0780    0.0897
     -4.50   -0.0870    0.0899
     -4.40   -0.0976    0.0901
     -3.90    0.1343    0.0672
     -3.80    0.1331    0.0667
     -3.70    0.1316    0.0662
     -3.60    0.1298    0.0658
     -3.50    0.1279    0.0654
     -3.40    0.1256    0.0649
     -3.30    0.1232    0.0645
     -3.20    0.1205    0.0641
     -3.10    0.1175    0.0637
     -3.00    0.1143    0.0633
     -2.90    0.1108    0.0629
     -2.80    0.1071    0.0626
     -2.70    0.1031    0.0622
     -2.60    0.0988    0.0618
     -2.50    0.0943    0.0615
     -2.40    0.0895    0.0611
     -2.30    0.0845    0.0607
     -2.20    0.0792    0.0604
     -2.10    0.0737    0.0600
     -2.00    0.0680    0.0597
     -1.90    0.0620    0.0593
     -1.80    0.0559    0.0589
     -1.70    0.0496    0.0586
     -1.60    0.0432    0.0582
     -1.50    0.0367    0.0578
     -1.40    0.0301    0.0575
     -1.30    0.0235    0.0571
     -1.20    0.0170    0.0567
     -1.10    0.0106    0.0563
     -1.00    0.0043    0.0559
     -0.90   -0.0017    0.0555
     -0.80   -0.0074    0.0551
     -0.70   -0.0123    0.0547
     -0.60   -0.0156    0.0543
     -0.50   -0.0161    0.0539
     -0.40   -0.0127    0.0535
     -0.30   -0.0050    0.0532
     -0.20    0.0063    0.0530
     -0.10    0.0202    0.0529
      0.00    0.0357    0.0529
      0.10    0.0519    0.0529
      0.20    0.0683    0.0530
      0.30    0.0848    0.0531
      0.40    0.1010    0.0533
      0.50    0.1170    0.0535
      0.60    0.1327    0.0537
      0.70    0.1481    0.0540
      0.80    0.1632    0.0542
      0.90    0.1779    0.0545
      1.00    0.1923    0.0548
      1.10    0.2064    0.0551
      1.20    0.2201    0.0554
      1.30    0.2336    0.0558
      1.40    0.2468    0.0561
      1.50    0.2596    0.0565
      1.60    0.2722    0.0569
      1.70    0.2846    0.0572
      1.80    0.2967    0.0576
      1.90    0.3085    0.0581
      2.00    0.3201    0.0585
      2.10    0.3315    0.0589
      2.20    0.3427    0.0594
      2.30    0.3536    0.0598
      2.40    0.3644    0.0603
      2.50    0.3749    0.0607
      2.60    0.3853    0.0612
      2.70    0.3955    0.0617
      2.80    0.4054    0.0622
      2.90    0.4152    0.0627
      3.00    0.4249    0.0633
      3.10    0.4343    0.0638
      3.20    0.4436    0.0643
      3.30    0.4528    0.0649
      3.40    0.4618    0.0655
      3.50    0.4706    0.0660
      3.60    0.4793    0.0666
      3.70    0.4879    0.0672
      3.80    0.4963    0.0678
      3.90    0.5046    0.0684
      4.00    0.5128    0.0690
      4.10    0.5208    0.0697
      4.20    0.5288    0.0703
      4.30    0.5366    0.0709
      4.40    0.5443    0.0716
      4.50    0.5519    0.0723
      4.60    0.5594    0.0729
      4.70    0.5668    0.0736
      4.80    0.5741    0.0743
      4.90    0.5813    0.0750
      5.00    0.5884    0.0757
      5.10    0.5954    0.0764
      5.20    0.6023    0.0772
      5.30    0.6091    0.0779
      5.40    0.6158    0.0787
      5.50    0.6225    0.0794
      5.60    0.6290    0.0802
      5.70    0.6355    0.0809
      5.80    0.6420    0.0817
      5.90    0.6483    0.0825
      6.00    0.6546    0.0833
      6.10    0.6609    0.0841
      6.20    0.6671    0.0849
      6.30    0.6731    0.0857
      6.40    0.6792    0.0866
      6.50    0.6852    0.0874
      6.60    0.6911    0.0882
      6.70    0.6969    0.0891
      6.80    0.7027    0.0899
      6.90    0.7085    0.0908
      7.00    0.7142    0.0917
      7.10    0.7199    0.0926
      7.20    0.7255    0.0935
      7.30    0.7311    0.0943
      7.40    0.7366    0.0952
      7.50    0.7422    0.0961
      7.60    0.7476    0.0970
      7.70    0.7531    0.0980
      7.80    0.7585    0.0989
      7.90    0.7638    0.0998
      8.00    0.7691    0.1007
      8.10    0.7744    0.1017
      8.20    0.7797    0.1026
      8.30    0.7849    0.1035
      8.40    0.7901    0.1045
      8.50    0.7952    0.1054
      8.60    0.8003    0.1064
      8.70    0.8054    0.1073
      8.80    0.8105    0.1083
      8.90    0.8156    0.1093
      9.00    0.8206    0.1103
      9.10    0.8256    0.1112
      9.20    0.8306    0.1122
      9.30    0.8356    0.1132
      9.40    0.8405    0.1142
      9.50    0.8455    0.1152
      9.60    0.8504    0.1162
      9.70    0.8552    0.1172
      9.80    0.8601    0.1182
      9.90    0.8649    0.1192
     10.00    0.8697    0.1202
     10.10    0.8745    0.1212
     10.20    0.8792    0.1222
     10.30    0.8840    0.1232
     10.40    0.8887    0.1243
     10.50    0.8935    0.1253
     10.60    0.8982    0.1263
     10.70    0.9029    0.1273
     10.80    0.9077    0.1284
     10.90    0.9124    0.1294
     11.00    0.9171    0.1304
     11.10    0.9218    0.1314
     11.20    0.9264    0.1325
     11.30    0.9311    0.1335
     11.40    0.9358    0.1346
     11.50    0.9404    0.1356
     11.60    0.9450    0.1366
     11.70    0.9496    0.1377
     11.80    0.9542    0.1387
     11.90    0.9588    0.1398
     12.00    0.9633    0.1408
     12.10    0.9679    0.1419
     12.20    0.9724    0.1429
     12.30    0.9770    0.1440
     12.40    0.9815    0.1450
     12.50    0.9861    0.1461
     12.60    0.9906    0.1471
     12.70    0.9951    0.1481
     12.80    0.9996    0.1492
     12.90    1.0041    0.1502
     13.00    1.0085    0.1513
     13.10    1.0130    0.1524
     13.20    1.0174    0.1534
     13.30    1.0218    0.1545
     13.40    1.0262    0.1555
     13.50    1.0306    0.1566
     13.60    1.0350    0.1577
     13.70    1.0394    0.1587
     13.80    1.0438    0.1598
     13.90    1.0482    0.1608
     14.00    1.0526    0.1619
     14.10    1.0570    0.1630
     14.20    1.0613    0.1640
     14.30    1.0657    0.1651
     14.40    1.0701    0.1662
     14.50    1.0744    0.1672
     14.60    1.0788    0.1683
     14.70    1.0831    0.1694
     14.80    1.0874    0.1704
     14.90    1.0917    0.1715
     15.00    1.0960    0.1726
     15.10    1.1002    0.1737
     15.20    1.1044    0.1747
     15.30    1.1086    0.1758
     15.40    1.1128    0.1769
     15.50    1.1169    0.1780
     15.60    1.1210    0.1791
     15.70    1.1251    0.1802
     15.80    1.1292    0.1813
     15.90    1.1333    0.1825
     16.00    1.1373    0.1836
     16.10    1.1413    0.1847
     16.20    1.1453    0.1859
     16.30    1.1492    0.1870
     16.40    1.1532    0.1882
     16.50    1.1571    0.1894
     16.60    1.1609    0.1906
     16.70    1.1648    0.1918
     16.80    1.1686    0.1930
     16.90    1.1724    0.1942
     17.00    1.1762    0.1954
     17.10    1.1800    0.1967
     17.20    1.1837    0.1979
     17.30    1.1875    0.1991
     17.40    1.1911    0.2004
     17.50    1.1948    0.2017
     17.60    1.1985    0.2029
     17.70    1.2021    0.2042
     17.80    1.2057    0.2055
     17.90    1.2093    0.2068
     18.00    1.2129    0.2081
     18.10    1.2165    0.2094
     18.20    1.2201    0.2107
     18.30    1.2236    0.2120
     18.40    1.2271    0.2134
     18.50    1.2306    0.2147
     18.60    1.2341    0.2160
     18.70    1.2376    0.2174
     18.80    1.2411    0.2187
     18.90    1.2446    0.2200
     19.00    1.2481    0.2214
     19.10    1.2515    0.2227
     19.20    1.2550    0.2241
     19.30    1.2584    0.2254
     19.40    1.2618    0.2267
     19.50    1.2652    0.2281
     19.60    1.2686    0.2295
     19.70    1.2720    0.2308
     19.80    1.2753    0.2322
     19.90    1.2787    0.2335
     20.00    1.2820    0.2349
