AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.030_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.25          Angle of attack for zero Cn for linear Cn curve (deg)
-0.26170       Cn slope for zero lift for linear Cn curve (1/rad)
-0.0217        Cn at stall value for positive angle of attack for linear Cn curve
-0.0385        Cn at stall value for negative angle of attack for linear Cn curve
0.10           Angle of attack for minimum CD (deg)
0.0310         Minimum CD value
     -8.00   -0.0243    0.1036
     -7.90   -0.0191    0.1024
     -7.80   -0.0160    0.1013
     -7.70   -0.0144    0.1006
     -7.60   -0.0087    0.0992
     -7.50   -0.0096    0.0989
     -7.40   -0.0020    0.0972
     -7.30   -0.0046    0.0971
     -7.20    0.0044    0.0953
     -7.10    0.0005    0.0953
     -7.00    0.0104    0.0934
     -6.90    0.0067    0.0934
     -6.80    0.0159    0.0916
     -6.70    0.0139    0.0913
     -6.60    0.0206    0.0898
     -6.50    0.0219    0.0891
     -6.40    0.0241    0.0882
     -6.30    0.0290    0.0871
     -6.20    0.0256    0.0869
     -6.10    0.0329    0.0854
     -6.00    0.0350    0.0845
     -5.90    0.0306    0.0844
     -5.80    0.0357    0.0831
     -5.70    0.0391    0.0821
     -5.60    0.0410    0.0812
     -5.50    0.0417    0.0805
     -5.40    0.0413    0.0798
     -5.20   -0.0540    0.0789
     -5.00   -0.0696    0.0740
     -4.80   -0.0675    0.0698
     -4.70   -0.0652    0.0656
     -4.50   -0.0494    0.0605
     -4.40   -0.0407    0.0587
     -4.30   -0.0189    0.0541
     -4.20   -0.0011    0.0515
     -4.10    0.0150    0.0495
     -4.00    0.0263    0.0484
     -3.90    0.0464    0.0463
     -3.80    0.0639    0.0448
     -3.70    0.0858    0.0431
     -3.60    0.0943    0.0426
     -3.50    0.1078    0.0417
     -3.40    0.1226    0.0407
     -3.30    0.1368    0.0399
     -3.20    0.1503    0.0392
     -3.10    0.1682    0.0383
     -3.00    0.1767    0.0380
     -2.90    0.1893    0.0375
     -2.80    0.1991    0.0372
     -2.70    0.2064    0.0371
     -2.60    0.2109    0.0371
     -2.50    0.2155    0.0372
     -2.40    0.2171    0.0374
     -2.20    0.2132    0.0379
     -2.10    0.2093    0.0381
     -1.80    0.1970    0.0381
     -1.70    0.1920    0.0380
     -1.60    0.1886    0.0377
     -1.50    0.1852    0.0375
     -1.40    0.1806    0.0372
     -1.30    0.1776    0.0368
     -1.20    0.1731    0.0364
     -1.10    0.1690    0.0360
     -1.00    0.1651    0.0356
     -0.90    0.1607    0.0350
     -0.80    0.1573    0.0345
     -0.70    0.1535    0.0338
     -0.60    0.1519    0.0332
     -0.50    0.1558    0.0325
     -0.40    0.2683    0.0315
     -0.30    0.2653    0.0313
     -0.20    0.2633    0.0312
     -0.10    0.2640    0.0311
      0.00    0.2680    0.0310
      0.10    0.2755    0.0310
      0.20    0.2856    0.0310
      0.30    0.2979    0.0310
      0.40    0.3116    0.0311
      0.50    0.3263    0.0312
      0.60    0.3417    0.0313
      0.70    0.3576    0.0315
      0.80    0.3738    0.0316
      0.90    0.3901    0.0318
      1.00    0.4066    0.0320
      1.10    0.4230    0.0322
      1.20    0.4394    0.0324
      1.30    0.4557    0.0326
      1.40    0.4719    0.0329
      1.50    0.4879    0.0331
      1.60    0.5038    0.0334
      1.70    0.5195    0.0336
      1.80    0.5350    0.0339
      1.90    0.5503    0.0342
      2.00    0.5654    0.0345
      2.10    0.5803    0.0347
      2.20    0.5950    0.0350
      2.30    0.6094    0.0353
      2.40    0.6235    0.0356
      2.50    0.6375    0.0360
      2.60    0.6511    0.0363
      2.70    0.6645    0.0366
      2.80    0.6777    0.0369
      2.90    0.6906    0.0373
      3.00    0.7033    0.0376
      3.10    0.7156    0.0379
      3.20    0.7278    0.0383
      3.30    0.7396    0.0386
      3.40    0.7512    0.0390
      3.50    0.7626    0.0394
      3.60    0.7737    0.0397
      3.70    0.7846    0.0401
      3.80    0.7953    0.0405
      3.90    0.8057    0.0409
      4.00    0.8159    0.0413
      4.10    0.8259    0.0417
      4.20    0.8357    0.0421
      4.30    0.8453    0.0425
      4.40    0.8548    0.0429
      4.50    0.8640    0.0433
      4.60    0.8731    0.0438
      4.70    0.8820    0.0442
      4.80    0.8908    0.0446
      4.90    0.8994    0.0451
      5.00    0.9078    0.0455
      5.10    0.9161    0.0460
      5.20    0.9242    0.0465
      5.30    0.9323    0.0470
      5.40    0.9402    0.0474
      5.50    0.9479    0.0479
      5.60    0.9556    0.0484
      5.70    0.9631    0.0489
      5.80    0.9705    0.0494
      5.90    0.9778    0.0500
      6.00    0.9850    0.0505
      6.10    0.9921    0.0510
      6.20    0.9991    0.0516
      6.30    1.0059    0.0521
      6.40    1.0127    0.0527
      6.60    1.0259    0.0539
      6.70    1.0324    0.0545
      6.80    1.0388    0.0551
      6.90    1.0450    0.0557
      7.00    1.0512    0.0563
      7.10    1.0573    0.0569
      7.20    1.0633    0.0576
