AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.040_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.60          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.09          Angle of attack for zero Cn for linear Cn curve (deg)
1.19970        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0242        Cn at stall value for positive angle of attack for linear Cn curve
-0.0379        Cn at stall value for negative angle of attack for linear Cn curve
0.60           Angle of attack for minimum CD (deg)
0.0280         Minimum CD value
     -8.00   -0.0242    0.1001
     -7.90   -0.0218    0.0994
     -7.80   -0.0177    0.0982
     -7.70   -0.0168    0.0976
     -7.60   -0.0116    0.0963
     -7.50   -0.0118    0.0958
     -7.40   -0.0058    0.0944
     -7.30   -0.0065    0.0940
     -7.20   -0.0006    0.0926
     -7.10   -0.0004    0.0921
     -7.00    0.0042    0.0909
     -6.90    0.0058    0.0902
     -6.80    0.0087    0.0892
     -6.70    0.0121    0.0883
     -6.60    0.0121    0.0876
     -6.50    0.0184    0.0864
     -6.40    0.0137    0.0863
     -6.30    0.0228    0.0847
     -6.20    0.0179    0.0846
     -6.10    0.0240    0.0833
     -6.00    0.0284    0.0823
     -5.90    0.0205    0.0824
     -5.80    0.0278    0.0809
     -5.10   -0.0535    0.0628
     -5.00   -0.0410    0.0563
     -4.80   -0.0097    0.0497
     -4.70    0.0053    0.0476
     -4.60    0.0253    0.0451
     -4.50    0.0458    0.0429
     -4.40    0.0632    0.0414
     -4.30    0.0803    0.0400
     -4.20    0.0984    0.0387
     -4.10    0.1169    0.0374
     -4.00    0.1280    0.0368
     -3.90    0.1447    0.0359
     -3.80    0.1558    0.0353
     -3.70    0.1699    0.0346
     -3.60    0.1828    0.0340
     -3.50    0.1944    0.0335
     -3.40    0.2054    0.0331
     -3.30    0.2166    0.0326
     -3.20    0.2289    0.0321
     -3.10    0.2408    0.0317
     -3.00    0.2530    0.0313
     -2.90    0.2659    0.0308
     -2.80    0.2755    0.0306
     -2.70    0.2835    0.0306
     -2.60    0.2856    0.0310
     -2.50    0.2838    0.0315
     -2.40    0.2815    0.0320
     -2.30    0.2785    0.0324
     -2.20    0.2762    0.0328
     -2.10    0.2731    0.0331
     -1.90    0.2696    0.0334
     -1.80    0.2683    0.0334
     -1.70    0.2671    0.0334
     -1.60    0.2663    0.0334
     -1.50    0.2655    0.0333
     -1.40    0.2646    0.0332
     -1.30    0.2637    0.0331
     -1.20    0.2608    0.0329
     -1.10    0.2593    0.0327
     -1.00    0.2581    0.0325
     -0.90    0.2577    0.0322
     -0.80    0.2569    0.0319
     -0.70    0.2570    0.0316
     -0.60    0.2591    0.0313
