AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.20          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.48          Angle of attack for zero Cn for linear Cn curve (deg)
3.49056        Cn slope for zero lift for linear Cn curve (1/rad)
0.0001         Cn at stall value for positive angle of attack for linear Cn curve
-0.0127        Cn at stall value for negative angle of attack for linear Cn curve
-2.90          Angle of attack for minimum CD (deg)
0.0199         Minimum CD value
     -8.00    0.0055    0.0838
     -7.90    0.0044    0.0830
     -7.80   -0.0016    0.0820
     -7.70    0.0111    0.0810
     -7.60    0.0063    0.0802
     -7.50    0.0061    0.0792
     -7.40    0.0163    0.0783
     -7.30    0.0015    0.0777
     -7.20    0.0145    0.0765
     -7.10    0.0198    0.0757
     -7.00   -0.0048    0.0754
     -6.90    0.0179    0.0739
     -6.80    0.0221    0.0731
     -6.70    0.0043    0.0726
     -6.60    0.0179    0.0715
     -6.50    0.0226    0.0708
     -5.90    0.0313    0.0374
     -5.80    0.0424    0.0363
     -5.70    0.0542    0.0352
     -5.50    0.0882    0.0321
     -5.40    0.1004    0.0313
     -5.30    0.1132    0.0305
     -5.20    0.1262    0.0298
     -5.10    0.1393    0.0290
     -5.00    0.1524    0.0284
     -4.90    0.1653    0.0278
     -4.80    0.1781    0.0273
     -4.70    0.1909    0.0268
     -4.60    0.2035    0.0263
     -4.50    0.2154    0.0259
     -4.40    0.2261    0.0255
     -4.30    0.2372    0.0251
     -4.20    0.2484    0.0247
     -4.10    0.2598    0.0244
     -4.00    0.2715    0.0240
     -3.90    0.2823    0.0237
     -3.80    0.2930    0.0234
     -3.70    0.3046    0.0231
     -3.60    0.3153    0.0228
     -3.50    0.3269    0.0225
     -3.40    0.3388    0.0222
     -3.30    0.3513    0.0219
     -3.20    0.3647    0.0216
     -3.10    0.3797    0.0212
     -3.00    0.3985    0.0207
     -2.90    0.4222    0.0199
     -2.80    0.4328    0.0202
     -2.70    0.4421    0.0205
     -2.60    0.4514    0.0207
     -2.50    0.4612    0.0209
     -2.40    0.4693    0.0211
     -2.30    0.4775    0.0213
     -2.20    0.4858    0.0214
     -2.10    0.4941    0.0216
     -2.00    0.5020    0.0218
     -1.90    0.5097    0.0219
     -1.80    0.5171    0.0220
     -1.70    0.5243    0.0222
     -1.60    0.5314    0.0223
     -1.50    0.5387    0.0224
     -1.40    0.5459    0.0225
     -1.30    0.5534    0.0226
     -1.20    0.5615    0.0227
     -1.10    0.5704    0.0228
     -1.00    0.5774    0.0228
     -0.90    0.5855    0.0229
     -0.80    0.5953    0.0229
     -0.70    0.6040    0.0229
     -0.60    0.6129    0.0229
     -0.50    0.6248    0.0229
     -0.40    0.6325    0.0229
     -0.30    0.6442    0.0229
     -0.20    0.6527    0.0229
     -0.10    0.6644    0.0229
      0.00    0.6731    0.0229
      0.10    0.6852    0.0230
      0.20    0.6934    0.0230
      0.30    0.7049    0.0230
      0.40    0.7131    0.0230
      0.50    0.7243    0.0230
      0.60    0.7328    0.0230
      0.70    0.7439    0.0231
      0.80    0.7529    0.0231
      0.90    0.7646    0.0231
      1.00    0.7734    0.0231
      1.10    0.7854    0.0232
      1.20    0.7938    0.0232
      1.30    0.8057    0.0232
      1.40    0.8141    0.0232
      1.50    0.8252    0.0233
      1.60    0.8342    0.0233
      1.70    0.8447    0.0234
      1.80    0.8537    0.0234
      1.90    0.8642    0.0234
      2.00    0.8727    0.0235
      2.10    0.8837    0.0235
      2.20    0.8914    0.0236
      2.30    0.9017    0.0236
      2.40    0.9100    0.0237
      2.50    0.9197    0.0237
      2.60    0.9287    0.0238
      2.70    0.9375    0.0238
      2.80    0.9472    0.0239
      2.90    0.9550    0.0239
      3.00    0.9644    0.0240
      3.10    0.9723    0.0241
      3.20    0.9803    0.0241
      3.40    0.9965    0.0242
      3.50    1.0038    0.0243
      3.60    1.0113    0.0243
      3.70    1.0184    0.0244
      3.80    1.0250    0.0244
      3.90    1.0308    0.0244
      4.00    1.0360    0.0245
      4.10    1.0403    0.0244
      4.20    1.0436    0.0244
      4.30    1.0565    0.0246
      4.40    1.0706    0.0248
      4.50    1.0845    0.0250
      4.60    1.0980    0.0252
      4.70    1.1112    0.0255
      4.80    1.1241    0.0257
      4.90    1.1366    0.0259
      5.00    1.1487    0.0262
      5.10    1.1604    0.0264
      5.20    1.1717    0.0267
      5.30    1.1827    0.0269
      5.40    1.1932    0.0272
      5.50    1.2035    0.0274
      5.60    1.2134    0.0277
      5.70    1.2230    0.0279
      5.80    1.2323    0.0282
      5.90    1.2413    0.0285
      6.00    1.2501    0.0287
      6.10    1.2587    0.0290
      6.20    1.2671    0.0293
      6.30    1.2753    0.0296
      6.40    1.2834    0.0299
      6.50    1.2913    0.0302
      6.60    1.2990    0.0305
      6.70    1.3066    0.0308
      6.80    1.3141    0.0311
      6.90    1.3214    0.0314
      7.00    1.3286    0.0318
      7.10    1.3358    0.0321
      7.20    1.3428    0.0325
      7.30    1.3497    0.0328
      7.40    1.3565    0.0332
      7.50    1.3632    0.0335
      7.60    1.3698    0.0339
      7.70    1.3763    0.0343
      7.80    1.3827    0.0347
      7.90    1.3890    0.0351
      8.00    1.3953    0.0355
      8.10    1.4014    0.0359
      8.20    1.4074    0.0363
      8.30    1.4134    0.0368
      8.40    1.4192    0.0372
      8.50    1.4250    0.0377
      8.60    1.4307    0.0381
      8.70    1.4363    0.0386
      8.80    1.4418    0.0391
      8.90    1.4472    0.0396
      9.00    1.4525    0.0401
      9.10    1.4577    0.0406
      9.20    1.4628    0.0412
      9.30    1.4679    0.0417
      9.40    1.4728    0.0423
      9.50    1.4777    0.0428
      9.60    1.4825    0.0434
      9.70    1.4872    0.0440
      9.80    1.4918    0.0446
      9.90    1.4963    0.0452
     10.00    1.5007    0.0458
     10.10    1.5050    0.0465
     10.20    1.5092    0.0471
     10.30    1.5133    0.0478
     10.40    1.5173    0.0485
     10.50    1.5212    0.0492
     10.60    1.5250    0.0499
     10.70    1.5287    0.0506
     10.80    1.5322    0.0514
     10.90    1.5357    0.0521
     11.00    1.5390    0.0529
     11.10    1.5422    0.0537
     11.20    1.5453    0.0545
     11.30    1.5483    0.0553
     11.40    1.5512    0.0562
     11.50    1.5539    0.0571
     11.60    1.5565    0.0580
     11.70    1.5591    0.0589
     11.80    1.5614    0.0598
     11.90    1.5637    0.0608
     12.00    1.5658    0.0618
     12.10    1.5678    0.0628
     12.20    1.5697    0.0638
     12.30    1.5714    0.0649
     12.40    1.5729    0.0659
     12.50    1.5743    0.0670
     12.60    1.5756    0.0682
     12.70    1.5767    0.0694
     12.80    1.5776    0.0705
     12.90    1.5784    0.0718
     13.00    1.5791    0.0730
     13.10    1.5797    0.0743
     13.20    1.5803    0.0755
     13.30    1.5807    0.0768
     13.40    1.5813    0.0781
     13.50    1.5820    0.0794
