AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.80          Angle of attack for zero Cn for linear Cn curve (deg)
3.67698        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0007        Cn at stall value for positive angle of attack for linear Cn curve
-0.0069        Cn at stall value for negative angle of attack for linear Cn curve
-2.90          Angle of attack for minimum CD (deg)
0.0181         Minimum CD value
     -8.00    0.0078    0.0791
     -7.90    0.0039    0.0781
     -7.80    0.0084    0.0772
     -7.70    0.0096    0.0764
     -7.60   -0.0062    0.0750
     -7.50    0.0151    0.0745
     -7.40    0.0078    0.0735
     -7.30   -0.0027    0.0723
     -7.20    0.0148    0.0716
     -7.10    0.0163    0.0708
     -7.00   -0.0043    0.0693
     -6.90    0.0090    0.0688
     -6.80    0.0161    0.0682
     -6.70    0.0022    0.0662
     -6.60    0.0136    0.0660
     -6.50    0.0195    0.0654
     -6.00    0.0497    0.0328
     -5.90    0.0605    0.0320
     -5.80    0.0727    0.0311
     -5.70    0.0857    0.0301
     -5.60    0.0993    0.0292
     -5.50    0.1134    0.0283
     -5.40    0.1274    0.0275
     -5.30    0.1414    0.0268
     -5.20    0.1547    0.0262
     -5.10    0.1669    0.0257
     -5.00    0.1787    0.0253
     -4.90    0.1901    0.0248
     -4.80    0.2014    0.0244
     -4.70    0.2125    0.0240
     -4.60    0.2236    0.0236
     -4.50    0.2347    0.0233
     -4.40    0.2460    0.0230
     -4.30    0.2573    0.0227
     -4.20    0.2688    0.0224
     -4.10    0.2804    0.0221
     -4.00    0.2912    0.0218
     -3.90    0.3024    0.0216
     -3.80    0.3139    0.0213
     -3.70    0.3254    0.0211
     -3.60    0.3372    0.0208
     -3.50    0.3494    0.0206
     -3.40    0.3621    0.0203
     -3.30    0.3756    0.0200
     -3.20    0.3902    0.0197
     -3.10    0.4052    0.0194
     -3.00    0.4236    0.0189
     -2.90    0.4487    0.0181
     -2.80    0.4604    0.0182
     -2.70    0.4714    0.0183
     -2.60    0.4820    0.0185
     -2.50    0.4928    0.0186
     -2.40    0.5027    0.0187
     -2.30    0.5127    0.0189
     -2.20    0.5230    0.0190
     -2.10    0.5326    0.0192
     -2.00    0.5417    0.0193
     -1.90    0.5510    0.0194
     -1.80    0.5606    0.0196
     -1.70    0.5696    0.0197
     -1.60    0.5780    0.0198
     -1.50    0.5869    0.0199
     -1.40    0.5964    0.0200
     -1.30    0.6061    0.0201
     -1.20    0.6145    0.0202
     -1.10    0.6230    0.0203
     -1.00    0.6324    0.0203
     -0.90    0.6424    0.0204
     -0.80    0.6502    0.0205
     -0.70    0.6599    0.0205
     -0.60    0.6703    0.0206
     -0.50    0.6790    0.0206
     -0.40    0.6907    0.0207
     -0.30    0.6995    0.0207
     -0.20    0.7104    0.0207
     -0.10    0.7206    0.0208
      0.00    0.7307    0.0208
      0.10    0.7421    0.0208
      0.20    0.7515    0.0209
      0.30    0.7630    0.0209
      0.40    0.7718    0.0209
      0.50    0.7835    0.0210
      0.60    0.7921    0.0210
      0.70    0.8031    0.0211
      0.80    0.8128    0.0211
      0.90    0.8229    0.0211
      1.00    0.8341    0.0212
      1.10    0.8434    0.0212
      1.20    0.8547    0.0213
      1.30    0.8642    0.0213
      1.40    0.8742    0.0214
      1.50    0.8852    0.0214
      1.60    0.8944    0.0215
      1.70    0.9057    0.0215
      1.80    0.9147    0.0216
      1.90    0.9248    0.0216
      2.00    0.9346    0.0217
      2.10    0.9440    0.0218
      2.20    0.9540    0.0218
      2.30    0.9631    0.0219
      2.40    0.9733    0.0220
      2.50    0.9822    0.0220
      2.60    0.9928    0.0221
      2.70    1.0014    0.0222
      2.80    1.0122    0.0223
      2.90    1.0205    0.0223
      3.00    1.0308    0.0224
      3.10    1.0394    0.0225
      3.20    1.0493    0.0226
      3.30    1.0578    0.0227
      3.40    1.0675    0.0228
      3.50    1.0755    0.0228
      3.60    1.0849    0.0229
      3.70    1.0927    0.0230
      3.80    1.1014    0.0231
      4.00    1.1172    0.0233
      4.10    1.1256    0.0234
      4.20    1.1332    0.0234
      4.30    1.1404    0.0235
      4.40    1.1477    0.0236
      4.50    1.1547    0.0237
      4.60    1.1611    0.0238
      4.70    1.1669    0.0238
      4.80    1.1719    0.0239
      4.90    1.1753    0.0239
      5.00    1.1756    0.0238
      5.10    1.1864    0.0240
      5.20    1.1990    0.0242
      5.30    1.2113    0.0244
      5.40    1.2231    0.0247
      5.50    1.2345    0.0249
      5.60    1.2455    0.0251
      5.70    1.2560    0.0254
      5.80    1.2661    0.0256
      5.90    1.2759    0.0258
      6.00    1.2854    0.0261
      6.10    1.2945    0.0263
      6.20    1.3034    0.0266
      6.30    1.3121    0.0268
      6.40    1.3205    0.0271
      6.50    1.3288    0.0274
      6.60    1.3369    0.0276
      6.70    1.3448    0.0279
      6.80    1.3525    0.0282
      6.90    1.3602    0.0285
      7.00    1.3677    0.0288
      7.10    1.3751    0.0291
      7.20    1.3823    0.0294
      7.30    1.3895    0.0297
      7.40    1.3966    0.0300
      7.50    1.4035    0.0303
      7.60    1.4104    0.0306
      7.70    1.4171    0.0310
      7.80    1.4238    0.0313
      7.90    1.4304    0.0317
      8.00    1.4369    0.0320
      8.10    1.4433    0.0324
      8.20    1.4496    0.0328
      8.30    1.4558    0.0332
      8.40    1.4619    0.0336
      8.50    1.4680    0.0340
      8.60    1.4739    0.0344
      8.70    1.4798    0.0348
      8.80    1.4856    0.0352
      8.90    1.4913    0.0357
      9.00    1.4969    0.0361
      9.10    1.5025    0.0366
      9.20    1.5080    0.0371
      9.30    1.5133    0.0375
      9.40    1.5186    0.0380
