AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.007_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.97           Angle of attack for zero Cn for linear Cn curve (deg)
5.64897        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0193        Cn at stall value for positive angle of attack for linear Cn curve
-0.0237        Cn at stall value for negative angle of attack for linear Cn curve
0.70           Angle of attack for minimum CD (deg)
0.0507         Minimum CD value
     -8.00   -0.0097    0.1015
     -7.90   -0.0093    0.1010
     -7.80   -0.0090    0.1005
     -7.70   -0.0087    0.0999
     -7.60   -0.0084    0.0994
     -7.50   -0.0082    0.0989
     -7.40   -0.0080    0.0984
     -7.30   -0.0079    0.0979
     -7.20   -0.0078    0.0973
     -7.10   -0.0077    0.0968
     -7.00   -0.0076    0.0963
     -6.90   -0.0076    0.0958
     -6.80   -0.0076    0.0953
     -6.70   -0.0077    0.0948
     -6.60   -0.0077    0.0943
     -6.50   -0.0079    0.0938
     -6.40   -0.0080    0.0933
     -6.30   -0.0082    0.0928
     -6.20   -0.0084    0.0923
     -6.10   -0.0086    0.0918
     -6.00   -0.0089    0.0913
     -5.90   -0.0092    0.0908
     -5.80   -0.0096    0.0903
     -5.70   -0.0099    0.0898
     -5.60   -0.0103    0.0893
     -5.50   -0.0108    0.0888
     -5.40   -0.0112    0.0883
     -5.30   -0.0118    0.0878
     -5.20   -0.0123    0.0873
     -5.10   -0.0129    0.0868
     -5.00   -0.0136    0.0864
     -4.90   -0.0142    0.0859
     -4.80   -0.0150    0.0854
     -4.70   -0.0157    0.0849
     -4.60   -0.0165    0.0844
     -4.50   -0.0174    0.0839
     -4.40   -0.0183    0.0834
     -4.30   -0.0193    0.0829
     -4.20   -0.0203    0.0824
     -4.10   -0.0213    0.0819
     -4.00   -0.0225    0.0814
     -3.90   -0.0236    0.0809
     -3.80   -0.0249    0.0804
     -3.70   -0.0262    0.0799
     -3.60   -0.0276    0.0793
     -3.50   -0.0290    0.0788
     -3.40   -0.0305    0.0783
     -3.30   -0.0322    0.0778
     -3.20   -0.0338    0.0773
     -3.10   -0.0356    0.0767
     -3.00   -0.0375    0.0762
     -2.90   -0.0395    0.0757
     -2.80   -0.0416    0.0751
     -2.70   -0.0438    0.0746
     -2.60   -0.0461    0.0740
     -2.50   -0.0485    0.0735
     -2.40   -0.0511    0.0729
     -2.30   -0.0538    0.0723
     -2.20   -0.0566    0.0717
     -2.10   -0.0596    0.0711
     -2.00   -0.0628    0.0705
     -1.90   -0.0661    0.0699
     -1.80   -0.0696    0.0692
     -1.70   -0.0733    0.0686
     -1.60   -0.0771    0.0679
     -1.50   -0.0812    0.0672
     -1.40   -0.0854    0.0666
     -1.30   -0.0897    0.0658
     -1.20   -0.0943    0.0651
     -1.10   -0.0990    0.0644
     -1.00   -0.1038    0.0636
     -0.90   -0.1087    0.0628
     -0.80   -0.1136    0.0620
     -0.70   -0.1186    0.0611
     -0.60   -0.1236    0.0603
     -0.50   -0.1285    0.0594
     -0.40   -0.1332    0.0584
     -0.30   -0.1378    0.0575
     -0.20   -0.1419    0.0565
     -0.10   -0.1450    0.0555
      0.00   -0.1462    0.0545
      0.10   -0.1451    0.0536
      0.20   -0.1414    0.0527
      0.30   -0.1353    0.0520
      0.40   -0.1272    0.0515
      0.50   -0.1178    0.0511
      0.60   -0.1075    0.0508
      0.70   -0.0967    0.0507
      0.80   -0.0512    0.0556
      0.90   -0.0180    0.0574
      1.00    0.0085    0.0585
      1.10    0.0315    0.0593
      1.20    0.0524    0.0600
      1.30    0.0716    0.0607
      1.40    0.0897    0.0613
      1.50    0.1067    0.0619
      1.60    0.1230    0.0624
      1.70    0.1385    0.0630
      1.80    0.1535    0.0635
      1.90    0.1679    0.0640
      2.00    0.1819    0.0646
      2.10    0.1954    0.0651
      2.20    0.2085    0.0656
      2.30    0.2213    0.0661
      2.40    0.2337    0.0667
      2.50    0.2459    0.0672
      2.60    0.2577    0.0677
      2.70    0.2693    0.0683
      2.80    0.2807    0.0688
      2.90    0.2918    0.0694
      3.00    0.3026    0.0699
      3.10    0.3133    0.0705
      3.20    0.3238    0.0711
      3.30    0.3341    0.0717
      3.40    0.3441    0.0722
      3.50    0.3541    0.0728
      3.60    0.3638    0.0734
      3.70    0.3734    0.0740
      3.80    0.3828    0.0746
      3.90    0.3921    0.0753
      4.00    0.4013    0.0759
      4.10    0.4103    0.0765
      4.20    0.4192    0.0771
      4.30    0.4279    0.0778
      4.40    0.4366    0.0784
      4.50    0.4451    0.0791
      4.60    0.4536    0.0797
      4.70    0.4619    0.0804
      4.80    0.4701    0.0811
      4.90    0.4783    0.0818
      5.00    0.4863    0.0824
      5.10    0.4943    0.0831
      5.20    0.5021    0.0838
      5.30    0.5099    0.0845
      5.40    0.5176    0.0852
      5.50    0.5252    0.0859
      5.60    0.5328    0.0867
      5.70    0.5402    0.0874
      5.80    0.5476    0.0881
      5.90    0.5549    0.0889
      6.00    0.5621    0.0896
      6.10    0.5693    0.0904
      6.20    0.5764    0.0911
      6.30    0.5834    0.0919
      6.40    0.5904    0.0927
      6.50    0.5973    0.0934
      6.60    0.6042    0.0942
      6.70    0.6110    0.0950
      6.80    0.6178    0.0958
      6.90    0.6245    0.0966
      7.00    0.6312    0.0974
      7.10    0.6378    0.0982
      7.20    0.6444    0.0990
      7.30    0.6509    0.0998
      7.40    0.6573    0.1006
      7.50    0.6637    0.1014
      7.60    0.6701    0.1022
      7.70    0.6764    0.1031
      7.80    0.6827    0.1039
      7.90    0.6889    0.1047
      8.00    0.6951    0.1056
      8.10    0.7013    0.1064
