AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.008_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.10          Angle of attack for zero Cn for linear Cn curve (deg)
-0.03653       Cn slope for zero lift for linear Cn curve (1/rad)
-0.0110        Cn at stall value for positive angle of attack for linear Cn curve
-0.0163        Cn at stall value for negative angle of attack for linear Cn curve
0.10           Angle of attack for minimum CD (deg)
0.0557         Minimum CD value
     -8.00   -0.0024    0.1003
     -7.90   -0.0020    0.0998
     -7.80   -0.0015    0.0992
     -7.70   -0.0012    0.0987
     -7.60   -0.0009    0.0981
     -7.50   -0.0006    0.0976
     -7.40   -0.0004    0.0970
     -7.30   -0.0002    0.0965
     -7.20   -0.0001    0.0960
     -7.10   -0.0000    0.0955
     -7.00    0.0001    0.0949
     -6.90    0.0001    0.0944
     -6.80    0.0001    0.0939
     -6.70    0.0001    0.0934
     -6.60    0.0000    0.0929
     -6.50   -0.0001    0.0924
     -6.40   -0.0002    0.0919
     -6.30   -0.0004    0.0914
     -6.20   -0.0006    0.0909
     -6.10   -0.0009    0.0904
     -6.00   -0.0011    0.0899
     -5.90   -0.0014    0.0894
     -5.80   -0.0017    0.0889
     -5.70   -0.0021    0.0884
     -5.60   -0.0025    0.0879
     -5.50   -0.0029    0.0874
     -5.40   -0.0034    0.0869
     -5.30   -0.0039    0.0864
     -5.20   -0.0045    0.0859
     -5.10   -0.0051    0.0854
     -5.00   -0.0057    0.0849
     -4.90   -0.0063    0.0844
     -4.80   -0.0070    0.0839
     -4.70   -0.0078    0.0835
     -4.60   -0.0086    0.0830
     -4.50   -0.0094    0.0825
     -4.40   -0.0103    0.0820
     -4.30   -0.0112    0.0815
     -4.20   -0.0122    0.0810
     -4.10   -0.0132    0.0805
     -4.00   -0.0143    0.0800
     -3.90   -0.0154    0.0795
     -3.80   -0.0166    0.0790
     -3.70   -0.0178    0.0785
     -3.60   -0.0192    0.0780
     -3.50   -0.0205    0.0775
     -3.40   -0.0220    0.0770
     -3.30   -0.0235    0.0765
     -3.20   -0.0214    0.0760
     -3.10   -0.0185    0.0754
     -3.00   -0.0160    0.0747
     -2.90   -0.0140    0.0740
     -2.80   -0.0127    0.0733
     -2.70   -0.0119    0.0726
     -2.60   -0.0118    0.0720
     -2.50   -0.0122    0.0713
     -2.40   -0.0132    0.0707
     -2.30   -0.0147    0.0700
     -2.20   -0.0166    0.0694
     -2.10   -0.0190    0.0688
     -2.00   -0.0218    0.0682
     -1.90   -0.0250    0.0676
     -1.80   -0.0286    0.0670
     -1.70   -0.0325    0.0664
     -1.60   -0.0368    0.0657
     -1.50   -0.0414    0.0651
     -1.40   -0.0463    0.0645
     -1.30   -0.0514    0.0639
     -1.20   -0.0568    0.0632
     -1.10   -0.0623    0.0626
     -1.00   -0.0679    0.0619
     -0.90   -0.0736    0.0612
     -0.80   -0.0792    0.0606
     -0.70   -0.0847    0.0599
     -0.60   -0.0900    0.0592
     -0.50   -0.0950    0.0585
     -0.40   -0.0992    0.0578
     -0.20   -0.0998    0.0564
     -0.10   -0.0919    0.0560
