AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-8.49          Angle of attack for zero Cn for linear Cn curve (deg)
0.33880        Cn slope for zero lift for linear Cn curve (1/rad)
0.1526         Cn at stall value for positive angle of attack for linear Cn curve
0.0631         Cn at stall value for negative angle of attack for linear Cn curve
-0.10          Angle of attack for minimum CD (deg)
0.0494         Minimum CD value
     -8.00    0.0768    0.0926
     -7.90    0.0923    0.0908
     -7.80    0.1007    0.0896
     -7.70    0.1073    0.0885
     -7.60    0.1128    0.0875
     -7.50    0.1178    0.0865
     -7.40    0.1223    0.0856
     -7.30    0.1265    0.0847
     -7.20    0.1304    0.0839
     -7.10    0.1342    0.0830
     -7.00    0.1377    0.0822
     -6.90    0.1411    0.0814
     -6.80    0.1444    0.0806
     -6.70    0.1475    0.0798
     -6.60    0.1506    0.0791
     -6.50    0.1535    0.0783
     -6.40    0.1564    0.0776
     -6.30    0.1591    0.0768
     -6.20    0.1618    0.0761
     -6.10    0.1483    0.0770
     -6.00    0.1319    0.0782
     -5.90    0.1177    0.0792
     -5.80    0.1044    0.0800
     -5.70    0.0938    0.0805
     -5.60    0.0834    0.0810
     -5.50    0.0743    0.0813
     -5.40    0.0623    0.0820
     -5.30    0.0550    0.0820
     -5.20    0.0474    0.0821
     -5.10    0.0397    0.0822
     -5.00    0.0320    0.0823
     -4.90    0.0240    0.0824
     -4.80    0.0154    0.0825
     -4.70    0.0134    0.0820
     -4.60    0.0060    0.0819
     -4.50   -0.0036    0.0821
     -4.40   -0.0048    0.0814
     -4.30   -0.0151    0.0816
     -4.20   -0.0166    0.0810
     -4.10   -0.0193    0.0804
     -4.00   -0.0236    0.0800
     -3.50    0.1826    0.0600
     -3.40    0.1804    0.0595
     -3.30    0.1779    0.0591
     -3.20    0.1752    0.0586
     -3.10    0.1721    0.0582
     -3.00    0.1688    0.0577
     -2.90    0.1651    0.0573
     -2.80    0.1612    0.0569
     -2.70    0.1569    0.0565
     -2.60    0.1523    0.0561
     -2.50    0.1474    0.0557
     -2.40    0.1423    0.0553
     -2.30    0.1368    0.0550
     -2.20    0.1312    0.0546
     -2.10    0.1254    0.0543
     -2.00    0.1193    0.0540
     -1.90    0.1132    0.0537
     -1.80    0.1070    0.0534
     -1.70    0.1007    0.0531
     -1.60    0.0943    0.0528
     -1.50    0.0880    0.0525
     -1.40    0.0817    0.0522
     -1.30    0.0755    0.0519
     -1.20    0.0695    0.0516
