AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.015_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-12.14         Angle of attack for zero Cn for linear Cn curve (deg)
0.10966        Cn slope for zero lift for linear Cn curve (1/rad)
0.2016         Cn at stall value for positive angle of attack for linear Cn curve
0.1341         Cn at stall value for negative angle of attack for linear Cn curve
-0.20          Angle of attack for minimum CD (deg)
0.0401         Minimum CD value
     -8.00    0.1471    0.0832
     -7.90    0.1507    0.0824
     -7.80    0.1542    0.0815
     -7.70    0.1577    0.0807
     -7.60    0.1612    0.0799
     -7.50    0.1647    0.0790
     -7.40    0.1681    0.0782
     -7.30    0.1716    0.0774
     -7.20    0.1750    0.0766
     -7.10    0.1783    0.0758
     -7.00    0.1817    0.0751
     -6.90    0.1850    0.0743
     -6.80    0.1882    0.0735
     -6.70    0.1915    0.0727
     -6.60    0.1947    0.0720
     -6.50    0.1978    0.0712
     -6.40    0.2010    0.0705
     -6.30    0.2040    0.0698
     -6.20    0.2071    0.0690
     -6.10    0.2101    0.0683
     -6.00    0.1838    0.0707
     -5.90    0.1580    0.0730
     -5.80    0.1341    0.0751
     -5.70    0.1105    0.0771
     -5.60    0.0869    0.0792
     -5.50    0.0631    0.0812
     -5.40    0.0380    0.0833
     -5.30    0.0172    0.0846
     -5.20    0.0005    0.0853
     -5.10   -0.0117    0.0855
     -5.00   -0.0254    0.0857
     -4.90   -0.0361    0.0856
     -4.80   -0.0428    0.0851
     -4.70   -0.0537    0.0850
     -4.60   -0.0602    0.0844
     -4.50   -0.0657    0.0838
     -4.40   -0.0724    0.0832
     -4.30   -0.0720    0.0822
     -4.20   -0.0769    0.0815
     -4.10   -0.0845    0.0810
     -4.00   -0.0832    0.0799
     -3.90   -0.0856    0.0790
     -3.80   -0.0895    0.0782
     -3.70   -0.0891    0.0772
     -3.60   -0.0894    0.0762
     -3.50   -0.0898    0.0752
     -3.40   -0.0900    0.0742
     -3.30   -0.0896    0.0732
     -3.20   -0.0884    0.0722
     -3.10   -0.0867    0.0712
     -3.00   -0.0849    0.0701
     -2.90   -0.0828    0.0690
     -2.80   -0.0787    0.0680
     -2.70   -0.0753    0.0669
     -2.20    0.2229    0.0452
     -2.10    0.2182    0.0448
     -2.00    0.2134    0.0444
     -1.90    0.2086    0.0440
     -1.80    0.2038    0.0437
     -1.70    0.1991    0.0433
