AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:43 Compatible with AeroDyn v13.0.
Polar "T1_Re0.035_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.40          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.22          Angle of attack for zero Cn for linear Cn curve (deg)
0.12572        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0291        Cn at stall value for positive angle of attack for linear Cn curve
-0.0405        Cn at stall value for negative angle of attack for linear Cn curve
0.20           Angle of attack for minimum CD (deg)
0.0292         Minimum CD value
     -8.00   -0.0218    0.1016
     -7.90   -0.0267    0.1017
     -7.80   -0.0157    0.0996
     -7.70   -0.0196    0.0996
     -7.60   -0.0097    0.0977
     -7.50   -0.0129    0.0976
     -7.40   -0.0040    0.0959
     -7.30   -0.0062    0.0956
     -7.20    0.0017    0.0941
     -7.10   -0.0001    0.0937
     -7.00    0.0074    0.0922
     -6.90    0.0050    0.0919
     -6.80    0.0130    0.0904
     -6.70    0.0087    0.0903
     -6.60    0.0180    0.0886
     -6.50    0.0133    0.0886
     -6.40    0.0216    0.0870
     -6.30    0.0234    0.0862
     -6.20    0.0219    0.0857
     -6.10    0.0287    0.0843
     -6.00    0.0284    0.0838
     -5.90    0.0262    0.0833
     -5.20   -0.0613    0.0741
     -5.00   -0.0608    0.0681
     -4.90   -0.0572    0.0652
     -4.70   -0.0336    0.0554
     -4.60   -0.0225    0.0535
     -4.40    0.0278    0.0460
     -4.30    0.0421    0.0446
     -4.20    0.0564    0.0434
     -4.10    0.0734    0.0420
     -4.00    0.0969    0.0401
     -3.90    0.1062    0.0396
     -3.80    0.1243    0.0385
     -3.70    0.1371    0.0377
     -3.60    0.1486    0.0371
     -3.50    0.1613    0.0365
     -3.40    0.1741    0.0359
     -3.30    0.1877    0.0353
     -3.20    0.2005    0.0347
     -3.10    0.2116    0.0343
     -3.00    0.2240    0.0339
     -2.90    0.2347    0.0335
     -2.80    0.2451    0.0333
     -2.70    0.2523    0.0333
     -2.50    0.2571    0.0338
     -2.40    0.2557    0.0342
     -2.30    0.2519    0.0346
     -2.20    0.2489    0.0350
     -2.00    0.2398    0.0354
     -1.90    0.2371    0.0354
     -1.80    0.2335    0.0354
     -1.70    0.2310    0.0354
     -1.60    0.2292    0.0353
     -1.50    0.2277    0.0351
     -1.40    0.2251    0.0350
     -1.30    0.2225    0.0347
     -1.20    0.2196    0.0345
     -1.10    0.2167    0.0342
     -1.00    0.2138    0.0339
     -0.90    0.2110    0.0335
     -0.80    0.2085    0.0331
     -0.70    0.2066    0.0327
     -0.60    0.2056    0.0322
     -0.50    0.2058    0.0317
     -0.40    0.2073    0.0313
     -0.30    0.2107    0.0308
     -0.20    0.2180    0.0303
     -0.10    0.2328    0.0299
      0.00    0.2629    0.0296
      0.10    0.2929    0.0293
      0.20    0.3006    0.0292
      0.30    0.3111    0.0292
      0.40    0.3237    0.0293
      0.50    0.3378    0.0294
      0.60    0.3530    0.0295
      0.70    0.3689    0.0296
      0.80    0.3852    0.0297
      0.90    0.4018    0.0299
      1.00    0.4185    0.0301
      1.10    0.4354    0.0303
      1.20    0.4522    0.0305
      1.30    0.4690    0.0307
      1.40    0.4856    0.0309
      1.50    0.5022    0.0311
      1.60    0.5186    0.0314
      1.70    0.5348    0.0316
      1.80    0.5509    0.0319
      1.90    0.5668    0.0321
      2.00    0.5824    0.0324
      2.10    0.5978    0.0326
      2.20    0.6130    0.0329
      2.30    0.6280    0.0332
      2.40    0.6427    0.0335
      2.50    0.6572    0.0338
      2.60    0.6714    0.0341
      2.70    0.6854    0.0344
      2.80    0.6991    0.0347
      2.90    0.7126    0.0350
      3.00    0.7258    0.0353
      3.10    0.7388    0.0357
      3.20    0.7514    0.0360
      3.30    0.7639    0.0363
      3.40    0.7760    0.0367
      3.50    0.7879    0.0370
      3.60    0.7995    0.0374
      3.70    0.8109    0.0377
      3.80    0.8220    0.0381
      3.90    0.8328    0.0384
      4.00    0.8434    0.0388
      4.10    0.8538    0.0392
      4.20    0.8639    0.0396
      4.30    0.8739    0.0400
      4.40    0.8836    0.0404
      4.50    0.8931    0.0408
      4.60    0.9025    0.0412
      4.70    0.9116    0.0416
      4.80    0.9206    0.0420
      5.00    0.9380    0.0428
      5.10    0.9465    0.0433
      5.20    0.9549    0.0437
      5.30    0.9631    0.0442
      5.40    0.9712    0.0446
      5.50    0.9791    0.0451
      5.60    0.9869    0.0455
      5.70    0.9945    0.0460
      5.80    1.0021    0.0465
      5.90    1.0095    0.0470
      6.00    1.0168    0.0475
      6.10    1.0241    0.0480
      6.20    1.0312    0.0485
      6.30    1.0381    0.0491
      6.40    1.0450    0.0496
      6.50    1.0518    0.0501
      6.60    1.0585    0.0507
      6.70    1.0651    0.0512
      6.80    1.0716    0.0518
      6.90    1.0779    0.0524
      7.00    1.0842    0.0530
      7.10    1.0904    0.0536
      7.20    1.0965    0.0542
      7.30    1.1025    0.0548
      7.40    1.1084    0.0554
      7.50    1.1142    0.0561
      7.60    1.1199    0.0567
      7.70    1.1256    0.0574
      7.80    1.1311    0.0581
      7.90    1.1365    0.0587
      8.00    1.1418    0.0594
      8.10    1.1471    0.0601
      8.20    1.1523    0.0609
      8.30    1.1573    0.0616
      8.40    1.1623    0.0623
      8.50    1.1672    0.0631
      8.60    1.1720    0.0638
      8.70    1.1767    0.0646
      8.80    1.1813    0.0654
      8.90    1.1858    0.0662
      9.00    1.1903    0.0670
      9.10    1.1946    0.0678
      9.20    1.1989    0.0687
      9.30    1.2031    0.0695
      9.40    1.2072    0.0704
      9.50    1.2112    0.0713
      9.60    1.2152    0.0722
      9.70    1.2191    0.0731
      9.80    1.2228    0.0740
      9.90    1.2266    0.0749
     10.00    1.2302    0.0758
     10.10    1.2338    0.0768
     10.20    1.2373    0.0778
     10.30    1.2407    0.0788
     10.40    1.2441    0.0798
     10.50    1.2474    0.0808
     10.70    1.2538    0.0828
     10.80    1.2569    0.0839
     10.90    1.2599    0.0849
     11.00    1.2629    0.0860
     11.10    1.2658    0.0871
     11.20    1.2687    0.0882
     11.30    1.2715    0.0893
     11.40    1.2742    0.0904
     11.50    1.2769    0.0915
     11.60    1.2796    0.0927
     11.70    1.2822    0.0938
     11.80    1.2847    0.0950
     11.90    1.2872    0.0961
     12.00    1.2897    0.0973
     12.10    1.2921    0.0985
     12.20    1.2945    0.0997
     12.30    1.2968    0.1009
     12.40    1.2991    0.1021
     12.50    1.3014    0.1033
     12.60    1.3036    0.1046
     12.70    1.3058    0.1058
     12.80    1.3080    0.1070
     12.90    1.3102    0.1083
     13.00    1.3123    0.1095
     13.10    1.3145    0.1108
     13.20    1.3166    0.1121
     13.30    1.3187    0.1133
     13.40    1.3207    0.1146
     13.50    1.3228    0.1158
     13.60    1.3249    0.1171
     13.70    1.3270    0.1184
     13.80    1.3290    0.1196
     13.90    1.3311    0.1209
     14.00    1.3332    0.1221
     14.10    1.3353    0.1234
     14.20    1.3374    0.1247
     14.30    1.3396    0.1259
     14.40    1.3417    0.1271
     14.50    1.3439    0.1284
     14.60    1.3461    0.1296
     14.70    1.3483    0.1308
     14.80    1.3505    0.1321
     14.90    1.3527    0.1333
     15.00    1.3549    0.1345
     15.10    1.3571    0.1357
     15.20    1.3593    0.1370
     15.30    1.3614    0.1382
     15.40    1.3635    0.1395
     15.50    1.3656    0.1407
     15.60    1.3677    0.1420
     15.70    1.3697    0.1433
     15.80    1.3717    0.1446
     15.90    1.3736    0.1459
     16.00    1.3753    0.1473
     16.10    1.3768    0.1487
