AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.160_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.87          Angle of attack for zero Cn for linear Cn curve (deg)
3.86612        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0022        Cn at stall value for positive angle of attack for linear Cn curve
-0.0164        Cn at stall value for negative angle of attack for linear Cn curve
-2.80          Angle of attack for minimum CD (deg)
0.0169         Minimum CD value
     -8.00   -0.0061    0.0750
     -7.90   -0.0037    0.0738
     -7.80    0.0079    0.0736
     -7.70   -0.0004    0.0720
     -7.50    0.0078    0.0706
     -7.40   -0.0047    0.0689
     -7.30    0.0088    0.0687
     -7.20    0.0045    0.0677
     -7.10   -0.0128    0.0647
     -6.30    0.0249    0.0336
     -6.10    0.0531    0.0304
     -6.00    0.0641    0.0297
     -5.90    0.0759    0.0288
     -5.80    0.0887    0.0280
     -5.70    0.1026    0.0270
     -5.60    0.1160    0.0263
     -5.50    0.1287    0.0257
     -5.40    0.1411    0.0251
     -5.30    0.1533    0.0246
     -5.20    0.1653    0.0242
     -5.10    0.1771    0.0238
     -5.00    0.1888    0.0234
     -4.90    0.2003    0.0230
     -4.80    0.2117    0.0226
     -4.70    0.2230    0.0223
     -4.60    0.2342    0.0220
     -4.50    0.2455    0.0217
     -4.40    0.2567    0.0214
     -4.30    0.2680    0.0211
     -4.20    0.2795    0.0209
     -4.10    0.2911    0.0206
     -4.00    0.3022    0.0204
     -3.90    0.3137    0.0201
     -3.80    0.3255    0.0199
     -3.70    0.3375    0.0197
     -3.60    0.3498    0.0195
     -3.50    0.3625    0.0193
     -3.40    0.3756    0.0190
     -3.30    0.3892    0.0188
     -3.20    0.4034    0.0186
     -3.10    0.4190    0.0183
     -3.00    0.4352    0.0180
     -2.90    0.4611    0.0170
     -2.80    0.4749    0.0169
     -2.70    0.4866    0.0170
     -2.60    0.4979    0.0171
     -2.50    0.5090    0.0172
     -2.40    0.5198    0.0173
     -2.30    0.5309    0.0174
     -2.20    0.5414    0.0175
     -2.10    0.5519    0.0176
     -2.00    0.5621    0.0177
     -1.90    0.5722    0.0178
     -1.80    0.5822    0.0179
     -1.70    0.5921    0.0181
     -1.60    0.6022    0.0182
     -1.50    0.6124    0.0183
     -1.40    0.6222    0.0184
     -1.30    0.6317    0.0184
     -1.20    0.6420    0.0185
     -1.10    0.6520    0.0186
     -1.00    0.6613    0.0187
     -0.90    0.6714    0.0188
     -0.80    0.6813    0.0189
     -0.70    0.6903    0.0189
     -0.60    0.7007    0.0190
     -0.50    0.7100    0.0191
     -0.40    0.7202    0.0191
     -0.30    0.7303    0.0192
     -0.20    0.7405    0.0192
     -0.10    0.7506    0.0193
      0.00    0.7618    0.0193
      0.10    0.7715    0.0194
      0.20    0.7831    0.0194
      0.30    0.7925    0.0195
      0.40    0.8029    0.0195
      0.50    0.8136    0.0196
      0.60    0.8233    0.0196
      0.70    0.8348    0.0197
      0.80    0.8441    0.0197
      0.90    0.8546    0.0198
      1.00    0.8653    0.0198
      1.10    0.8750    0.0199
      1.20    0.8861    0.0199
      1.30    0.8959    0.0200
      1.40    0.9059    0.0200
      1.50    0.9171    0.0201
      1.60    0.9264    0.0201
      1.70    0.9366    0.0202
      1.80    0.9471    0.0203
      1.90    0.9565    0.0203
      2.00    0.9673    0.0204
      2.10    0.9764    0.0205
      2.20    0.9863    0.0206
      2.30    0.9961    0.0206
      2.40    1.0055    0.0207
      2.50    1.0159    0.0208
      2.60    1.0249    0.0209
      2.70    1.0353    0.0209
      2.80    1.0445    0.0210
      2.90    1.0540    0.0211
      3.00    1.0639    0.0212
      3.10    1.0729    0.0213
      3.20    1.0831    0.0214
      3.30    1.0917    0.0215
      3.40    1.1015    0.0216
      3.50    1.1102    0.0216
      3.60    1.1194    0.0217
      3.70    1.1281    0.0218
      3.80    1.1370    0.0219
      3.90    1.1456    0.0220
      4.00    1.1543    0.0221
      4.10    1.1626    0.0222
      4.20    1.1714    0.0223
      4.30    1.1793    0.0224
      4.40    1.1879    0.0226
      4.50    1.1959    0.0227
      4.60    1.2038    0.0228
      4.70    1.2118    0.0229
      4.80    1.2195    0.0230
      4.90    1.2265    0.0231
      5.00    1.2334    0.0232
      5.10    1.2400    0.0233
      5.20    1.2462    0.0234
      5.30    1.2518    0.0235
      5.40    1.2558    0.0235
      5.50    1.2567    0.0235
      5.60    1.2613    0.0235
      5.70    1.2728    0.0238
      5.80    1.2839    0.0240
      5.90    1.2946    0.0242
      6.00    1.3048    0.0245
      6.10    1.3145    0.0247
      6.20    1.3239    0.0249
      6.30    1.3330    0.0252
      6.40    1.3418    0.0254
      6.50    1.3504    0.0257
      6.60    1.3588    0.0259
      6.70    1.3669    0.0262
      6.80    1.3749    0.0264
      6.90    1.3827    0.0267
      7.00    1.3904    0.0270
      7.10    1.3980    0.0273
