AeroDyn airfoil file Created with QBlade v0.963 64bit on 29.01.2021 at 08:57:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0" on Foil "WORTMANN FX 63-137 AIRFOIL EXTRA REFINED 2" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.10          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-6.64          Angle of attack for zero Cn for linear Cn curve (deg)
6.33056        Cn slope for zero lift for linear Cn curve (1/rad)
1.2945         Cn at stall value for positive angle of attack for linear Cn curve
-0.0883        Cn at stall value for negative angle of attack for linear Cn curve
-2.70          Angle of attack for minimum CD (deg)
0.0159         Minimum CD value
     -8.00    0.0027    0.0722
     -7.60   -0.0829    0.0460
     -7.50   -0.0780    0.0445
     -7.40   -0.0737    0.0425
     -7.30   -0.0686    0.0399
     -7.20   -0.0609    0.0375
     -7.10   -0.0499    0.0348
     -7.00   -0.0422    0.0362
     -6.90   -0.0313    0.0344
     -6.80   -0.0198    0.0330
     -6.70   -0.0077    0.0317
     -6.60    0.0050    0.0305
     -6.50    0.0180    0.0295
     -6.40    0.0311    0.0286
     -6.30    0.0441    0.0277
     -6.20    0.0571    0.0270
     -6.10    0.0672    0.0266
     -6.00    0.0781    0.0261
     -5.90    0.0905    0.0255
     -5.80    0.1031    0.0249
     -5.70    0.1158    0.0243
     -5.60    0.1285    0.0238
     -5.50    0.1408    0.0233
     -5.40    0.1524    0.0229
     -5.30    0.1638    0.0225
     -5.20    0.1751    0.0222
     -5.10    0.1864    0.0219
     -5.00    0.1978    0.0216
     -4.90    0.2091    0.0213
     -4.80    0.2205    0.0210
     -4.70    0.2318    0.0207
     -4.60    0.2432    0.0204
     -4.50    0.2546    0.0202
     -4.40    0.2660    0.0199
     -4.30    0.2775    0.0197
     -4.20    0.2891    0.0195
     -4.10    0.3007    0.0193
     -4.00    0.3123    0.0191
     -3.90    0.3241    0.0189
     -3.80    0.3361    0.0187
     -3.70    0.3484    0.0185
     -3.60    0.3612    0.0183
     -3.50    0.3742    0.0181
     -3.40    0.3879    0.0179
     -3.30    0.4020    0.0176
     -3.20    0.4161    0.0175
     -3.10    0.4301    0.0173
     -3.00    0.4457    0.0170
     -2.90    0.4638    0.0166
     -2.80    0.4854    0.0160
     -2.70    0.4987    0.0159
     -2.60    0.5107    0.0159
     -2.50    0.5223    0.0160
     -2.40    0.5337    0.0160
     -2.30    0.5449    0.0161
     -2.20    0.5559    0.0162
     -2.10    0.5669    0.0163
     -2.00    0.5779    0.0163
     -1.90    0.5887    0.0164
     -1.80    0.5995    0.0165
     -1.70    0.6101    0.0166
     -1.60    0.6207    0.0167
     -1.50    0.6313    0.0168
     -1.40    0.6419    0.0169
     -1.30    0.6522    0.0170
     -1.20    0.6623    0.0171
     -1.10    0.6729    0.0171
     -1.00    0.6834    0.0172
     -0.90    0.6934    0.0173
     -0.80    0.7043    0.0174
     -0.70    0.7140    0.0174
     -0.60    0.7245    0.0175
     -0.50    0.7347    0.0176
     -0.40    0.7447    0.0176
     -0.30    0.7555    0.0177
     -0.20    0.7651    0.0178
     -0.10    0.7762    0.0179
      0.00    0.7856    0.0179
      0.10    0.7967    0.0180
      0.20    0.8064    0.0180
      0.30    0.8169    0.0181
      0.40    0.8276    0.0181
      0.50    0.8376    0.0182
      0.60    0.8489    0.0183
      0.70    0.8587    0.0183
      0.80    0.8690    0.0184
      0.90    0.8800    0.0184
      1.00    0.8898    0.0185
      1.10    0.9003    0.0185
      1.20    0.9111    0.0186
      1.30    0.9210    0.0187
      1.40    0.9314    0.0187
      1.50    0.9420    0.0188
      1.60    0.9518    0.0189
      1.70    0.9623    0.0189
      1.80    0.9725    0.0190
      1.90    0.9823    0.0191
      2.00    0.9929    0.0191
      2.10    1.0026    0.0192
      2.20    1.0124    0.0193
      2.30    1.0227    0.0194
      2.40    1.0320    0.0194
      2.50    1.0422    0.0195
      2.60    1.0517    0.0196
      2.70    1.0613    0.0197
      2.80    1.0716    0.0198
      2.90    1.0808    0.0199
      3.00    1.0906    0.0199
      3.10    1.1004    0.0200
      3.20    1.1096    0.0201
      3.30    1.1197    0.0202
      3.40    1.1287    0.0203
      3.50    1.1381    0.0204
      3.60    1.1475    0.0205
      3.70    1.1563    0.0206
      3.80    1.1657    0.0207
      3.90    1.1741    0.0208
      4.00    1.1832    0.0209
      4.10    1.1915    0.0210
      4.20    1.2003    0.0211
      4.30    1.2087    0.0212
      4.40    1.2174    0.0213
      4.50    1.2257    0.0215
      4.60    1.2345    0.0216
      4.70    1.2426    0.0217
      4.80    1.2512    0.0218
      4.90    1.2592    0.0219
      5.00    1.2672    0.0221
      5.10    1.2754    0.0222
      5.20    1.2831    0.0223
      5.30    1.2907    0.0224
      5.40    1.2981    0.0226
      5.50    1.3052    0.0227
      5.60    1.3119    0.0228
      5.70    1.3181    0.0229
      5.80    1.3238    0.0230
      5.90    1.3280    0.0231
      6.00    1.3276    0.0231
      6.10    1.3328    0.0232
      6.20    1.3431    0.0234
      6.30    1.3529    0.0236
      6.40    1.3623    0.0239
      6.50    1.3713    0.0241
      6.60    1.3801    0.0243
      6.70    1.3885    0.0246
      6.80    1.3968    0.0248
      6.90    1.4049    0.0251
      7.00    1.4128    0.0253
      7.10    1.4205    0.0256
      7.20    1.4281    0.0258
      7.30    1.4356    0.0261
      7.40    1.4430    0.0264
      7.50    1.4503    0.0267
      7.60    1.4575    0.0270
      7.70    1.4645    0.0272
      7.80    1.4715    0.0275
      7.90    1.4784    0.0279
      8.00    1.4852    0.0282
      8.10    1.4919    0.0285
      8.20    1.4985    0.0288
      8.30    1.5051    0.0292
      8.40    1.5115    0.0295
      8.50    1.5179    0.0299
      8.60    1.5242    0.0302
      8.70    1.5304    0.0306
      8.80    1.5366    0.0310
      8.90    1.5426    0.0313
      9.00    1.5486    0.0317
      9.10    1.5546    0.0321
      9.20    1.5604    0.0325
      9.30    1.5661    0.0330
      9.40    1.5718    0.0334
      9.50    1.5774    0.0338
      9.60    1.5829    0.0343
      9.70    1.5883    0.0348
      9.80    1.5936    0.0352
      9.90    1.5989    0.0357
     10.00    1.6040    0.0362
     10.10    1.6091    0.0367
     10.20    1.6140    0.0372
     10.30    1.6189    0.0378
     10.40    1.6236    0.0383
     10.50    1.6283    0.0389
     10.60    1.6328    0.0395
     10.70    1.6371    0.0401
     10.80    1.6414    0.0407
     10.90    1.6455    0.0413
     11.00    1.6494    0.0420
     11.10    1.6531    0.0426
     11.20    1.6566    0.0433
     11.30    1.6598    0.0441
     11.40    1.6627    0.0448
     11.50    1.6653    0.0457
     11.60    1.6676    0.0465
     11.70    1.6694    0.0474
     11.80    1.6708    0.0484
     11.90    1.6718    0.0494
     12.00    1.6725    0.0505
     12.10    1.6728    0.0516
     12.20    1.6729    0.0528
     12.30    1.6729    0.0539
     12.40    1.6729    0.0551
     12.50    1.6728    0.0563
     12.60    1.6729    0.0575
     12.70    1.6732    0.0587
     12.80    1.6738    0.0599
     12.90    1.6741    0.0611
     13.00    1.6736    0.0624
     13.10    1.6730    0.0637
     13.20    1.6743    0.0648
     13.30    1.6750    0.0660
     13.40    1.6753    0.0672
     13.50    1.6751    0.0685
     13.60    1.6751    0.0698
     13.70    1.6769    0.0709
     13.80    1.6783    0.0720
     13.90    1.6796    0.0731
     14.00    1.6807    0.0743
     14.10    1.6818    0.0754
     14.20    1.6834    0.0765
     14.30    1.6853    0.0776
     14.40    1.6871    0.0788
     14.50    1.6888    0.0799
     14.70    1.6923    0.0821
     14.80    1.6945    0.0831
     14.90    1.6961    0.0843
     15.00    1.6977    0.0855
     15.10    1.6994    0.0866
     15.20    1.7010    0.0878
     15.30    1.7025    0.0890
     15.40    1.7040    0.0902
     15.50    1.7057    0.0913
     15.60    1.7068    0.0926
     15.70    1.7081    0.0938
     15.80    1.7093    0.0951
     15.90    1.7105    0.0964
     16.00    1.7116    0.0976
     16.10    1.7127    0.0989
     16.20    1.7140    0.1001
     16.30    1.7150    0.1014
     16.40    1.7161    0.1027
     16.50    1.7174    0.1040
     16.60    1.7185    0.1053
     16.70    1.7196    0.1066
     16.80    1.7206    0.1078
     16.90    1.7219    0.1090
     17.00    1.7228    0.1103
     17.10    1.7233    0.1117
     17.20    1.7241    0.1131
     17.30    1.7249    0.1144
     17.40    1.7259    0.1157
     17.50    1.7268    0.1170
     17.60    1.7285    0.1180
     17.70    1.7293    0.1193
     17.80    1.7289    0.1209
     17.90    1.7291    0.1224
     18.00    1.7295    0.1238
     18.10    1.7302    0.1251
     18.20    1.7312    0.1264
     18.30    1.7331    0.1274
     18.40    1.7336    0.1287
     18.50    1.7325    0.1305
     18.60    1.7320    0.1321
     18.70    1.7320    0.1336
     18.80    1.7321    0.1351
     18.90    1.7324    0.1365
     19.00    1.7329    0.1379
     19.10    1.7345    0.1389
     19.20    1.7325    0.1409
     19.30    1.7311    0.1428
     19.40    1.7301    0.1446
     19.50    1.7292    0.1463
     19.60    1.7284    0.1480
     19.70    1.7276    0.1497
     19.80    1.7273    0.1513
     19.90    1.7257    0.1533
     20.00    1.7242    0.1552
