radial_position	chord	twist	airfoil
0.025570089	0.050973973	42.7992278	1
0.031806696	0.059846575	37.39382239	1
0.03889375	0.068458219	30.44401544	1
0.045413839	0.070023973	26.42857143	1
0.052217411	0.068719178	24.26640927	1
0.058454018	0.066892466	22.41312741	1
0.064974107	0.064543836	20.55984556	1
0.071777679	0.062456164	19.01544402	1
0.07858125	0.060107534	17.77992278	1
0.085101339	0.058019863	16.38996139	1
0.091904911	0.055932192	15.30888031	1
0.098425	0.053844521	14.38223938	1
0.104945089	0.052017808	13.3011583	1
0.111748661	0.049930137	12.68339768	1
0.11826875	0.048364384	11.91119691	1
0.125072321	0.04679863	11.13899614	1
0.131592411	0.045232877	10.67567568	1
0.138395982	0.043928082	10.21235521	1
0.144916071	0.042623288	9.594594595	1
0.151719643	0.041318493	9.131274131	1
0.158239732	0.040274658	8.822393822	1
0.164759821	0.039230822	8.513513514	1
0.171563393	0.038186986	8.05019305	1
0.178083482	0.037143151	7.895752896	1
0.184603571	0.036099315	7.586872587	1
0.191407143	0.035316438	7.432432432	1
0.197927232	0.034533562	7.123552124	1
0.204730804	0.034011644	6.969111969	1
0.211250893	0.032967808	6.814671815	1
0.218054464	0.03244589	6.66023166	1
0.224574554	0.031923973	6.505791506	1
